                                             cinromide                                                                                                                                                               CCNC(=O)/C=C/c1cccc(Br)c1 1
                                      fluocortin-butyl                                                                                        CCCCOC(=O)C(=O)[C@H]1[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C 1
                                            butamoxane                                                                                                                                                                    CCCCNCC1COc2ccccc2O1 1
                                            amesergide                                                                                                                                 CC(C)n1cc2c3c(cccc31)C1C[C@@H](C(=O)NC3CCCCC3)CN(C)C1C2 1
                                          pyridazinone                                                                                                                                                                           O=c1cc[nH]nc1 1
                                             efetozole                                                                                                                                                                    Cc1nccn1C(C)c1ccccc1 1
                                               BBcpd10                                                                                                                                                           CN(C)c1cc(-c2n[nH]c(N)n2)ccn1 0
                                           trimetozine                                                                                                                                                         COc1cc(C(=O)N2CCOCC2)cc(OC)c1OC 1
                                             octamoxin                                                                                                                                                                            CCCCCCC(C)NN 1
                                          trimipramine                                                                                                                                                        CC(CN(C)C)CN1c2ccccc2CCc2ccccc21 1
                                           clobetasone                                                                                                     C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)C(=O)C[C@]2(C)[C@@]1(O)C(=O)CCl 1
                                            pregabalin                                                                                                                                                                  CC(C)C[C@H](CN)CC(=O)O 1
                                          fenpentadiol                                                                                                                                                            CC(C)(O)CC(C)(O)c1ccc(Cl)cc1 1
                                              doxapram                                                                                                                                             CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O 1
                                                  5-69                                                                                                                                                      S=C(NC1CCCCC1)N1CCC(c2c[nH]cn2)CC1 1
                                             cefetamet                                                                                                                          CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C)CS[C@H]12)c1csc(N)n1 0
                                          lorpiprazole                                                                                                                                FC(F)(F)c1cccc(N2CCN(CCc3nnc4n3C[C@H]3CCC[C@@H]43)CC2)c1 1
                                              prazepam                                                                                                                                                  O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1 1
                                              warfarin                                                                                                                                                   CC(=O)CC(c1ccccc1)c1c(O)oc2ccccc2c1=O 0
                                           Metaraminol                                                                                                                                                            C[C@H](N)[C@H](O)c1cccc(O)c1 0
                                          butriptyline                                                                                                                                                        CC(CC1c2ccccc2CCc2ccccc21)CN(C)C 1
                                             maroxepin                                                                                                                                                        CN1CCC2=C(CC1)c1ccccc1Oc1ccccc12 1
                                           diphoxazide                                                                                                                                                    CC(=O)NNC(=O)CC(O)(c1ccccc1)c1ccccc1 1
                                           pheneturide                                                                                                                                                               CCC(C(=O)NC(N)=O)c1ccccc1 1
                                           haloxazolam                                                                                                                                                   O=C1CN2CCOC2(c2ccccc2F)c2cc(Br)ccc2N1 1
                                             bipenamol                                                                                                                                               O=C1C[C@H]2SC(C3(O)CN4C(=O)C[C@H]4S3)CN12 1
                                           detorubicin                                                                                                CCOC(OCC)C(=O)OCC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(OC2CC(N)C(O)C(C)O2)C1)C(=O)c1c(OC)cccc1C3=O 0
                                         berythromycin                                                   CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2CC(C)(OC)C(O)C(C)O2)C(C)[C@@H](OC2OC(C)CC(N(C)C)C2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H]1C 0
                                           phenazocine                                                                                                                                                    CC1C2Cc3ccc(O)cc3C1(C)CCN2CCc1ccccc1 1
                                            Mefloquine                                                                                                                                          OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1 1
                                            batelapine                                                                                                                                                   Cc1nc2n(n1)C(N1CCN(C)CC1)=Nc1ccccc1C2 1
                            triamcinolone-hexacetonide                                                                             CC(C)(C)CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C 1
                                            acetiamine                                                                                                                                           CC(=O)OCC/C(SC(C)=O)=C(/C)N(C=O)Cc1cnc(C)nc1N 1
                                            bentazepam                                                                                                                                                    O=C1CNC(c2ccccc2)=c2c3c(sc2=N1)CCCC3 1
                                            Metoprolol                                                                                                                                                             COCCc1ccc(OCC(O)CNC(C)C)cc1 1
                                            quetiapine                                                                                                                                                  OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1 1
                                            oxilorphan                                                                                                                                  Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CC1)CC3 1
                                          testosterone                                                                                                                           C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O 0
                                             Propanone                                                                                                                                                                                 CC(C)=O 1
                                            Bretazenil                                                                                                                                   CC(C)(C)OC(=O)c1ncn2c1[C@@H]1CCCN1C(=O)c1c(Br)cccc1-2 1
                                            nandrolone                                                                                                                              C[C@]12CC[C@@H]3[C@H]4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O 0
                                           halcinonide                                                                                           CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CCl)O1 1
                                            buciclovir                                                                                                                                                    Nc1nc(=O)c2ncn(CC[C@@H](O)CO)c2[nH]1 1
                                            azipramine                                                                                                                                               CN(CCc1cc2cccc3c2n1-c1ccccc1CC3)Cc1ccccc1 1
                                           pimethixene                                                                                                                                                        CN1CCC(=C2c3ccccc3Sc3ccccc32)CC1 1
                                         carbamazepine                                                                                                                                                            NC(=O)N1c2ccccc2C=Cc2ccccc21 1
                                             alovudine                                                                                                                                         Cc1cn([C@H]2C[C@H](F)[C@@H](CO)O2)c(=O)[nH]c1=O 1
                                            clebopride                                                                                                                                              COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1 1
                                      pristinamycin-ic                                                                          CC1NC(=O)C(NC(=O)c2ncccc2O)C(C)OC(=O)C(c2ccccc2)NC(=O)C2CC(=O)CCN2C(=O)C(Cc2ccc(N(C)C)cc2)N(C)C(=O)C2CCCN2C1=O 0
                                              BRL52974                                                                                                                                      O=C(Cc1ccc(Cl)c(Cl)c1)N1CCc2[nH]cnc2[C@H]1CN1CCCC1 0
                                              BRL52656                                                                                                                                            O=C(Cc1ccc(C(F)(F)F)cc1)N1CCCC[C@H]1CN1CCCC1 1
                                           granisetron                                                                                                                                         CN1[C@H]2CCC[C@@H]1CC(NC(=O)c1nn(C)c3ccccc13)C2 1
                                              amedalin                                                                                                                                                     CNCCCC1(C)C(=O)N(c2ccccc2)c2ccccc21 1
                                                 cp107                                                                                                                                                                  CCc1c(O)c(=O)ccn1CCCCO 0
                                            piberaline                                                                                                                                                        O=C(c1ccccn1)N1CCN(Cc2ccccc2)CC1 1
                                betamethasone-benzoate                                                                                        CCCCC(=O)O[C@]1(C(=O)CO)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C 1
                                        benzindopyrine                                                                                                                                               [Cl].c1ccc(Cn2cc(CCc3ccncc3)c3ccccc32)cc1 1
                                           deserpidine                                                                                      COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC 1
                                 Tertbutylchlorambucil                                                                                                                                                  CC(C)(C)OC(=O)CCCc1ccc(N(CCCl)CCCl)cc1 1
                                           embutramide                                                                                                                                                        CCC(CC)(CNC(=O)CCCO)c1cccc(OC)c1 1
                                            amiflamine                                                                                                                                Cc1cc(N(C)C)ccc1C[C@H](C)N.O=C(O)[C@H](O)[C@@H](O)C(=O)O 1
