Drug 4523                                                                                                                         Cc1ccc([N+](=O)[O-])c2ccccc12 1
Drug 1804                                                                                                                               Clc1ccc2c(c1)oc1ccccc12 1
Drug 6675                                                                                                                   Fc1ccc2c3c(cccc13)-c1c-2ccc2ccccc12 1
Drug 4464                                                                                                                         COc1nsc2c([N+](=O)[O-])cccc12 1
Drug 4137                                                                                                                      Cn1c2ccc3ccccc3c2c2c3ccccc3ccc21 1
Drug 3898                                                                                                                 COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC 0
Drug 2200                                                                                                                                          Cc1cccc(N)c1 0
Drug 1939                                                                                                                                         Cc1ccc(N)cc1O 1
Drug 2324                                                                                                            Clc1cnc(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)c(Cl)c1 0
Drug 2328                                                                                                                                        CCCCCCCCCCCCCl 0
Drug 1477                                                                                                      O=[N+]([O-])c1c(Cl)cc2c(c1Cl)Oc1cc(Cl)c(Cl)cc1O2 0
Drug 6146                                                                                                                   O=[N+]([O-])c1cccc(O)c1[N+](=O)[O-] 1
Drug 2719                                                                                                                      CC/C=C/C/C=C/C/C=C/CCCCCCCC(=O)O 0
Drug 7162                                                                                                         C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C 0
Drug 6553                                                                                                                                               CC(O)CO 0
Drug 1031                                                                                                                 Oc1ccc(/C=N/c2snc3c(Cl)cc(Cl)cc23)cc1 1
Drug 4171                                                                                                                           CN(N=O)C(=O)Oc1cccc2ccccc12 1
Drug 7045                                                                                                                                     Nc1ccc(Cl)c(Cl)c1 0
Drug 3758                                                                                                                    CC1(C)OC1COc1c2ccoc2cc2oc(=O)ccc12 0
Drug 4165                                                                                                                     O=C1Nc2cc3ccccc3c3c4c(cc1c23)OCO4 1
 Drug 992                                                                                                                                     Cc1ccc([N+]#N)cc1 1
Drug 5752                                                                                                                                                ClCCBr 1
Drug 5754                                                                                                           O=C(Cl)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1 1
Drug 6753                                                                                                                                               OCCCCCl 1
Drug 4589                                                                                                                              Cc1ccc(N)cc1[N+](=O)[O-] 1
Drug 6400                                                                                                                           CCc1cccc(CC)c1N(COC)C(=O)CO 0
Drug 6594                                                                                                                              CCOC(=O)C1OC1(C)c1ccccc1 0
Drug 2114                                                                                                                                 Cc1cc(Cl)ccc1OCC(=O)O 0
Drug 3853                                                                                                                          c1ccc2c(c1)ccc1c2ccc2cccnc21 1
Drug 6298                                                                                                                                                  C=CC 1
Drug 4786                                                                                                                      CC(C)Nc1cccc2c1C(=O)c1ccccc1C2=O 1
Drug 6219                                                                                                                    C1CCC(C(C[C@H]2CCCCN2)C2CCCCC2)CC1 0
Drug 6374                                                                                                                 O=C(c1ccccc1)C1OC1c1ccc(Oc2ccccc2)cc1 0
Drug 1877                                                                                                                                      c1ccc2[nH]cnc2c1 0
 Drug 466                                                                                                              O=[N+]([O-])c1cccc2cccc([N+](=O)[O-])c12 1
Drug 4611                                                                                                               O=[N+]([O-])c1ccc(/C=C/c2ccc(Cl)cc2)cc1 1
Drug 4512                                                                                          O=[N+]([O-])c1ccc2c([N+](=O)[O-])cc3c([N+](=O)[O-])cccc3c2c1 1
Drug 6900                                                                                                                                CC(O)CN(C)c1ccc(NN)nn1 1
Drug 3074                                                                                                                                            CCN1CCOCC1 1
Drug 7008                                                                                                            CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1 0
 Drug 105                                                                                                                                O=C1c2ccccc2-c2ccccc21 0
Drug 2959                                                                                                                   COC(=O)Nc1nc2cc(Sc3ccccc3)ccc2[nH]1 0
Drug 6432                                                                                                                                         CC(O)CNCC(C)O 0
Drug 1357                                                                                                                       Cn1ccc2c3c(ccc4ccc(O)cc43)ccc21 1
Drug 6626                                                                                                                                C[n+]1cccc2c1C=CC1OC21 1
Drug 1853                                                                                                                                Clc1cccc2cc3ccccc3cc12 0
Drug 4718                                                                                                                             O=[P@@]1(NCCCl)OCCCN1CCCl 1
Drug 4033                                                                                                      CC1Cc2ccc(C(=O)NC(Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1 0
Drug 2607                                                                                                                          C1=Cc2c(ccc3ccc4ccccc4c23)C1 1
Drug 4874                                                                                                                                               BrCCCBr 0
Drug 7016                                                                                                                       CCOC(=O)C(SP(=S)(OC)OC)c1ccccc1 0
Drug 2964                                                                                                                                      OCc1ccnc2ccccc12 0
Drug 1067                                                                                                                               O=C(Oc1ccccc1)c1ccccc1O 0
Drug 2816                                                                                                                   O=[N+]([O-])c1cc[n+]([O-])c2ccccc12 1
Drug 4863                                                                                                          O=[N+]([O-])O[C@@H]1CO[C@H]2[C@@H]1OC[C@H]2O 0
Drug 5111                                                                                                                                    Nc1ccc(N)c2ccccc12 1
Drug 7217                                                                                                                                CC12CCC(C1)C(C)(C)C2=O 0
 Drug 452                                                                                                                                            CN1CCCC1=O 0
Drug 4643                                                                                                                                          CCN(CCCO)N=O 1
Drug 4038                                                                                                                CCCCCOc1cccc(NC(=O)OC2CCCCC2N2CCCC2)c1 0
Drug 2277                                                                                                                                                 N#CCO 0
Drug 3133                                                                                                                              COc1c2ccc(O)cc2nc2occc12 0
 Drug 403                                                                                                          C1=C[C@H]2O[C@H]2c2cc3ccc4cccc5ccc(c21)c3c45 1
Drug 5913                                                                                                 C/C=C1\CC(C)C(C)(O)C(=O)OCC2=CC[N+]3(C)CCC(OC1=O)C23O 1
Drug 3760                                                                                                                   O=[N+]([O-])c1ccc(Nc2ccc(Cl)cc2)cc1 1
Drug 2954                                                                                                                                          NC1CCCC(N)C1 0
Drug 4719                                                                                                                                    CCOC(=O)CNC(=O)CBr 0
Drug 1323                                                                                                                                    C=C(C)C(=O)OCC(C)O 0
Drug 6328                                                                                                                                O=C1C=C(O)c2ccccc2C1=O 1
Drug 5628                                                                                                                CC1C(O)CCC2=CC(=O)C3(C4(CO)CO4)OC3C21C 1
 Drug 526                                                                                                                              C[n+]1c2ccccc2nc2ccccc21 1
 Drug 540                                                                                                                                Cc1ccc(N(CCCl)CCCl)cc1 0
Drug 6173                                                                                                            COc1ccc(N(CCCl)CCCl)c2oc([N+](=O)[O-])cc12 1
  Drug 71                                                                                                                   Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C 0
Drug 4932                                                                                                                     O=Nc1ccc2ccc3c4ccccc4cc4ccc1c2c43 1
Drug 3386                                                                                                                  c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12 1
Drug 1610                                                                                        O=C1c2cc([N+](=O)[O-])ccc2-c2c1cc([N+](=O)[O-])cc2[N+](=O)[O-] 1
Drug 5785                                                                                                          [O-][N+](=Nc1ccc(Cl)c(Cl)c1)c1ccc(Cl)c(Cl)c1 0
  Drug 28                                                                Cc1cc(O)c2c(c1)C(=O)C13C4C(=O)C56C(=O)c7c(O)cc(C)cc7C(=O)C57C(C(=O)C16C2=O)C(C)C3C7C4C 0
Drug 5320                                                                                                                            CC1(C)O[C@]2(C)CC[C@H]1CC2 0
Drug 2105                                                                                                     CC(C)CCCC(C)C1CCC2C3C=CC4(OO)CC(O)CCC4(C)C3CCC12C 1
Drug 3471                                                                                                          CN(C)c1ccc(N(C)C)c2c1C(=O)c1c(O)ccc(O)c1C2=O 1
Drug 5427                                                                                                                       Cc1c2c(c3ccc4ccccc4c3c1C)CCC2=O 1
Drug 5631                                                                                                                                 O=C(O)Cc1cccc2ccccc12 0
Drug 4122                                                                                                                      Cc1nc2c3c(ccc4ccc(O)cc43)ccc2n1C 1
Drug 1240                                                                                                                                Cc1ccc(S(=O)(=O)O)cc1C 0
Drug 6733                                                                                                             CC1(C)CC2C(O)(C=C(C=O)C34CC23C(=O)OC4O)C1 1
Drug 2800                                                                                                                       CCSc1cc(Cc2ccc(N)c(SCC)c2)ccc1N 1
 Drug 562                                                                                                              O=[N+]([O-])c1ccc2c3c(cccc13)-c1ccccc1-2 1
Drug 4881                                                               COc1cc(-c2ccc(N=Nc3cc(S(=O)(=O)O)c4ccccc4c3O)c(OC)c2)ccc1N=Nc1cc(S(=O)(=O)O)c2ccccc2c1O 0
Drug 2176                                                                                                                                             Fc1cccnc1 0
Drug 5692                                                                                                                                     Oc1ccc2[nH]ccc2c1 0
Drug 6868                                                                                                                                  C(CCOCC1CO1)COCC1CO1 1
Drug 2411                                                                                                                    CCCCOc1cc2c(c3ccc4ccccc4c13)CCC2=O 0
Drug 1777                                                                                                                        O=[N+]([O-])c1ccccc1S(=O)(=O)O 0
Drug 2007                                                                                                                OC1c2cccc3c2C2(OC2C1O)c1cc2ccccc2cc1-3 1
Drug 5769                                                                                                             Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1 0
Drug 2788                                                                                                                         O=C1C(Cl)=C(Cl)C(=O)c2ccccc21 1
Drug 4155                                                                                                                       CN(CCO[N+](=O)[O-])[N+](=O)[O-] 1
Drug 6378                                                                                            CN(C)C(=O)c1nc(CNC(=O)CN)n(-c2ccc(Cl)cc2C(=O)c2ccccc2Cl)n1 0
 Drug 697                                                                                                                                          Oc1ccnc(O)n1 0
Drug 7321                                                                                                                             NC(=O)N(CCCC(N)C(=O)O)N=O 1
Drug 4391                                                                                                                                     N#Cc1c(Cl)cccc1Cl 0
Drug 3562                                                                                                                                 O=[N+]([O-])c1ccccc1O 0
Drug 5087                                                                                                            c1ccc2c(c1)-c1cc3ccccc3c3cc4c(c-2c13)CCCC4 1
Drug 6136                                                                                                                               CNc1ccc2nc(C)c(C)nc2c1C 1
Drug 6542                                                                                                                                      CN1CCCC1c1cccnc1 0
 Drug 584                                                                                                                                        Nc1ccc(Cl)cc1N 1
Drug 1004                                                                                                                                 Brc1ccc(-c2ccccc2)cc1 0
Drug 4544                                                                                                                                   Cc1ccc(C(C)(C)C)cc1 0
 Drug 242                                                                                                                                    CS(=O)c1ccc(Cl)cc1 0
Drug 1661                                                                                                                            O=C=Nc1cccc2c(N=C=O)cccc12 0
Drug 4096                                                                                                               Cc1cc(O)c2c(c1O)C(=O)c1c(O)ccc(O)c1C2=O 1
Drug 5385                                                                                                                      O=C1c2cccc(O)c2C(=O)c2cccc(O)c21 1
Drug 5362                                                                                                                                        CCOC(=O)C(C)=O 0
 Drug 634                                                                                                                                          C[C@@H](O)CO 0
Drug 6538                                                                                                                         CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2 1
Drug 6973                                                                                                                                 O=C(O)c1cc2ccccc2cc1O 0
 Drug 531                                                                                                                                         COc1ccc(N)cc1 1
Drug 6335                                                                                                                                                  ClCl 0
 Drug 580                                                                                                                         C1=C[C@@H]2c3ccccc3O[C@@H]2O1 1
 Drug 738                                                                                                                                       CN(N=O)c1cccnc1 0
Drug 4948                                                                                                              CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1 0
Drug 6630                                                                                                             CCOP(=O)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1 1
Drug 2870                                                                                                                O=[N+]([O-])c1c2ccccc2cc2c1ccc1ccccc12 0
Drug 4983                                                                                                                                 Nc1cc(Cl)c(Cl)c(Cl)c1 0
 Drug 950                                                                                                                    N#C/C(=C\C=C\c1ccccc1)c1ccc(Cl)cc1 1
Drug 3142                                                                                                             CS(=O)(=O)OC[C@@H](O)[C@H](O)COS(C)(=O)=O 1
Drug 5570                                                                                                                                             CN1CCNCC1 0
Drug 3584                                                                                                                            Cc1ccc([N+](=O)[O-])cc1N=O 1
Drug 3595                                                                                                   CCCC[C@H](CC)COC(=O)c1cccc(C(=O)OC[C@@H](CC)CCCC)c1 0
Drug 4756                                                                                                                                 NC(=O)N(CCCC(=O)O)N=O 1
Drug 6363                                                                                                                                         Cc1cccc(N)c1C 1
Drug 2136                                                                                                                                     O=C(O)C1OC1C(=O)O 0
Drug 1166                                                                                                       COC(=O)/C(=C/c1ccc([N+](=O)[O-])o1)[N+](=O)[O-] 1
Drug 5304                                                                                                         OC1C=Cc2c(cc3c4c(cc5ccccc53)-c3ccccc3-c24)C1O 1
Drug 4705                                                                                                                                          CN(CCCCO)N=O 1
Drug 2707                                                                                                                                      C=CC(=O)OCCN(C)C 0
Drug 2245                                                                                                                O=c1oc2cccc(O)c2cc1[C@@H]1CCc2ccccc2C1 0
Drug 4123                                                                                                                                 CCOc1ccccc1OCC1CNCCO1 0
 Drug 546                                                                                                    CC(=O)Nc1ccc(C)c(N=[N+]([O-])c2cc(NC(C)=O)ccc2C)c1 0
Drug 1275                                                                                                                                        COc1ccc(CO)cc1 0
 Drug 255                                                                                                                        O=C(c1ccc2c(c1)OCO2)[C@@H]1CO1 1
Drug 1837                                                                                                                         O=[N+]([O-])c1ccc(-c2cscn2)o1 1
 Drug 430                                                                                                                                       CN(N=O)c1ccccc1 1
Drug 5225                                                                                                                                         OCc1ccc(O)cc1 0
Drug 6534                                                                                                                Oc1cc2c(cc1O)C1c3ccc(O)c(O)c3OCC1(O)C2 0
Drug 3474                                                                                                                                   CC1CCCC2(C)CCCCC12O 0
Drug 3127                                                                                                                                         Nc1ccc(Cl)cc1 1
 Drug 238                                                                                                       CC[N+]([O-])(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12 1
 Drug 926                                                                                                                                 c1ccc2c(c1)oc1ccccc12 0
Drug 4952                                                                                                           CCOc1ccc(C(C)(C)C)cc1NC(=O)C(=O)Nc1ccccc1CC 0
Drug 3903                                                                                                       O=C(O)c1cc2c(c3c1c([N+](=O)[O-])cc1ccccc13)OCO2 1
Drug 5441                                                                                                                            CN(CC(=O)NN)c1ccc2ccccc2c1 0
Drug 2606                                                                                                                  C=C[C@@H](OC(C)=O)c1ccc(OC)c2ccccc12 1
Drug 4949                                                                                                       CCC(=O)/N=c1\sn(C(=O)CC)c2ccc([N+](=O)[O-])cc12 1
Drug 5802                                                                                                O=C(O)C1OC(Oc2ccc3ccc4cc5ccccc5c5ccc2c3c45)C(O)C(O)C1O 0
 Drug 513                                                                                                    O=[N+]([O-])c1ccc2ccc3ccc([N+](=O)[O-])c4ccc1c2c34 1
Drug 4887                                                                                                           O=[N+]([O-])c1c(O)cc2c3c(cccc13)-c1ccccc1-2 1
Drug 4851                                                                                                                                    Nc1nc2ncnc-2c[nH]1 0
Drug 6476                                                                                                                                C=C(C)C1CC=C(C)C(=O)C1 0
Drug 2480                                                                                                                                           Cc1c[nH]cn1 0
 Drug 990                                                                                                                               COc1nc2cccc(CBr)c2nc1OC 1
Drug 2595                                                                     O=S(=O)(O)c1cc(N=Nc2c(O)ccc3ccccc23)ccc1-c1ccc(N=Nc2c(O)ccc3ccccc23)cc1S(=O)(=O)O 0
Drug 1460                                                                                                            O=S(=O)(O)OCc1c2ccccc2c(CO)c2c1ccc1ccccc12 1
Drug 2316                                                                                                                                CCCCN(C[C@H](O)CCO)N=O 1
Drug 1993                                                                                                                        CN(CCC#N)c1ccc(N=Nc2ccccc2)cc1 1
Drug 1968                                                                                                         Nc1ccc(-c2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1 0
Drug 5253                                                                                                                           Nc1cc2c3ccccc3ccc2c2ccccc12 1
Drug 4059                                                                                                                                  O=C(NCc1ccccc1)C1CO1 1
Drug 6674                                                                                                           C=CCC1C(=O)CC(OC(=O)C2C(C=C(C)C)C2(C)C)=C1C 1
Drug 3590                                                                                                                               O=C1c2ccccc2CCc2ccccc21 0
Drug 7118                                                                                                                                         CC(O)COCC(C)O 0
Drug 2074                                                                                                          COC(=O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+](=O)[O-] 1
Drug 1760                                                                                                                                          CCCC/C=C/C=O 1
Drug 1868                                                                                               CCN(CC[N+](C)(C)C)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1 1
Drug 2464                                                                                                                                          CCOc1ccccc1N 0
Drug 4808                                                                                                   O=C1c2ccccc2-c2ccc(Oc3ccc(S(=O)(=O)O)cc3)c3cccc1c23 1
Drug 1118                                                                                                                         Cc1cnc2c(cc(C)c3c2nc(N)n3C)n1 1
Drug 3082                                                                                                                              Nc1ccc(-c2ccc(Cl)cc2)cc1 1
Drug 6413                                                                                                                              COC(=O)Nc1nc2ccccc2[nH]1 1
Drug 2251                                                                                                                                        CNC(=O)N(C)N=O 1
Drug 1466                                                                                                         COC(=O)Nc1nc2cc(/C(=N/O)c3ccc(F)cc3)ccc2[nH]1 1
Drug 5193                                                                                                                      O=C1C(O)=C(O)O[C@@H]1[C@@H](O)CO 0
Drug 3250                                                                                                                                    Nc1[nH]cnc2ncnc1-2 1
Drug 2506                                                                                            Cc1c(N=[N+]([O-])c2cccc([N+](=O)[O-])c2C)cccc1[N+](=O)[O-] 0
Drug 6301                                                                                                                           COc1ccc(CNC(=O)C(C)Br)cc1OC 1
 Drug 885                                                                                                                           CNc1ccc(N=Nc2ccc(NC)cc2)cc1 0
Drug 5795                                                                                                                                            CC(C)(C)Br 1
Drug 3628                                                                                                                            O=[N+]([O-])c1cccc(Cl)c1Cl 0
 Drug 292                                                                                                                Cc1c2ccccc2cc2c3c(ccc12)C(O)C(O)C1OC31 1
 Drug 364                                                                                                                 O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1 0
Drug 3855                                                                                                                 CCCCCCCCS(=O)[C@H](C)Cc1ccc2c(c1)OCO2 0
Drug 2456                                                                                                                 CC(C)CC(NC(=O)COc1ccc(Cl)cc1Cl)C(=O)O 0
 Drug 605                                                                                                      C/C=C/C(=O)OC1CC2OC3C=C(C)C(=O)CC3(C)C1(C)C21CO1 0
Drug 3374                                                                                                                                     CC(C)(Br)C(Br)CCl 0
Drug 2145                                                                                                           O=[N+]([O-])c1ccc2c3c(cccc13)-c1cc(O)ccc1-2 1
Drug 7127                                                                                                                  O=C1c2ccccc2C(=[N+]([O-])O)c2ccccc21 0
Drug 2625                                                                                                         C[C@@H]1OCCc2cc3c(cc21)C(C)(C)[C@@H](C)C3(C)C 0
Drug 3210                                                                                                                   CCC1C(c2ccc(O)cc2)=C(C)c2cc(O)ccc21 0
Drug 1829                                                CCN(Cc1cccc(S(=O)(=O)O)c1)c1ccc(C(=C2C=CC(=[N+](CC)Cc3cccc(S(=O)(=O)O)c3)C=C2)c2ccc(S(=O)(=O)O)cc2)cc1 1
Drug 3921                                                                                                                                        CC(Br)(CCl)CBr 0
Drug 3846                                                                                                                                  CCNC(=O)CCC(N)C(=O)O 0
Drug 1759                                                                                                                                     NCCc1ccc(O)c(O)c1 1
 Drug 142                                                                                                                                        N#Cc1ccccc1C#N 0
Drug 5563                                                                                                                     CCCCC(CC)COC(=O)c1ccc(N(C)N=O)cc1 0
Drug 1150                                                                                                                                           C=CCNC(N)=S 0
 Drug 895                                                                                                                     Nc1ccc(NC(=O)c2ccc(C(=O)O)cc2)cc1 0
Drug 6823                                                                                                                                 NC(CSC(Cl)=CCl)C(=O)O 1
 Drug 482                                                                                                                              Cc1c(N)cccc1[N+](=O)[O-] 1
Drug 1528                                                                                                                                         C=COCC(F)(F)F 1
Drug 2634                                                                                                                                       Oc1cccc2ncccc12 1
 Drug 700                                                                                                                     [N-]=[N+]=NCC(O)Cn1cnc2c(N)ncnc21 1
Drug 1258                                                                                                                            CCCCN(CC(O)c1ccc(O)cc1)N=O 0
Drug 4910                                                                                                                         O=C1CCC(C(=O)N2CSCC2C(=O)O)N1 0
Drug 2504                                                                                                                            COc1cc(CNC(=O)C(C)Br)ccc1O 1
Drug 5937                                                                                                             CN1C(=O)C23CC4=CC=CC(O)C4N2C(=O)C1(CO)SS3 0
Drug 5380                                                                                                                              Nc1cccc([N+](=O)[O-])c1O 0
Drug 1940                                                                                                                              CCCCOC(=O)c1cccc2cccnc12 0
Drug 3617                                                                                                                                                 ClCBr 1
Drug 3870                                                                                                                                             CCN(CC)CC 0
Drug 5262                                                                                                                                         ClC(Cl)(Cl)Cl 0
Drug 4181                                                                                                                   Cc1cc([N+](=O)[O-])ccc1[N+](=O)[O-] 1
Drug 1904                                                                                                                              Nc1cccc2nc3cccc(N)c3nc12 0
Drug 2834                                                                                                                O=C(Nc1cccc(F)c1)c1csc([N+](=O)[O-])c1 1
Drug 4342                                                                            CSCCC(NC(=O)C(N)Cc1c[nH]c2ccccc12)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(N)=O 0
 Drug 925                                                                                                                   OC1C=Cc2cc3c(ccc4ccccc43)c(Cl)c2C1O 0
Drug 4017                                                                                                                              O=NN(CCCl)C(=O)NC1CCCCC1 1
 Drug 192                                                                                                                              CCc1ccc([N+](=O)[O-])cc1 0
Drug 5808                                                                                                  CC(=O)c1c(O)c(C)c(O)c2c1OC1=CC(=O)C(C(C)=O)C(=O)C12C 0
Drug 5539                                                                                                                         Cc1cccc2c([N+](=O)[O-])cccc12 1
Drug 5632                                                                                                    CC12CCC(=O)C=C1C1CC1C1C2CCC2(C)C1C1CC1C21CCC(=O)O1 0
Drug 4796                                                                                                                         Cc1ncc([N+](=O)[O-])n1CC(=O)O 1
Drug 4498                                                                                                                                             Fc1ccccc1 1
 Drug 818                                                                                                            CC(=O)OC1Cc2c(C)ccc3cc4c(ccc5ccccc54)c1c23 1
Drug 3812                                                                                                            O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12 1
Drug 4098                                                                                                COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2cc3c(cc2CCN1C)OCO3 0
Drug 1228                                                                                                                           COP(=S)(OC)Oc1ccc(SC)c(C)c1 0
Drug 5812                                                                                                                      O=[N+]([O-])c1ccccc1[N+](=O)[O-] 1
Drug 4288                                                                                                                               Fc1cnc2c(ccc3ccccc32)c1 0
Drug 4428                                                                                                                           Nc1cccc2c1-c1cccc3cccc-2c13 1
Drug 1816                                                                                                                           CNC(=O)Oc1cccc2c1OC(C)(C)C2 0
Drug 1267                                                                                                                                  C[n+]1cccc(C(=O)O)c1 0
Drug 3883                                                                                                                                               C1CCCC1 0
Drug 5431                                                                                                               NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl 0
Drug 4608                                                                                                                      Nc1nc(-c2ccc([N+](=O)[O-])s2)cs1 1
Drug 6049                                                                                                                C[C@@H]1CNC(=O)N1c1ncc([N+](=O)[O-])s1 1
Drug 2694                                                                                                                             CN(N=O)C(=N)N[N+](=O)[O-] 1
Drug 6536                                                                                                                                C=CC(O)c1ccc2c(c1)OCO2 0
Drug 1151                                                                                                 CC(C)(O)CCc1ccc(O)c2c(=O)c3c(O)c4c(cc3oc12)OC1OC=CC41 1
Drug 5378                                                                                                                                       Nc1ccccc1C(=O)O 0
Drug 3925                                                                                                                  O=C(Nc1ccccc1F)c1csc([N+](=O)[O-])c1 1
Drug 2467                                                                                                                     OC1c2ccccc2-c2cc3ccccc3c(Cl)c2C1O 0
Drug 4219                                                                                                                             COP(=S)(OC)SCC(=O)N(C)C=O 0
Drug 2428                                                                                                                     COC(=O)/C(=C/c1ccco1)[N+](=O)[O-] 0
 Drug 180                                                                                                                         O=C1NC(=O)C(Cl)(Cl)C1=C(Cl)Cl 1
Drug 6879                                                                                                                         COC(=O)C12OC1(C)C(C(C)C)OC2=O 1
Drug 7475                                                                                                                                      Nc1ccc(N)c(Cl)c1 1
Drug 3963                                                                                                              Cc1ccc(NC2OC[C@@H](O)[C@H](O)[C@H]2O)cc1 1
Drug 1202                                                               CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C 0
Drug 5519                                                                                      CN(c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-])[N+](=O)[O-] 1
Drug 4226                                                                                                                                       COc1ccc(C=O)cc1 0
Drug 3446                                                                                                                                             CCCC(=O)O 0
Drug 2171                                                                                                                             CC(C)(C)c1c(N)ccc2ccccc12 0
Drug 5579                                                                                                                                                CN(C)C 0
 Drug 424                                                                                                                       Nc1nc(=O)n(C2OC(CO)C(O)C2O)cc1O 0
  Drug 81                                                                                                                        CCNC(=O)Nc1ncc([N+](=O)[O-])s1 1
Drug 1967                                                                                                      CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1 0
Drug 1392                                                                                                                 Cc1ccc2c(C)c3c(nc2c1)-c1ccccc1C(O)C3O 0
Drug 3260                                                                                                                                        NC(=O)NCC(=O)O 0
Drug 6667                                                                                                                       CC(=O)N1CCCC1C(=O)N(CC(=O)O)N=O 1
Drug 3573                                                                                                                     NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1 1
Drug 1828                                                                                                                Cc1cc(N=Nc2ccc(S(=O)(=O)O)cc2)c(N)cc1N 1
Drug 2696                                                                                                   O[C@H]1[C@H](O)c2cc3ccc4ccccc4c3cc2[C@@H]2O[C@@H]21 1
 Drug 136                                                                                                                               COc1ccc(O)c(C(C)(C)C)c1 0
Drug 5761                                                                                                                               O=C(O)Cc1c[nH]c2ccccc12 0
Drug 1233                                                                                                                 Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C)c2cc1C 1
Drug 6090                                                                                                                                             C=CCN=C=S 1
Drug 6268                                                                                                 Cc1ccc(Nc2ccc(N)c3c2C(=O)c2ccccc2C3=O)c(S(=O)(=O)O)c1 1
