Drug 5999                                                                                                                                                     CCn1c(N)nc2c3cccnc3cc(C)c21 1
Drug 7116                                                                                                                                         Nc1ccn(C2OC(COP(=O)(O)O)C(O)C2O)c(=O)n1 0
Drug 2419                                                                                                                                                                 Cc1ccc2ncccc2c1 1
Drug 1503                                                                                                                                                    O=C(NCc1ccccc1)C(Br)c1ccccc1 0
Drug 5568                                                                                                                                             CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21 0
Drug 5497                                                                                                                                        CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1 0
 Drug 888                                                                                                                                                                          CCOCCO 0
 Drug 759                                                                                                                                                        CS(=O)(=O)c1ccc(O)c(N)c1 0
Drug 5356                                                                                                                                       CCN(CCCl)CCCNc1c2ccc(Cl)cc2nc2ccc(OC)nc12 1
 Drug 460                                                                                                                                                               CCOC(C)C(=O)C(O)O 1
Drug 5412                                                                                                                            O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1O 0
Drug 3674                                                                                                                                                                     CCCCCC(=O)O 0
Drug 4891                                                                                                                                                    Cn1cc2cccc([N+](=O)[O-])c2n1 1
Drug 3345                                                                                                                                                        CC(=O)CC(=O)Nc1ccc(O)cc1 0
 Drug 272                                                                                                                                                     COC(=O)/C(C#N)=C/c1ccccc1Br 0
Drug 5316                                                                                                                                O=[N+]([O-])c1ccc2c(ccc3cc4c(ccc5ccccc54)cc32)c1 1
Drug 6152                                                                                                                                                                        CC(Cl)CO 1
Drug 1530                                                                                                                                                          O=C(O)C[C@H](Cl)C(=O)O 0
 Drug 361                                                                                                                                                                       COCC(=O)O 0
Drug 3722                                                                                                                                                                      COC(C)(C)C 0
Drug 7021                                                                                                                                                          CCC(C(C)O)=[N+]([O-])O 0
Drug 3659                                                                                                                    O=[N+]([O-])c1ccc2c([N+](=O)[O-])cc3cccc([N+](=O)[O-])c3c2c1 1
Drug 3731                                                                                                                                                    CC(C)c1c(N)ccc2c1Cc1ccccc1-2 1
Drug 4787                                                                                                                                                                        CN(C)C=O 0
Drug 7392                                                                                                                                                      CC1CCc2c1ccc1c2ccc2ccccc21 1
Drug 3167                                                                                                                                                       C1=Cc2c3ccccc3cc3cccc1c23 1
Drug 6821                                                                                                                           C[N+](C)(C)CCNCCc1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1 1
Drug 1984                                                                                                                                                     Cc1cc(N(C)C)ccc1N=Nc1ccccc1 1
Drug 6671                                                                                                                                            O=[N+]([O-])c1ccc(C=C=[N+]([O-])O)o1 1
Drug 4001                                                                                                                                                   Cc1c(C(=O)O)cccc1[N+](=O)[O-] 1
Drug 1399                                                                                                                                              O=[N+]([O-])c1ccc([N+](=O)[O-])cc1 1
Drug 5572                                                                                                                                                    c1ccc2c(c1)ccc1c3ccncc3ccc21 1
Drug 5444                                                                                                                        [O-][N+](=Nc1ccc2c(c1)Cc1ccccc1-2)c1ccc2c(c1)Cc1ccccc1-2 0
 Drug 941                                                                                                                            O=[N+]([O-])c1cc2cccc([N+](=O)[O-])c2cc1[N+](=O)[O-] 1
Drug 4636                                                                                                          CN1CCN(c2ccc3[nH]c(-c4ccc5[nH]c(-c6ccc(N(CCCl)CCCl)cc6)nc5c4)nc3c2)CC1 0
Drug 4424                                                                                                                                                  OC1C=CC2=C(c3cccc4cccc2c34)C1O 1
Drug 5478                                                                                                                                                      O=[N+]([O-])c1ccc2ccccc2c1 1
Drug 6991                                                                                                                                      CC12CC(C=O)C(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O 0
Drug 2099                                                                                        Cc1c(N=[N+]([O-])c2cc([N+](=O)[O-])c(C)c([N+](=O)[O-])c2)cc([N+](=O)[O-])cc1[N+](=O)[O-] 1
Drug 2927                                                                                                            O=C1c2ccccc2C(=O)c2c1cc(OC1OC(COC3OCC(O)C(O)C3O)C(O)C(O)C1O)c(CO)c2O 1
   Drug 7                                                                                                                                                    [N-]=[N+]=CC(=O)OCC(N)C(=O)O 1
 Drug 405                                                                                                                                                                   COP(=O)(OC)OC 1
Drug 5540                                                                                                                                                        O=NN(Cc1ccccc1)Cc1ccccc1 0
 Drug 200                                                                                                                                                                   COc1cccc(N)c1 1
Drug 3738                                                                                                                                     CN(C)CCCNc1c2ccccc2nc2cccc([N+](=O)[O-])c12 1
 Drug 718                                                                                                                                                                     Cc1ccc(C)o1 0
  Drug 47                                                                                                                                                        CCO[P@](=S)(CC)Sc1ccccc1 0
  Drug 78                                                                                                                                                                  CCCCCCCC(=O)Cl 1
Drug 3444                                                                                                                                                                        CN(N)C=O 0
Drug 6457                                                                                                                                                              CNC(C)C(O)c1ccccc1 0
Drug 2537                                                                                                                                                                Cc1ccc(NCCCl)cc1 1
Drug 7098                                                                                                                     CN(C)c1ccc(C2CC3(C)C(CCC3(O)C=CCO)C3CC=C4CC(=O)CCC4=C23)cc1 0
Drug 5094                                                                                                                                                            CC(=O)Oc1ccc(CCl)cc1 1
Drug 7189                                                                                                                                                             C=C1C2CCC(C2)C1(C)C 0
Drug 2001                                                                                                                                                               CCCCCCOC[C@H]1CO1 1
Drug 4133                                                                                                                                                    Cc1cc2c(c3ccc4ccccc4c13)CCC2 0
Drug 6525                                                                                                     COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC 0
Drug 7115                                                                                                                                                                CCOP(=O)(OCC)OCC 0
Drug 4277                                                                                                                       O=[N+]([O-])c1ccc(-c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1 1
Drug 5049                                                                                                                                                               CC(C)(OO)c1ccccc1 1
Drug 3413                                                                                                                                                                  ClCc1ccccc1CCl 0
Drug 1445                                                                                                                                                      O=C(O)COc1cc(Cl)c(Cl)cc1Cl 0
Drug 5956                                                                                                                            CC(=O)OC1(C(C)=O)CCC2C3CC(C)C4=CC(=O)CCC4(C)C3CCC21C 0
Drug 4292                                                                                                                            NC1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)C1 1
 Drug 190                                                                                                                                             Cc1ccc2c(c1)C(C)C1C(=Nc3ccccc31)N2C 1
Drug 2553                                                                                                      CCN(CC)c1ccc2c(-c3ccc(S(=O)(=O)O)cc3S(=O)(=O)O)c3ccc(=[N+](CC)CC)cc-3oc2c1 1
 Drug 288                                                                                                                                                   CCN(CC)c1ccc([N+](=O)[O-])cc1 1
Drug 2720                                                                                                                                          CC(=O)Nc1nc(-c2ccc([N+](=O)[O-])o2)cs1 1
Drug 4519                                                                                                                                                   CN1C(=O)CCC1c1ccc[n+]([O-])c1 0
Drug 4061                                                                                                                                                                  O=S1(=O)OCCCO1 1
Drug 1885                                                                                                                                                          Nc1ccc(/C=C/C(=O)O)cc1 0
Drug 4279                                                                                                                                                                 N#Cc1ccc(CO)cc1 0
Drug 3695                                                                                                                                                CCOC(=O)Nc1cccc2c3c[nH]ccc-3nc12 0
Drug 2960                                                                                                                                                       O=[N+]([O-])c1ccc(CBr)cc1 1
Drug 6279                                                                                                                  O=C1CC[C@@H]2c3c(ccc(O)c31)-c1ccc(O)c3c1[C@@]2(O)[C@H](O)CC3=O 1
Drug 2386                                                                                                              CC(=O)OCCN(CCOC(C)=O)c1ccc([N+](=O)[O-])c2c(NCCCN(C)C)c3ccccc3nc12 1
Drug 6982                                                                                                                                                                     C=CC(Cl)CCl 0
 Drug 458                                                                                                                                                              Oc1ccc2c(O)cccc2c1 1
Drug 4542                                                                                                                                                    O=C(OOC(=O)c1ccccc1)c1ccccc1 0
Drug 6175                                                                                                                                                CCN(CC)C(=S)SC1OC(CO)C(O)C(O)C1O 0
Drug 1282                                                                                                                                                                   C=C(Br)C(=O)O 0
Drug 7307                                                                                                                                O=C1c2ccccc2C(=O)c2c1ccc(C1OC(CO)C(O)C(O)C1O)c2O 1
Drug 2976                                                                                                                                                                           CCCCN 0
Drug 2033                                                                                                                                            O=C1CCc2c3c(c4c(ccc5ccccc54)c21)CCC3 0
Drug 6818                                                                                                                                 O=[N+]([O-])c1cc2c3c(ccc2c2ccccc12)C(O)C(O)C=C3 1
Drug 3858                                                                                                                                                               COc1ccc(N)c(OC)c1 1
Drug 2254                                                                                                                                                 CC(C)(COC[C@H]1CO1)COC[C@H]1CO1 1
  Drug 39                                                                                                                                                     Oc1cc2c3ccccc3ccc2c2ccccc12 1
Drug 4745                                                                                                                                            CC(=O)OCc1ccc(N=Nc2ccc(N(C)C)cc2)cc1 1
Drug 5224                                                                                                                                                                  COC(=O)c1ccco1 0
Drug 6880                                                                                                                                                              O=C(CBr)NCc1ccccc1 1
Drug 4370                                                                                                                                                               CC(C)COS(C)(=O)=O 1
Drug 6860                                                                                                                                              COc1cc(O)c2c(O)c3c(O)cc(C)cc3cc2c1 1
Drug 2883                                                                                                                                                           NC(=O)Nc1cccc2cccnc12 0
Drug 1337                                                                                                                                                          CCNc1nc(O)nc(NC(C)C)n1 0
Drug 4278                                                                                                                                          Cc1ccc(N=[N+]([O-])c2ccc(C)c(N)c2)cc1N 1
Drug 7398                                                                                                                                                            CC1CN(N=O)CC(C)N1N=O 1
Drug 4272                                                                                                                                                CC[C@@H]([C@@H](C)O)[N+](=O)[O-] 0
Drug 4828                                                                                                                                                                           O=CCO 0
Drug 6940                                                                                                                                                              CC(=O)NC(CS)C(=O)O 1
Drug 4281                                                                                                                                        O=[N+]([O-])c1ccc(/C=N/c2snc3ccccc23)cc1 1
 Drug 428                                                                                                                                     O=[N+]([O-])c1ccc2c3c(c(O)ccc13)-c1ccccc1-2 1
 Drug 467                                                                                                                                     C=CC[C@]1([C@H](C)C#CCC)C(=O)NC(=O)N(C)C1=O 0
Drug 6967                                                                                                                              CN1C(CSCC(F)(F)F)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O 0
Drug 6244                                                                                                                                                       C1=Cc2cc3ccccc3c3cccc1c23 1
Drug 5669                                                                                                                                                CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1 0
Drug 3116                                                                                                                                                                    CCOCCOC(C)=O 1
 Drug 516                                                                                                                                       O=Nc1ccc2ccc3c([N+](=O)[O-])ccc4ccc1c2c43 1
Drug 4062                                                                                                                                                             O=C(O)Cc1ccc(Cl)cc1 0
Drug 4961                                                                                                                                                          Cn1c(N)nc2ccc(C#N)cc21 1
Drug 6801                                                                                                                                   COc1cc2c(c3oc(O)c4c(O)ccc-4c13)C1C(O2)OC2OC21 1
Drug 4244                                                                                                                                                      Cc1c(N=O)cccc1[N+](=O)[O-] 0
Drug 5449                                                                                                                                                          CC(=O)c1c(O)cc(C)oc1=O 0
Drug 5831                                                                                                                                            COc1cc2c3c(cc(C)c2c2ccccc12)C(=O)CC3 1
Drug 5000                                                                                                                                                                     Cc1cc(N)sn1 1
Drug 2973                                                                                                                                                O=[N+]([O-])c1ccc2cc3ccccc3cc2c1 1
Drug 5603                                                                                                                                               O=C(O)c1occ(-c2ccccc2)c1-c1ccccc1 0
Drug 4805                                                                                                            CCN(CCCl)c1ccc(-c2nc3cc(-c4nc5cc(N6CCN(C)CC6)ccc5[nH]4)ccc3[nH]2)cc1 0
Drug 6357                                                                                                                                           CCN(CC)CCNc1ccc(C)c2sc3ccccc3c(=O)c12 1
Drug 3577                                                                                                                                            Cc1c2c(c(C)c3ccccc13)C1NC1c1ccccc1-2 1
Drug 5990                                                                                                                                                            O=C(O)CC[N+](=O)[O-] 1
Drug 5597                                                                                                                                                     Cc1c(N)cc(N)cc1[N+](=O)[O-] 1
Drug 2463                                                                                                                                                 Cc1cc2cc3ccccc3c3ccc4cccc1c4c23 1
Drug 1959                                                                                                                                                              C1N2CN3CN1CN(C2)C3 1
Drug 3935                                                                                                                                                  CN(Cc1ccc([N+](=O)[O-])cc1)N=O 1
Drug 4205                                                                                                                                       CCOP(=O)(NC(C)CC)Oc1cc(C)ccc1[N+](=O)[O-] 0
Drug 1987                                                                                                                                              CCC(=O)N(O)c1ccc(/C=C/c2ccccc2)cc1 1
Drug 3478                                                                                                                                                                COC(F)(F)C(Cl)Cl 0
Drug 3081                                                                                                                                                                     FC(F)(F)CCl 0
Drug 6449                                                                                                                                           O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr 1
 Drug 380                                                                                                                                               ClCc1cc2cccc3ccc4c5ccccc5cc1c4c32 1
Drug 3311                                                                                                                                                                        COCCOCCO 0
Drug 2109                                                                                                                                                 Cc1cccc2c1cc1ccc3cccc4ccc2c1c34 1
Drug 5184                                                                                                                                                               O=P(O)(O)OCC(O)CO 0
Drug 3777                                                                                                                                                      O=C(CCl)Nc1snc2cc(Cl)ccc12 1
Drug 3788                                                                                                                         CC(C)=C[C@H]1[C@H](C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C 1
Drug 3874                                                                                                                                                        C=CC(=O)OCCCCCCOC(=O)C=C 0
Drug 3678                                                                                                                                                   Cc1ccc2c(c1)C(=O)c1ccccc1C2=O 0
Drug 1663                                                                                                                                         COc1cccc2c1cc1c3c(cc4c(c32)OCO4)C(=O)N1 1
 Drug 988                                                                                                                                                                   C[C@@H](O)CBr 1
Drug 4744                                                                                                                                                     Oc1ccc(Cl)cc1Sc1cc(Cl)ccc1O 0
 Drug 953                                                                                                                                    Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1 0
Drug 1571                                                                                                                                                          c1scc2c1-c1cscc1C1OC21 1
Drug 5963                                                                                                           COC1=C(N)C(=O)c2nc(-c3nc(C(=O)O)c(C)c(-c4ccc(OC)c(OC)c4O)c3N)ccc2C1=O 1
 Drug 162                                                                                                                                                   c1ccc2c(c1)ccc1ccc3c(c12)CCC3 1
Drug 1408                                                                                                                                                                 CCC/C=C(\C=O)CC 0
Drug 5342                                                                                                                                                       CCCCCCCCOc1ccc(C(=O)O)cc1 0
 Drug 745                                                                                                                                                      c1cc2ccc3cccc4ncc(c1)c2c34 1
Drug 3527                                                                                                                                                  CC/C=C/C=C/C=C/C=C/C=C/OCC(C)O 1
Drug 2372                                                                                                                                       CC(C)(C)c1ccc(-c2ccc([N+](=O)[O-])cc2)cc1 0
Drug 5433                                                                         CCN(Cc1cccc(S(=O)(=O)O)c1)c1ccc(C(=C2C=CC(=[N+](CC)Cc3cccc(S(=O)(=O)O)c3)C=C2)c2ccc(O)cc2S(=O)(=O)O)cc1 0
Drug 4633                                                                                                                                                                          N#CCCO 0
   Drug 2                                                                                O=c1c2ccccc2c(=O)c2c1ccc1c2[nH]c2c3c(=O)c4ccccc4c(=O)c3c3[nH]c4c(ccc5c(=O)c6ccccc6c(=O)c54)c3c12 0
 Drug 226                                                                                                                                                 O=C1C=C(S(=O)(=O)O)c2ccccc2C1=O 1
Drug 5373                                                                                                                                O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1 1
 Drug 539                                                                                                                                                                     NCCN1CCNCC1 0
Drug 5090                                                                                                                                               O=Nc1c2ccccc2c2ccc3cccc4ccc1c2c43 1
 Drug 847                                                                                                                             CC(=O)C1=C(O)C2C3c4c[nH]c5cccc(c45)CC3C(C)(C)N2C1=O 1
Drug 2731                                                                                                                                     O=[N+]([O-])c1ccccc1SS/C(Cl)=C(\Cl)C(F)(F)F 1
Drug 2884                                                                                                                                          c1ccc2c(c1)cc1ccc3cc4ccccc4c4ccc2c1c34 1
Drug 5878                                                                                                                                                     Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl 0
Drug 4379                                                                                                                                        O[C@@H]1C=Cc2c(ccc3c2ccc2ccccc23)[C@H]1O 1
Drug 4662                                                                                                                                                              NC(Cn1ccnc1)C(=O)O 1
Drug 4227                                                                                                                                                      c1cc2ccc3ccnc4ccc(c1)c2c34 1
Drug 2989                                                                                                                                                   O=CN(O)c1ccc([N+](=O)[O-])cc1 1
Drug 3468                                                                                                                                                             SC(S)=N/C=C/N=C(S)S 0
Drug 4106                                                                                                                          COc1ccc2c(c1)c1cc(OC)ccc1c1c3ccc(OC)cc3c3cc(OC)ccc3c21 1
 Drug 264                                                                                                                                                               CCCCCCCCn1sccc1=O 0
 Drug 244                                                                                                                                                                       NCCCNCCCN 0
 Drug 797                                                                                                                                                         N=C(N)N=C(N)NCCc1ccccc1 0
Drug 3267                                                                                                                                                                  O=S1(=O)CCCCO1 1
Drug 5894                                                                                                                                              CCCCN(CCO[N+](=O)[O-])[N+](=O)[O-] 1
Drug 4807                                                                                                       CCCC[C@@H](CC)COC(=O)c1ccc(C(=O)OC[C@H](CC)CCCC)c(C(=O)OC[C@H](CC)CCCC)c1 0
Drug 5997                                                                                                                                           COc1cccc2c1ccc1c(C(=O)O)cc3c(c12)OCO3 1
Drug 4002                                                                                                                                 NC(CCC(=O)NC(CSC(=O)NCCCCl)C(=O)NCC(=O)O)C(=O)O 1
Drug 2383                                                                                                                                                                  OCc1ccc(Cl)cc1 0
 Drug 116                                                                                                                                              CC(C)(C)c1ccc(/C=C/c2ccc(N)cc2)cc1 0
Drug 5707                                                                                                                                                 O=C1CCC(=O)N1c1ccc(Cl)c(Cl)c1Cl 0
Drug 3694                                                                                                                                                           Nc1ccc(CCc2ccccc2)cc1 1
Drug 3464                                                                                                                   C=C1C[C@@]23CCC4[C@@](C)(CCC[C@@]4(C)C(=O)O)C2CCC1(OC(C)=O)C3 0
Drug 6897                                                                                                                                COc1cc(O)c2c(=O)c3c(OC)cc4c(c3oc2c1OC)C1C=COC1O4 1
Drug 5548                                                                                                                                                          c1cnc2c(c1)-c1ncsc1CC2 0
Drug 6574                                                                                                                                                                   Cc1ccc(N)cc1N 1
Drug 4490                                                                                                                                           O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1 0
Drug 5797                                                                                                                                                  CC(=O)C1(C)OC12C=Cc1ccccc1C2=O 0
Drug 5630                                                                                                                                                           O=C1C=CC(=O)c2ccccc21 1
Drug 3470                                                                                                                                              O=[N+]([O-])c1ccc(N(CCO)CCO)c(O)c1 1
Drug 2754                                                                                                                                      OC1C2=c3c(cc4cccc5ccc(c3c54)C1O)-c1ccccc12 0
Drug 6186                                                                                                      COc1ccc([N+](=O)[O-])cc1N=Nc1c(O)c(C(=O)Nc2cccc([N+](=O)[O-])c2)cc2ccccc12 1
Drug 5465                                                                                                                                                    COc1ccc(/C=C/c2ccc(N)cc2)cc1 1
 Drug 525                                                                                                                                     CC(=O)N(C)c1ccc(N=Nc2ccc(N(C)C(C)=O)cc2)cc1 0
Drug 1537                                                                                                                      O=[N+]([O-])c1ccc2ccc3ccc([N+](=O)[O-])c4c5c(c1c2c34)CCCC5 1
Drug 6959                                                                                                                                                            OCC(O)c1oc(O)c(O)c1O 0
Drug 3057                                                                                                                                                              O=C(O)c1ccc(Cl)cc1 0
Drug 2941                                                                                                                                                                       COCCOCCOC 0
Drug 4056                                                                                                                                                      O=C(O)/C(Cl)=C(\CCl)C(=O)O 0
Drug 5914                                                                                                                                                CC(C)=CCC1=C(O)C(=O)c2ccccc2C1=O 0
 Drug 912                                                                                                                                                                   CCC(CO)(CO)CO 0
Drug 5636                                                                                                                                                   Oc1c2ccccc2nc2ccc3c(c12)OCCO3 1
Drug 6297                                                                                                                                                         Nc1ccc(Cl)c(C(F)(F)F)c1 0
Drug 7114                                                                                                                                              CC(C)CCC(C)Nc1ccc(NC(C)CCC(C)C)cc1 0
Drug 7002                                                                                                                                              CC12C=CC3=C4CCC(=O)CC4=CCC3C1CCC2O 0
Drug 4691                                                                                                                                                  OCCN(CCO)c1ccc(N=Nc2cccnc2)cc1 0
Drug 5215                                                                                                                                                                          C=CC=O 1
Drug 5922                                                                                                                                                Oc1ccc(Nc2c3ccccc3nc3ccccc23)cc1 1
Drug 1570                                                                                               CCOC(=O)[C@H](CCSC)NC(=O)[C@H](Cc1cccc(N(CCCl)CCCl)c1)NC(=O)[C@@H](N)Cc1ccc(F)cc1 1
Drug 3361                                                                                                                                        NC(CCC(=O)Nc1ccc([N+](=O)[O-])cc1)C(=O)O 0
Drug 2736                                                                                                                               O=[N+]([O-])c1ccc(-c2nc3n(c2[N+](=O)[O-])CCS3)cc1 1
 Drug 969                                                                                                                                       O=S(=O)(O)Oc1ccc2ccc3cc4ccccc4c4ccc1c2c34 1
 Drug 153                                                                                                                               CCCC(=O)/N=c1\sn(C(=O)CCC)c2ccc([N+](=O)[O-])cc12 1
Drug 2128                                                                                                                                                          Cc1cc(-c2ccccc2C)ccc1N 1
Drug 3059                                                                                                                                                              CCc1cc(C(N)=S)ccn1 0
Drug 1093                                                                                                                                                                     FC[C@H]1CO1 1
Drug 4775                                                                                                                                             Fc1ccc2c3c(cccc13)-c1ccc3ccccc3c1-2 1
Drug 5728                                                                                                                                                        Fc1c(F)c(Cl)c(F)c(Cl)c1F 0
Drug 3825                                                                                                                                                                  COc1ccc(C)cc1N 1
Drug 5689                                                                                                                                                                 Oc1cnc2ccccc2c1 0
Drug 6788                                                                                                                                               CCN(CC)CCCC(C)Nc1cc(OC)cc2cccnc12 1
Drug 3174                                                                                                                                                                COc1nncc2cnccc12 0
Drug 3832                                                                                                                                               O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12 0
Drug 4670                                                                                                                                                O=C(NCCCl)Nc1ncc([N+](=O)[O-])s1 1
 Drug 284                                                                                                                                                             O=C(O)/C=C/c1ccccc1 0
Drug 3326                                                                                                                                         COc1cccc(/C=C/c2ccc([N+](=O)[O-])cc2)c1 1
Drug 7012                                                                                                                                           C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12 0
Drug 6404                                                                                                                                                                   Oc1ccc(Cl)cc1 0
Drug 3661                                                                                                                                     O=[N+]([O-])C1=Cc2cccc3c2c1cc1cc2ccccc2cc13 1
Drug 7253                                                                                                 CCCCCCCCCCCCCC(=O)OC1C(C)C2(O)C(C=C(CO)CC3(O)C(=O)C(C)=CC32)C2C(C)(C)C12OC(C)=O 0
Drug 5245                                                                                                                                        Cc1cc([N+](=O)[O-])c(C)c2c1[nH]c1ccccc12 1
Drug 5251                                                                                                                                      O=C(O)c1cc(N=Nc2ccc([N+](=O)[O-])cc2)ccc1O 1
Drug 7332                                                                                                                                           c1cc2ccc3cc4c(c5ccc(c1)c2c35)CCC1OC41 1
Drug 4431                                                                                                                                                                    C=COC(=O)C=C 0
 Drug 958                                                                                                                                                                 Oc1cc(O)cc(O)c1 0
Drug 6226                                                                                                                                        CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1 0
Drug 6276                                                                                                                                                                 CCC1OC1c1ccccc1 0
Drug 6242                                                                                                                                                               Cn1c(N)nc2ccccc21 1
Drug 5861                                                                                                                                                     Cc1cccc2cc3ccc4ccccc4c3cc12 1
Drug 3280                                                                                                                               Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-] 1
Drug 4521                                                                                                                                                 O=C(c1ccccc1)n1ncc(Cl)c(Cl)c1=O 0
Drug 1696                                                                                                                                                                          CN=NNC 1
Drug 6148                                                                                                                                            O=CNc1nc(-c2ccc([N+](=O)[O-])cc2)cs1 1
