Drug 2038                                                                                                                                    CCCCCCCC1CCC(=O)O1 0
Drug 6253                                                                                                                    Cc1ccc(N=Nc2c(O)ccc3ccccc23)c(C)c1 1
Drug 5284                                                                                                         Oc1cc2c(cc1O)[C@H]1c3ccc(O)c(O)c3OC[C@]1(O)C2 0
  Drug 26                                                                                                                        OCc1cc2c3c(cccc3c1)-c1ccccc1-2 0
Drug 7435                                                                                                                         Cc1cc2c(c3ccc4ccccc4c13)CCC2C 1
Drug 2854                                                                                                                  CCCCOC(=O)/C=C/c1ccc([N+](=O)[O-])o1 1
Drug 2877                                                                                                                                  CCC(C)Nc1snc2ccccc12 0
Drug 5832                                                                                                                                      Oc1ccc2c(c1)OCO2 0
Drug 6219                                                                                                                    C1CCC(C(C[C@H]2CCCCN2)C2CCCCC2)CC1 0
Drug 5324                                                                                                                    Cc1cc(O)cc2oc(=O)c3c(O)cc(O)cc3c12 0
Drug 7319                                                                                                              Cc1ccc2cc3c(c4c2c1CC4)C(O)C(O)c1ccccc1-3 1
  Drug 39                                                                                                                           Oc1cc2c3ccccc3ccc2c2ccccc12 1
Drug 2256                                                                                                                                        CCOC(=O)CC(C)O 0
Drug 3109                                                                                                                       N#CCCC(=O)/C=C/c1ccc(C(=O)O)cc1 0
 Drug 203                                                                                                                                    CN(C)c1ccc(N=O)cc1 1
Drug 6422                                                                                                                           Clc1nc(Cl)nc(Nc2ccccc2Cl)n1 0
Drug 3468                                                                                                                                   SC(S)=N/C=C/N=C(S)S 0
Drug 1944                                                                                                                        CC(=O)Nc1cc2c(cc1O)-c1ccccc1C2 0
Drug 4124                                                                                               CCC/C=C/C(=O)OC1C(C)(C)CC2C1(O)C=C(C=O)C13CC21C(=O)OC3O 1
Drug 2520                                                                                                                            OCc1ccc2ccc3cccc4ccc1c2c34 1
  Drug 53                                                                                                                            Cc1cc(N)c(S(=O)(=O)O)cc1Cl 0
Drug 4707                                                                                                    O=C(O)c1cc2c(c3c1c([N+](=O)[O-])cc1c(O)cccc13)OCO2 1
Drug 4136                                                                                                                             Nc1ccc([N+](=O)[O-])cc1Cl 1
Drug 1289                                                                                                                                  Nc1nc(N)c2[nH]cnc2n1 0
 Drug 605                                                                                                      C/C=C/C(=O)OC1CC2OC3C=C(C)C(=O)CC3(C)C1(C)C21CO1 0
 Drug 566                                                                                                           Cc1ccc(N=Nc2c(O)ccc3ccccc23)c(S(=O)(=O)O)c1 0
Drug 1806                                                                                                                  NNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-] 1
Drug 4907                                                                                                      O=[N+]([O-])c1ccc2c(c1)Cc1cc([N+](=O)[O-])ccc1-2 1
Drug 3354                                                                                                                                        NC(=S)NNC(N)=S 0
Drug 4240                                                                                                                    COCC1C=C2c3cccc4c3c(cn4C)CC2N(C)C1 1
Drug 4097                                                                                                                          COc1ccc2cc(C(C)C(=O)O)ccc2c1 0
Drug 5286                                                                                                             O=c1c(Cl)c(Cl)cnn1S(=O)(=O)c1ccc(Cl)cc1Cl 0
Drug 3699                                                                                                                       Cc1cccc2c1N(C)C1=Nc3ccccc3C1C2C 1
 Drug 888                                                                                                                                                CCOCCO 0
Drug 1799                                                                                                                       CC(C)CN(C(=O)CCCl)c1snc2ccccc12 0
Drug 1255                                                                                                                                   O=CN(O)c1cccc(Cl)c1 0
 Drug 820                                                                                                                               CCCCCCCCCCCCCC[C@H]1CO1 0
Drug 6374                                                                                                                 O=C(c1ccccc1)C1OC1c1ccc(Oc2ccccc2)cc1 0
Drug 1916                                                                                                                                 CC(=O)Nc1cccc2ncccc12 0
Drug 2575                                                                                                                                        N=C(N)c1ccccc1 0
 Drug 847                                                                                                   CC(=O)C1=C(O)C2C3c4c[nH]c5cccc(c45)CC3C(C)(C)N2C1=O 1
Drug 5893                                                                                                                                                CC(C)N 0
Drug 3417                                                                                                                Cc1ccc2c(c1Nc1ccccc1)C(=O)c1ccccc1C2=O 1
Drug 1305                                                                                                               COc1ccc(S(=O)(=O)n2ncc(Cl)c(Cl)c2=O)cc1 0
Drug 6044                                                                                                                                 O=C1OCC(C(Br)Br)=C1Br 1
Drug 5934                                                                                                                         O=[N+]([O-])c1cccc2c(Cl)nsc12 1
Drug 3737                                                                                                                  CN(C)C(=O)/C=C/c1ccc([N+](=O)[O-])o1 1
Drug 6320                                                                                                                                            c1c[nH]cn1 0
Drug 6717                                                                                                                       NC(CCC(=O)NNc1ccc(CO)cc1)C(=O)O 1
Drug 1376                          COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@@H]3O)[C@H]3COC(=O)[C@@H]23)OCO4)cc(OC)c1O 1
Drug 3418                                                                                                                               Nc1ccc(Oc2ccc(N)cc2)cc1 1
Drug 4025                                                                                                      Cc1ccc(OP(=O)(Oc2ccc(C)cc2C)Oc2ccc(C)cc2C)c(C)c1 0
Drug 2087                                                                                                                              c1cc2sncc2cc1OC[C@H]1CO1 1
Drug 4098                                                                                                COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2cc3c(cc2CCN1C)OCO3 0
Drug 3521                                                                                                                   O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1 0
Drug 6260                                                                                                                                        CN(C)CCN(C)N=O 1
Drug 5834                                                                                                       NC(=O)c1cc(N2CC2)c([N+](=O)[O-])cc1[N+](=O)[O-] 1
 Drug 571                                                                                                                       CC/C=C/C=C/C=C/C=C/C=C/OCC(O)CO 1
Drug 5938                                                                                                              Cc1cc(C(=C2C=CC(N)C=C2)c2ccc(N)cc2)ccc1N 1
Drug 4562                                                                                                                        O=C1c2ccccc2C(=O)c2c1ccc(O)c2O 1
Drug 3665                                                                                                                                            C[C@H]1CO1 1
Drug 1646                                                                                                            CC(=O)Nc1ccc(NC(C)=O)c2c1C(=O)c1ccccc1C2=O 1
Drug 5187                                          COc1c(O)c2c(c3cc(C(=O)N4CCc5c4c(O)c(OC)c4[nH]c(C(=O)N6CC7CC78C6=CC(=O)c6[nH]cc(C)c68)cc54)[nH]c13)CCN2C(N)=O 0
Drug 5233                                                                                                                                                C=CC#N 1
Drug 5856                                                                                             COc1cc(O)c2c(=O)c3c(OC)cc4c(c3oc2c1OC)[C@@H]1C=CO[C@H]1O4 1
Drug 2381                                                                                                                           [N-]=[N+]=Nc1nc2ccccc2[nH]1 1
Drug 1950                                                                                                               OC1c2ccc3cc4c(ccc5ccccc54)nc3c2C2OC2C1O 1
Drug 6497                                                                                                 CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC)c(OC)cc21 0
Drug 5707                                                                                                                       O=C1CCC(=O)N1c1ccc(Cl)c(Cl)c1Cl 0
Drug 7253                                                                       CCCCCCCCCCCCCC(=O)OC1C(C)C2(O)C(C=C(CO)CC3(O)C(=O)C(C)=CC32)C2C(C)(C)C12OC(C)=O 0
 Drug 483                                                                                                                                       Nc1cnc2ccccc2c1 1
Drug 3733                                                                                                          O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-] 1
Drug 5497                                                                                                              CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1 0
Drug 3223                                                                                                            CN(C)c1ccc(/C=C/c2ccc([N+](=O)[O-])cc2)cc1 1
Drug 5536                                                                                                                        O=C(c1ccccc1)[C@@H](O)c1ccccc1 0
 Drug 366                                                                                                                        CC(=O)c1ccc([N+](=O)[O-])[nH]1 1
Drug 3266                                                                                              O=C(O)C1OC(Oc2ccc3cc4ccc5cccc6ccc(c3c2)c4c56)C(O)C(O)C1O 0
 Drug 480                                                                                               COc1ccc(-c2oc3ccccc3c(=O)c2[N+](=O)[O-])cc1[N+](=O)[O-] 1
Drug 5825                                                                                                            CCCC1(O)CCC2C3CCC4CC(=O)CC(C)C4(C)C3CCC21C 0
Drug 1779                                                                                                                                   CC(C)(Cl)OC(C)(C)Cl 1
 Drug 785                                                                                                                 CC(=O)c1cc(Cc2ccc(N)c(C(C)=O)c2)ccc1N 1
 Drug 768                                                                                                                       CC(=O)N/N=C/C1=CN(O)c2ccccc2N1O 1
Drug 1776                                                                                                                          CCOCN(C(=O)CCl)c1c(C)cccc1CC 0
 Drug 791                                                                                                         CCN(CC)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2C#N)cc1 1
Drug 3544                                                                                                                 OC1c2ccc3c4ccccc4c4ccccc4c3c2C2OC2C1O 1
Drug 1397                                                                                                                              NC(CSC(F)(F)C(F)F)C(=O)O 0
Drug 6736                                                                                                                                       OCC(Br)=C(Br)CO 1
Drug 5404                                                                                                                            Clc1ccc(CSc2ccc(Cl)cc2)cc1 0
Drug 6269                                                                                                               O=[N+]([O-])c1ccc2ccc3ccc(O)c4ccc1c2c34 1
Drug 6265                                                                                                                                  CCOc1ccc(NC(N)=O)cc1 0
Drug 3608                                                                                                                                    [CH2-][N+](=O)[O-] 0
Drug 3888                                                                                                                                         Cc1cccc(C)c1C 1
Drug 5177                                                                                                                                              C/C=C/Cl 1
 Drug 146                                                                                                                     CC1CC2c3cccc4[nH]cc(c34)CC2N(C)C1 1
Drug 4282                                                                                                      O=[N+]([O-])c1ccc2c(c1)cc([N+](=O)[O-])c1ccccc12 1
Drug 4009                                                                                                                                        Nc1ccc2sncc2c1 1
Drug 4759                                                                                                                  CN1CC[C@@H](CN2c3ccccc3Sc3ccccc32)C1 0
 Drug 163                                                                                                                                                N#CCCN 0
Drug 3639                                                                                                                                               C/C=C/C 0
Drug 6683                                                                                                                                   c1ccc(-c2ccccn2)nc1 1
Drug 7125                                                                                                                                    O=C(O)CC(Cl)C(=O)O 0
Drug 3817                                                                                                                                 c1ccc(COCc2ccccc2)cc1 0
Drug 1846                                                                                                                                 CC(=O)Oc1cccc2cccnc12 0
Drug 5595                                                                                                     O=[N+]([O-])c1ccc2ccc3cc4c(c5ccc1c2c35)C=CC(O)C4O 1
 Drug 788                                                                                                                                           Cn1ccnc1N=O 1
Drug 2076                                                                                                                           CNC(=O)/C=C(\C)OP(=O)(OC)OC 1
Drug 4999                                                                                                                             Brc1ccc2c(c1)C=CC1CCCCC21 0
Drug 3139                                                                                                                              Cc1cc(C)c2ccc3ccccc3c2c1 1
Drug 6167                                                                                                                                         C=C(C)OC(C)=O 0
Drug 1644                                                                   Nc1cc(N)c(N=Nc2ccc(S(=O)(=O)O)cc2)cc1N=Nc1ccc(-c2ccc(N=Nc3ccc(O)c(C(=O)O)c3)cc2)cc1 1
Drug 3244                                                                                                           CN(C)CCCNc1c2ccccc2nc2c([N+](=O)[O-])cccc12 1
 Drug 297                                                                                                                                      Cc1ccc(NCCO)cc1O 0
Drug 2254                                                                                                                       CC(C)(COC[C@H]1CO1)COC[C@H]1CO1 1
 Drug 621                                                                                                                                  O=C(OCCBr)C(=O)OCCBr 1
Drug 3771                                                                                           Cc1oc(=O)oc1CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)c2n3C(C)S2)CC1 0
Drug 2083                                                                                                                                       C=CC1CC2C=CC1C2 0
Drug 1564                                                                                                                                       Fc1ccc2ncccc2c1 1
Drug 2335                                                                                                                                           O=C1C=CCCC1 0
Drug 4198                                                                                                                      Nc1nc(O)nc2c1ncn2C1OC(CO)C(O)C1O 0
Drug 2308                                                                                                                                     Cc1cccc(C(=O)O)c1 0
Drug 3726                                                                                                                                     COc1ccc(C=O)cc1OC 0
Drug 2554                                                                                                                         CCC1(C(C)O)OC1(C(N)=O)C(=O)OC 0
Drug 4265                                                                                                                   Fc1cccc2c3c(ccc12)-c1cccc2cccc-3c12 1
Drug 3986                                                                                                                 C1=COc2c(c3cc4ccccc4cc3c3ccccc23)C=C1 1
 Drug 634                                                                                                                                          C[C@@H](O)CO 0
 Drug 474                                                                                                      O=[N+]([O-])c1ccccc1SS/C(Cl)=C(\Cl)C(Cl)=C(Cl)Cl 1
Drug 4972                                                                                                                                       CCOc1ccc(N)cc1N 1
Drug 5456                                                                                                  COc1cc(C2OCC3C(c4cc(OC)c(OC)c(OC)c4)OCC23)cc(OC)c1OC 0
Drug 6290                                                                                                                            CCOC(=O)CNC(=O)C=[N+]=[N-] 1
Drug 6207                                                                                                                                            OCCOCCOCCO 1
Drug 4696                                                                                                                                O=Nc1ccc(Sc2ccccc2)cc1 1
Drug 4203                                                                                                           CC(=O)c1cc(NC(N)=O)ccc1OC[C@H](O)CNC(C)(C)C 1
Drug 6258                                                                                                                                    Nc1cccc2c(Cl)nsc12 1
Drug 5923                                                                                                    CN(C)C(=O)c1nc2n(n1)-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2 0
Drug 6143                                                                                                                  CCCNc1c([N+](=O)[O-])ccc(Cl)c1C(=O)O 0
Drug 2592                                                                                                                                 Nc1cccc(S(=O)(=O)O)c1 0
Drug 4589                                                                                                                              Cc1ccc(N)cc1[N+](=O)[O-] 1
Drug 4465                                                                                                                              CN1CCC=C2c3nc(N)sc3CCC21 1
Drug 5689                                                                                                                                       Oc1cnc2ccccc2c1 0
Drug 5391                                                                                                              CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C 0
Drug 5248                                                                                                                     CS(=O)(=O)OCCc1ccc(OCc2ccccc2)cc1 1
Drug 4988                                                                                                                           Cc1c(Br)c(Br)c(Br)c(Br)c1Br 0
Drug 6367                                      COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(/C(C)=N/NC(=O)c1ccccc1)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1 1
Drug 6906                                                                                                        C=C1CC(=CC)C(=O)OC2CCN3CC=C(COC(=O)C1(O)CO)C23 1
Drug 5881                                                                                                                                    COc1ccc(CC2CO2)cc1 1
Drug 6196                                                                                                          O=P(O)(O)Oc1c(Br)cc(Br)cc1-c1cc(Br)cc(Br)c1O 0
Drug 6361                                                                                                                              CCOC(=O)CNC(=O)C(C)(C)Br 0
Drug 4170                                                                                                                                           CS(C)(=O)=O 0
Drug 3783                                                                                                                                Cc1cc(S(=O)(=O)O)ccc1N 0
Drug 6816                                                                                                                          COC(=O)C12OC1(C)C(C)(O)NC2=O 1
Drug 3358                                                                                                                   CCCCOc1ccc(N=Nc2ccc(N(CC)CC)cc2)cn1 1
Drug 6214                                                                                                                        Cc1cc(N)c(C)c([N+](=O)[O-])c1N 1
Drug 3433                                                                                                        CCN(CC)c1ccc(-c2ccc(-c3ccc(N(CC)CC)cc3)cc2)cc1 1
Drug 6037                                                                                                         Cc1nc2c(c3[nH]c4ccccc4c13)C(=O)C=C(N1CC1)C2=O 1
Drug 6769                                                                                                               O=[N+]([O-])c1ccc2ccc3cccc4c3c2c1C1OC41 1
Drug 3431                                                                                                                                c1ccc2c(c1)Nc1ccccc1S2 0
Drug 1923                                                                                                                                           CCOC(=O)CCl 0
Drug 6742                                                                                                                          c1ccc(-c2ccc(CCC3CO3)cc2)cc1 1
Drug 5143                                                                                                                       O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1 0
Drug 1612                                                                                                           Clc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1 0
Drug 2156                                                                                                                 Cc1cc2c(nc(N)n2C)c2nc(-c3ccccc3)cnc12 1
 Drug 839                                                                                                                    OC1COC(NCCc2c[nH]c3ccccc23)C(O)C1O 1
Drug 2241                                                                                                                                        CCCCN(CCO)CCCC 0
Drug 4900                                                                                                                                  CCC(Cl)CC(Cl)CC(C)Cl 0
 Drug 170                                                                                                                               [N-]=[N+]=NCCC(N)C(=O)O 1
 Drug 894                                                                                                            O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1 1
Drug 5957                                                                                                                               O=C(O)c1cc(O)c2ccccc2n1 0
Drug 6629                                                                                                                                [O-][N+]([O-])=C1CCCC1 1
Drug 2501                                                                                                                               C=CC(=O)NC(C)(C)CC(C)=O 0
 Drug 464                                                                                                                  COc1ccc(OC)c(N=Nc2c(O)ccc3ccccc23)c1 1
Drug 6062                                                                                                                                      CC1CCC2CC1C2(C)C 0
 Drug 237                                                                                                                                  CNC(=O)CSP(=S)(OC)OC 1
Drug 7114                                                                                                                    CC(C)CCC(C)Nc1ccc(NC(C)CCC(C)C)cc1 0
  Drug 86                                                                                                                                              COC(N)=O 0
 Drug 874                                                                                                               O=S(=O)(O)c1ccc2cc(O)c(S(=O)(=O)O)cc2c1 0
Drug 2793                                                                                                                                 Nc1cc(C(F)(F)F)ccc1Cl 0
Drug 2918                                                                                                                                  CC(C)(C#N)C(C)(C)C#N 0
Drug 1731                                                                                                                         O=C(O)[C@@H](O)[C@H](O)C(=O)O 0
Drug 6389                                                                                                                                            N#CC(Br)Br 1
Drug 4157                                                                                                                              Cc1ccc(C)c2c1ccc1ccccc12 1
Drug 4631                                                                                                                                             O=C(O)CBr 1
Drug 3553                                                                                                 Cc1cc(-c2cc3c(cc2F)n2c(=O)[nH]c(=O)cc2n3C2CC2)cc(C)n1 1
Drug 3850                                                                                                                                         Nc1ccc(F)cc1F 1
Drug 3836                                                                                                                                         Oc1cccc(O)c1O 1
Drug 1936                                                                                                                   CC1C=C(C=O)C(C=O)C(O)C2CC(C)(C)CC12 0
Drug 3534                                                                                                                                 O=C(NO)c1ccc2ccccc2c1 1
Drug 2612                                                                                                                                               CC(C)Br 1
Drug 3448                                                                                O=S(=O)(O)c1cc(S(=O)(=O)O)c2c(N=Nc3ccc(S(=O)(=O)O)c4ccccc34)c(O)ccc2c1 0
Drug 7127                                                                                                                  O=C1c2ccccc2C(=[N+]([O-])O)c2ccccc21 0
Drug 1316                                                                                                                                                 CCC=O 0
Drug 5126                                                                                                                              O=[N+]([O-])/C=C/c1ccco1 0
Drug 2101                                                                                                                                             CCOCCOCCO 0
Drug 3926                                                                                                   O=[N+]([O-])c1ccc2ccc3c4c(ccc1c24)c1ccccc1[n+]3[O-] 1
Drug 2160                                                                                                              Cc1ccc2nc3c4c(ccc3c(CO)c2c1)C(O)C(O)C=C4 1
Drug 6638                                                                                                 C=C(C)C1C=C2C(COC(=O)CCCCCCCCCCCCCCCCC)=CC=C2C(C)=CC1 1
Drug 2655                                                                                                                  N[C@@H](CCC(=O)NNc1ccc(CO)cc1)C(=O)O 1
Drug 6097                                                                                          CCOC(=O)C1=C(C)N=C(C)C(=C(O)OCC2COC3(CCCC3)O2)C1c1cccc(Cl)c1 0
Drug 1325                                                                                                                                 COc1cc(OC)c(OC)cc1C=O 0
Drug 3975                                                                                                             O=[N+]([O-])c1ccc2cc3c(cc2c1)C(O)C(O)C=C3 1
Drug 4469                                                                                                                    CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1 0
Drug 3495                                                                                                        O=[N+]([O-])c1c2ccccc2c([N+](=O)[O-])c2ccccc12 0
Drug 6976                                                                                                                                   CCC(CO)=[N+]([O-])O 0
 Drug 870                                                                                                                          Cn1cc2ccc([N+](=O)[O-])cc2n1 1
Drug 3868                                                                                                                         Cc1ccc(N=Nc2ccc(C)c(N)c2)cc1N 1
Drug 3802                                                                                                                               CC1(C)SSCC(C(=O)O)NC1=O 0
Drug 4436                                                                                                                        N/C(=N\O)c1ccc([N+](=O)[O-])o1 1
 Drug 267                                                                                                                                        c1ccc2cnncc2c1 0
Drug 1975                                                                                                                                           COCCOC(C)=O 1
Drug 3644                                                                                                                         O=[N+]([O-])c1ccc2snc(Cl)c2c1 1
Drug 5727                                                                                                             O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21 0
 Drug 350                                                                                                                           CC(=O)/C=C\C1=C(C)CCCC1(C)C 0
Drug 1442                                                                                                                                           ClCc1ccncc1 0
Drug 2515                                                                                                                                   c1ccc(Oc2ccccc2)cc1 0
Drug 4682                                                                                                            O=[N+]([O-])c1ccc2ccc3c4ccccc4nc4ccc1c2c43 1
 Drug 653                                                                                                                                                 OCCCl 1
Drug 7332                                                                                                                 c1cc2ccc3cc4c(c5ccc(c1)c2c35)CCC1OC41 1
Drug 5967                                                                                                        O=[N+]([O-])c1ccc(N=Nc2c(O)ccc3ccccc23)c(Cl)c1 1
Drug 4272                                                                                                                      CC[C@@H]([C@@H](C)O)[N+](=O)[O-] 0
Drug 5939                                                                                                                 Nc1ccc(Cc2ccc(N)c(C(=O)O)c2)cc1C(=O)O 0
Drug 5905                                                                                                                                    COc1cc(N)cc(OC)c1N 0
 Drug 305                                                                                                                                            CNc1ccccc1 0
Drug 4041                                                                                                                                       CC(C)C(N)C(=O)O 0
Drug 1935                                                                                                                                            ClCC(Cl)Cl 0
Drug 7108                                                                                                                                         CC(=O)CC(C)=O 0
Drug 4146                                                                                                                                CC1(C)CC(N)CC(C)(CN)C1 0
Drug 7009                                                                                                                                          CCCCC(C=O)CC 0
Drug 1857                                                                                                                            CC(=O)N(O)c1ccc(Cl)c(Cl)c1 0
Drug 4908                                                                                                              O=C(O)c1cc([N+](=O)[O-])ccc1[N+](=O)[O-] 1
Drug 3875                                                                                                                        O=c1c2ccc(OCC3CO3)cc2sn1CC1CO1 1
Drug 1630                                                                                                                     O=[N+]([O-])c1cnc2c(c1)nc1ccccn12 1
Drug 3179                                                                                                                               O=[N+]([O-])c1ccccc1CCO 1
Drug 1885                                                                                                                                Nc1ccc(/C=C/C(=O)O)cc1 0
Drug 6522                                                                                                      CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO 0
Drug 6733                                                                                                             CC1(C)CC2C(O)(C=C(C=O)C34CC23C(=O)OC4O)C1 1
Drug 1098                                                                                                          O=[N+]([O-])c1cc2cccc3c4c(c5cccc1c5c23)CCCC4 1
Drug 5080                                                                                                                      CC(C)(C)C(=O)C1C(=O)c2ccccc2C1=O 0
Drug 3493                                                                                                                       O=[N+]([O-])c1cccc2oc3ccccc3c12 1
Drug 6627                                                                                                                                        COc1ccc(N)cc1N 1
Drug 1727                                                                                                                                CNc1nc2c3cccnc3ccc2n1C 1
Drug 7072                                                                                                        NCCCCC(NC(CCc1ccccc1)C(=O)O)C(=O)N1CCCC1C(=O)O 0
Drug 1107                                                                                                                                            CCCCCCCCBr 0
Drug 3747                                                                                                                   CC/C=C/C=C/C=C/C=C/C=C/C=C/OCC(O)CO 1
Drug 1529                                                                                                              O=[N+]([O-])c1ccc(Nc2[nH]cnc3ncnc2-3)cc1 0
 Drug 739                                                                                                                             CC(C)Nc1ccc(Nc2ccccc2)cc1 0
Drug 4643                                                                                                                                          CCN(CCCO)N=O 1
Drug 6156                                                                                                                       Cc1ccc2ccc3cc4ccccc4c4ccc1c2c34 1
Drug 5657                                                                                                                                    COP(=O)(NC(C)=O)SC 0
Drug 1364                                                                                           CC(=O)Oc1cc(C=O)cc2c1C(COC(N)=O)C1(OC(C)=O)ON2CC2C1N2C(C)=O 1
Drug 6158                                                                                                             O=[N+]([O-])C1=Cc2ccc3ccc4cccc5cc1c2c3c45 1
 Drug 467                                                                                                           C=CC[C@]1([C@H](C)C#CCC)C(=O)NC(=O)N(C)C1=O 0
Drug 1981                                                                                                                        O=C(O)CCC(=O)Nc1ccc(Cl)c(Cl)c1 0
Drug 2837                                                                                                                                                   CCO 0
Drug 3694                                                                                                                                 Nc1ccc(CCc2ccccc2)cc1 1
Drug 3369                                                                                                                           CC(=O)Nc1nc2c3cccnc3ccc2n1C 1
Drug 2165                                                                                                     O=NN1CCS[C@@H]1[C@H](O)[C@H](O)[C@H](O)[C@H](O)CO 1
Drug 1777                                                                                                                        O=[N+]([O-])c1ccccc1S(=O)(=O)O 0
Drug 7188                                                                                                               CNC(C=[N+]([O-])O)=NCCSCc1ccc(CN(C)C)o1 0
Drug 5534                                                       Nc1c(N=Nc2ccc(-c3ccc(N=Nc4ccc(O)cc4)cc3)cc2)c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)c(N=Nc3ccccc3)c(O)c12 1
 Drug 569                                                                                                                       COC[C@H](O)Cn1ccnc1[N+](=O)[O-] 1
Drug 6359                                                                                                                                                 COCOC 0
 Drug 244                                                                                                                                             NCCCNCCCN 0
Drug 3144                                                                                                                   O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br 0
Drug 2611                                                                                                                              [N-]=[N+]=NCC(O)c1ccccc1 1
Drug 4345                                                                                                                                      O=C(Cl)Cc1ccccc1 1
Drug 5052                                                                                                                            C[C@H](CCc1ccccc1)c1ccccc1 0
Drug 3087                                                                                                                    CC1(C)CC2C=C(C=O)C3(C=O)CC3(C)C2C1 1
 Drug 849                                                                                                                      c1cc2ccc3nc4ccccc4c4ccc(c1)c2c34 1
Drug 2479                                                                                                                                 NC1c2ccccc2-c2ccccc21 0
Drug 1225                                                                                                                      CC(C)COC(=O)COc1cc(Cl)c(Cl)cc1Cl 0
Drug 3375                                                                                                                               Cc1ccccc1-c1nc2ccccc2o1 0
Drug 6869                                                                                                                            COP(=O)(OC)C(O)C(Cl)(Cl)Cl 1
Drug 4086                                                                                                                                             ClCCSCCCl 1
 Drug 307                                                                                                                     c1ccc2c(c1)cc1c3c2ccc2cccc(c23)C1 1
Drug 7357                                                                                                                             [O-][n+]1ccc(NO)c2ccccc21 1
Drug 2224                                                                                                                       CC1=CCCc2c1cc(C)c1c2ccc2ccccc21 1
Drug 5787                                                                                                                      Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C 0
 Drug 451                                                                                                                            O=C(O)c1cc(O)c2cccc(O)c2n1 0
Drug 2719                                                                                                                      CC/C=C/C/C=C/C/C=C/CCCCCCCC(=O)O 0
  Drug 99                                                                                                                                    CCCCN(COC(C)=O)N=O 1
