Drug 1224                                                                                                                                              c1ccccc1 0
Drug 1534                                                                                                                    COc1cc(N)c2c(c1N)C(=O)c1ccccc1C2=O 1
Drug 6283                                                                                                                                          FC(F)=C(F)Cl 0
Drug 5586                                                                                                                                      CCCCCN(CCCCO)N=O 1
 Drug 572                                                                                                                                          C=C(C)C(C)Cl 1
Drug 2105                                                                                                     CC(C)CCCC(C)C1CCC2C3C=CC4(OO)CC(O)CCC4(C)C3CCC12C 1
Drug 5362                                                                                                                                        CCOC(=O)C(C)=O 0
Drug 5640                                                                                                                                   OC1c2cccnc2C2OC2C1O 0
Drug 3485                                                                                                                              CN(Cc1ccc(C(=O)O)cc1)N=O 0
Drug 1388                                                                                                          CC(=O)Nc1ccc(Oc2ccc(N(OC(C)=O)C(C)=O)cc2)cc1 1
Drug 5097                                                                                                                                           O=NN1CCSCC1 1
Drug 3696                                                                                                                              CC1c2ccccc2-c2ccc(F)cc21 1
Drug 4016                                                                                                                   Nc1cc(Cl)c(-c2cc(Cl)c(N)cc2Cl)cc1Cl 1
Drug 2541                                                                                                                                        N#CC(Cl)(Cl)Cl 1
Drug 5203                                                                                                                                     NCCCCCCCCCCC(=O)O 0
Drug 3609                                                                                                                            Cc1cc(N=Nc2ccccc2)c(N)cc1N 1
Drug 2232                                                                                                                                CC(=O)N(O)c1ccc(Cl)cc1 0
Drug 6400                                                                                                                           CCc1cccc(CC)c1N(COC)C(=O)CO 0
Drug 1363                                                                                                                     Cc1cccc(OC[C@@H](O)CNC(C)(C)C)c1C 0
Drug 1265                                                                                                       CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1 0
Drug 3249                                                                                                                                       Cc1ccc(N)c(O)c1 1
Drug 4060                                                                                                                                  Cn1cncc1[N+](=O)[O-] 1
Drug 7319                                                                                                              Cc1ccc2cc3c(c4c2c1CC4)C(O)C(O)c1ccccc1-3 1
Drug 2658                                                                                                                                Cn1cnc(-c2ccccc2)c1N=O 1
Drug 3925                                                                                                                  O=C(Nc1ccccc1F)c1csc([N+](=O)[O-])c1 1
Drug 5043                                                                                                                                             Cl/C=C\Cl 0
Drug 4738                                                                                                         COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1(O)C=COC1O2 1
Drug 5788                                                                                                                             O=[N+]([O-])c1cccc(CBr)c1 0
 Drug 813                                                                                                                                                  CCCO 0
Drug 6986                                                                                                                                  O=C1NC(=O)C2CC=CCC12 0
Drug 5243                                                                                                                     CCN(C(C)=O)c1ccc2c(c1)Cc1ccccc1-2 1
Drug 2813                                                                                                                        Nc1ccc(Cc2ccc(NO)c(Cl)c2)cc1Cl 1
Drug 3734                                                                                                                        CCOP(=S)(OCC)Oc1ccc(S(C)=O)cc1 0
Drug 6681                                                                                                              COc1cc2c(c3oc(O)c4c(O)ccc-4c13)C1CCOC1O2 1
Drug 6464                                                                         CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O 1
Drug 2412                                                                                         O=NN(c1ccc([N+](=O)[O-])cc1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O 1
Drug 6036                                                                                                                                        CC(C)Nc1ccccc1 0
Drug 6292                                                                                                      C1C[C@@H]2O[C@@H]2[C@H]1O[C@H]1CC[C@@H]2O[C@H]12 0
  Drug 64                                                                                                                                        O=C(O)c1ccccc1 0
Drug 6187                                                                                                                                 Fc1cc2cccnc2c2ccccc12 1
Drug 6967                                                                                                    CN1C(CSCC(F)(F)F)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O 0
Drug 5884                                                                                                                                           C=CC(=O)NCO 0
Drug 6742                                                                                                                          c1ccc(-c2ccc(CCC3CO3)cc2)cc1 1
Drug 4771                                                                                                                     CN(C)CCNC(=O)c1cc2ccccc2c2cccnc12 1
Drug 2730                                                                                                                                         C=CC(=O)OCCBr 1
Drug 4203                                                                                                           CC(=O)c1cc(NC(N)=O)ccc1OC[C@H](O)CNC(C)(C)C 1
Drug 4349                                                                                                                                           Cc1ccccc1NO 1
Drug 5129                                                                                                                      CC(=O)ON(C)c1ccc(N=Nc2ccccc2)cc1 1
  Drug 59                                                                                                                                                 COCCl 0
Drug 6311                                                                                                               CC(C)C(O)(C(=O)OCC1=CCN2CCC(O)C12)C(C)O 0
 Drug 636                                                                                                                         CC(=O)NC(CS/C(Cl)=C/Cl)C(=O)O 1
Drug 1659                                                                                                                                      O=NN1CCN(N=O)CC1 1
Drug 3376                                                                                         COc1ccc2c3c1O[C@@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314 0
Drug 4635                                                                                                                                          CN(C)C(=O)Cl 1
 Drug 409                                                                                                                          O=C(Nc1ccccc1)Nc1snc2ccccc12 0
Drug 4043                                                                                                                                   Nc1cccc(C(F)(F)F)c1 0
   Drug 3                                                                                                                             [N-]=[N+]=CC(=O)NCC(=O)NN 1
Drug 6286                                                                                                                                  C1CN(SSN2CCOCC2)CCO1 0
Drug 6326                                                                                                                           Nc1ccc(/C=C/c2cccc(N)c2)cc1 1
Drug 4308                                                                                                                                      O=C(O)CCc1ccccc1 0
Drug 5905                                                                                                                                    COc1cc(N)cc(OC)c1N 0
 Drug 985 C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O)[C@@H]2CC[C@]1(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C3 0
Drug 2305                                                                                                                     Oc1cccc2c3cc4ccccc4cc3c3ccccc3c12 1
Drug 6544                                                                                                                               CC(C)CN(N=O)C(=N)NN(O)O 1
Drug 6120                                                                                                                                        CCN(N=O)C(N)=O 1
Drug 1270                                                                                                                  Nc1nc(O)c2nc(O)n(C3CC(O)C(CO)O3)c2n1 0
Drug 3723                                                                                                                       CN(C)CCNS(=O)(=O)c1cccc2cccnc12 0
Drug 5373                                                                                                      O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1 1
Drug 5599                                                                                                                 CCCn1cc2c3c(cccc31)C1CC(C)CN(C#N)C1C2 1
Drug 2075                                                                                                                                  Nc1cc(Cl)c(N)c(Cl)c1 1
  Drug 34                                                                                                                                              CCN=NNCC 1
Drug 6644                                                                                                                             [N-]=[N+]=CC(=O)NCC(=O)NN 1
Drug 3601                                                                                                                           CCN(C(=O)CCCl)c1snc2ccccc12 1
Drug 3961                                                                                                                                           BrCCC(Br)Br 1
Drug 2397                                                                                                                     Cn1c([N+](=O)[O-])cnc1-c1nnc(N)s1 1
Drug 2536                                                                                                                                   CCCCCOc1ccc(N=O)cc1 1
Drug 5287                                                                                                                        CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1 0
Drug 3688                                                                                                                O=[N+]([O-])c1ccc2cccc3c2c1-c1ccccc1-3 1
Drug 3980                                                                                                                                    COC(=O)c1ccc(C)cc1 0
Drug 5861                                                                                                                           Cc1cccc2cc3ccc4ccccc4c3cc12 1
Drug 3778                                                                                                                    O=[N+]([O-])c1c(Cl)c(Cl)cc(Cl)c1Cl 0
 Drug 635                                                                                                                   CCC(CCCC(=O)O)COC(=O)c1ccccc1C(=O)O 0
 Drug 419                                                                                                                                      O=C(CCl)c1ccccc1 0
Drug 1530                                                                                                                                O=C(O)C[C@H](Cl)C(=O)O 0
Drug 7092                                                                                                                                    COP(O)(=NC(C)=O)SC 0
Drug 2877                                                                                                                                  CCC(C)Nc1snc2ccccc12 0
Drug 5567                                                                                                                          Cc1cccc([N+](=O)[O-])c1C(O)O 1
Drug 5515                                                                                                                          C(=N/c1snc2ccccc12)\c1ccccc1 0
Drug 7008                                                                                                            CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1 0
Drug 1571                                                                                                                                c1scc2c1-c1cscc1C1OC21 1
Drug 2942                                                                                                                             Nc1ccc2c(n1)[nH]c1ccccc12 1
Drug 2700                                                                                                                                C=CC(=O)OC[C@H](Br)CBr 1
 Drug 783                                                                                                                                          CC[C@@H](C)N 0
Drug 6750                                                                                                             O=[N+]([O-])c1c2c(cc3ccccc13)C(O)C(O)C=C2 1
Drug 2289                                                                                                                          Cc1ccc2c(=O)c3cccc4ccc1c2c43 1
Drug 3097                                                                                                                       O=[N+]([O-])c1ccc(Sc2ccccc2)cc1 1
Drug 6800                                                                                                                          O=[N+]([O-])c1ccc2c(O)nsc2c1 1
Drug 2359                                                                                                                  Cc1cc(=O)oc2cc3c(cc12)C1(C)OOC1(C)O3 1
Drug 6635                                                                                                                                           CCCCOCC1CO1 1
 Drug 420                                                                                                  O=[N+]([O-])c1cccc2c1-c1cccc3c([N+](=O)[O-])ccc-2c13 1
Drug 4156                                                                                                                      Cc1c2ccccc2c(CBr)c2c1ccc1ccccc12 1
Drug 1152                                                                                                                     CN(C)c1ccc(/C=C/C(=O)c2ccccc2)cc1 0
Drug 4105                                                                                                                 CC(=O)Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1 0
Drug 2816                                                                                                                   O=[N+]([O-])c1cc[n+]([O-])c2ccccc12 1
Drug 3330                                                                                                                          CCN(C(=O)CCCCl)c1snc2ccccc12 0
Drug 1880                                                                                                                                      CCc1ccnc2ccccc12 0
Drug 5112                                                                                                                                    Cl/C=C(\Cl)C(Cl)Cl 1
Drug 2403                                                                                                                                        Clc1cccc(Br)c1 0
 Drug 266                                 COc1ccc(CCC(=O)c2c(O)cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)cc2O)cc1O 0
Drug 7005                                                                                                                          O=[N+]([O-])OC1COC2C(O)COC12 0
Drug 6061                                                                                                                               C(=NC1CCCCC1)=NC1CCCCC1 0
Drug 2145                                                                                                           O=[N+]([O-])c1ccc2c3c(cccc13)-c1cc(O)ccc1-2 1
Drug 3865                                                                                                                 CCOC(=O)C[C@@H](SP(=O)(OC)OC)C(=O)OCC 0
Drug 1333                                                                                                                          CCOC1=CC(=O)C(NC(C)=O)=CC1=O 1
Drug 3861                                                                                                      O=[N+]([O-])c1ccc2c3c4c(cccc4c4ccccc4c13)C(O)C2O 1
Drug 1774                                                                                                                          O=C1c2ccccc2-c2cccc3cccc1c23 1
Drug 4792                                                                                                                      O=C(O)c1ccc(S(=O)(=O)N(Cl)Cl)cc1 1
Drug 1591                                                                                                                             CCc1nc2ccc(NC)c(C)c2nc1CC 1
Drug 7404                                                                                                                                  O=NN1CCC=C(C(=O)O)C1 1
 Drug 490                                                                                                                                  Cn1cnc2c3cccnc3ccc21 1
Drug 5551                                                                                                                                        CC(Cl)c1ccccc1 0
Drug 3899                                                                                                                          O=C(CCBr)N1CCN(C(=O)CCBr)CC1 1
Drug 2089                                                                                                                        N=C(N)c1ccc2cc(C(=N)N)[nH]c2c1 0
Drug 3282                                                                                                                              CCOC(=O)c1ccccc1C(=O)OCC 0
 Drug 458                                                                                                                                    Oc1ccc2c(O)cccc2c1 1
Drug 5355                                                                                                                                c1ccc2c(c1)ccc1ncccc12 1
  Drug 15                                                                                                                                       CCC[N+](=O)[O-] 0
 Drug 885                                                                                                                           CNc1ccc(N=Nc2ccc(NC)cc2)cc1 0
Drug 4842                                                                          O=C1c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2-c2c1cc([N+](=O)[O-])cc2[N+](=O)[O-] 1
Drug 2247                                                                                                                     Oc1ccc2c(c1)cc1ccc3cccc4ccc2c1c34 1
Drug 1257                                                                                                        C=C(C)C(=O)OCC(CC)(COC(=O)C(=C)C)COC(=O)C(=C)C 1
 Drug 340                                                                                                                    CN1CCc2cc3c(c4c2C1Cc1ccccc1-4)OCO3 1
Drug 6431                                                                                                                                       CC(CCl)OC(C)CCl 1
Drug 3212                                                                          COc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2c(=O)c3c(O)ccc(O)c3oc2c1 1
Drug 4871                       CCC[C@@H](C)C[C@@H](OC(=O)C[C@@H](CC(=O)O)C(=O)O)[C@@H](C[C@H](C)CCCCCC[C@H](O)C[C@H](O)[C@@H](C)N)OC(=O)C[C@@H](CC(=O)O)C(=O)O 0
Drug 2059                                                                                                             CC1=CC2OC3C(O)CC(C)(C34CO4)C2(CO)C(O)C1=O 0
Drug 4467                                                                                                         O=[N+]([O-])c1ccc2ccc3cc4c(c5ccc1c2c35)C=CCC4 1
Drug 6290                                                                                                                            CCOC(=O)CNC(=O)C=[N+]=[N-] 1
Drug 4067                                                                                                                           Cc1cc2ccccc2cc1[N+](=O)[O-] 0
Drug 2898                                                                                                                                   NC(=O)N(CC(=O)O)N=O 0
 Drug 267                                                                                                                                        c1ccc2cnncc2c1 0
Drug 3261                                                                                                                                                 CNCCO 0
Drug 6871                                                                                                                                       [O-][N+](O)=CCO 1
Drug 1358                                                                                                                 CC(=O)OCc1c2ccccc2c(C)c2c1ccc1ccccc12 1
Drug 5109                                                                                      CC(C)n1c(/C=C/[C@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21 0
Drug 4790                                                                                                          COC(=O)c1oc(NOC(C)=O)c(-c2ccccc2)c1-c1ccccc1 0
Drug 1133                                                                                                                   COP(=O)(OC)O/C(=C\Br)c1ccc(Cl)cc1Cl 0
Drug 2710                                                                                                                COc1ccc2cc3c4c(cc(OC)c(OC)c4c2c1)CCN3C 0
Drug 5092                                                                                       CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N(CC(=O)O)C1Cc2ccccc2C1 0
Drug 2562                                                                                                                             CC(C)c1cc(-c2ccccc2)ccc1N 1
Drug 1028                                                                                                                  Nc1ccc(O)c2c1C(=O)c1c(O)ccc(N)c1C2=O 1
Drug 7346                                                                                                                                     CCCCN(CCC(C)O)N=O 1
Drug 3727                                                                                                                                      ClCc1ccc(CCl)cc1 0
Drug 6773                                                                                                         O=[N+]([O-])c1ccc(-c2ccccc2)c([N+](=O)[O-])c1 1
 Drug 524                                                                                                                                                  NCCS 0
Drug 5562                                                                                                                   CCc1cccc2cc([C@H](O)CNC(C)(C)C)oc12 0
Drug 1304                                                                                                                                               NCCNCCN 0
 Drug 135                                                                                                                      O=[N+]([O-])c1cccc(S(=O)(=O)O)c1 0
Drug 1804                                                                                                                               Clc1ccc2c(c1)oc1ccccc12 1
 Drug 105                                                                                                                                O=C1c2ccccc2-c2ccccc21 0
Drug 1107                                                                                                                                            CCCCCCCCBr 0
Drug 5580                                                                                                                                             NC1CCCCC1 0
Drug 3302                                                                                                                  O=[N+]([O-])c1ccc2c(c1)[nH]c1ccccc12 1
 Drug 933                                                                                                                O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=N[C@@H]1O 0
Drug 2329                                                                                                                   Cn1c(CC(=O)OCCCl)c(C(=O)O)c2ccccc21 1
Drug 2062                                                                                                                        C=C[C@@H]1CC[C@@]2(C)O[C@H]2C1 0
Drug 4364                                                                                              O=[N+]([O-])c1ccc2c3ccccc3c3c([N+](=O)[O-])ccc4ccc1c2c43 1
Drug 6174                                                                                                                        CC(=O)Nc1ccc(Oc2ccc(NO)cc2)cc1 1
Drug 5516                                                                                                                                c1cc(OCC2CO2)c2sncc2c1 1
Drug 6880                                                                                                                                    O=C(CBr)NCc1ccccc1 1
Drug 1072                                                                                                                                       Fc1cccc2cccnc12 1
Drug 6897                                                                                                      COc1cc(O)c2c(=O)c3c(OC)cc4c(c3oc2c1OC)C1C=COC1O4 1
 Drug 545                                                                                                           O=C(N/N=C/c1ccc([N+](=O)[O-])o1)c1ccc(O)cc1 1
Drug 4874                                                                                                                                               BrCCCBr 0
Drug 1691                                                                                                                         CC1(c2ccccc2)C(=O)c2ccccc2N1O 0
 Drug 229                                                                                                                         Cc1c([N+](=O)[O-])ccc2ccccc12 1
Drug 3690                                                                                                                                   COc1ccccc1-c1ccccc1 0
 Drug 784                                                                                                                        CCC(CC)c1cccc(OC(=O)N(C)N=O)c1 1
Drug 2369                                                                                                                     CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1 0
Drug 6705                                                                                                                CCN(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12 1
Drug 1564                                                                                                                                       Fc1ccc2ncccc2c1 1
  Drug 38                                                                                                                      c1ccc(-c2ccc(CC[C@H]3CO3)cc2)cc1 1
Drug 3495                                                                                                        O=[N+]([O-])c1c2ccccc2c([N+](=O)[O-])c2ccccc12 0
 Drug 710                                                                                          C=C/C1=C/C(C)C(C)(OC(C)=O)C(=O)OCC2=CC[N+]3(C)CCC(OC1=O)C23O 1
Drug 7230                                                                                  Cc1c(C(=O)O)c(O)cc2c1C(=O)c1c(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c(O)c1C2=O 1
Drug 2769                                                                                                                    Cc1cc2c(c3cc4ccccc4cc13)C=CC(O)C2O 1
Drug 7289                                                                  COc1ccc2c3c([nH]c2c1)C1CC2C(CN1CC3)C(OC(=O)/C=C/c1cc(OC)c(OC)c(OC)c1)CC(OC)C2OC(C)=O 0
Drug 2837                                                                                                                                                   CCO 0
Drug 4583                                                                                                                              CN(C)CCN1C=CN(C)C1/C=N/O 0
Drug 6989                                                                                                                                      OC[P+](CO)(CO)CO 0
 Drug 502                                                                                                                                      Clc1ccc2ncccc2c1 1
Drug 6708                                                                                                                   Fc1ccc2c3c(ccc2c1)-c1cccc2cccc-3c12 1
Drug 3415                                                                                                                              Cc1cc2c(cc1C)-c1ccccc1C2 0
Drug 5926                                                                                                                     O=C1OC(=O)c2cc([N+](=O)[O-])ccc21 1
Drug 1960                                                                                                                       C[N@+]1([O-])CCC[C@@H]1c1cccnc1 0
Drug 4938                                                                                                        O=[N+]([O-])c1cc(-c2ccccc2)cc([N+](=O)[O-])c1O 1
Drug 5004                                                                                                                                       S=C1SSC2=NCCN12 0
Drug 3283                                                                                                       CN(C)CCCNc1c2ccccc2nc2c(Cl)ccc([N+](=O)[O-])c12 1
 Drug 369                                                                                                                             OC1c2ccc3ccccc3c2C2OC2C1O 1
 Drug 589                                                                                                                                        O=C(Cl)C(Cl)Cl 1
Drug 6774                                                                                                           OC1C=Cc2cc3c4c(cc5ccccc53)-c3ccccc3-c4c2C1O 1
Drug 5652                                                                                                       COc1ccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)cc1OC 1
Drug 3816                                                                                                                                     Oc1ccc(Cl)c(Cl)c1 0
Drug 6627                                                                                                                                        COc1ccc(N)cc1N 1
Drug 3414                                                                                                                       Cn1cnc([N+](=O)[O-])c1-c1ccccc1 0
Drug 6623                                                                                                                                      CC(I)C1OCC(CO)O1 1
 Drug 855                                                                                                                                   CCOc1ccc2nc(N)sc2c1 1
 Drug 563                                                                                                                                             CCCCCCCCC 0
Drug 2070                                                                                                                       N#Cc1cc(I)c(O)c([N+](=O)[O-])c1 0
Drug 4795                                                                                                                                        C=C(C)c1ccccc1 0
Drug 4503                                                                                                                        OCc1ccc2c3c(cccc13)-c1ccccc1-2 0
Drug 7047                                                                                                                      N=C1NC(=O)N(C2CC(O)C(CO)O2)CC1=O 0
Drug 5306                                                                                                               Oc1c2c3c(ccc4ccc5cccc1c5c43)-c1ccccc1-2 0
Drug 5579                                                                                                                                                CN(C)C 0
Drug 4409                                                                                                                                        Cc1c(N)cccc1Cl 0
Drug 2973                                                                                                                      O=[N+]([O-])c1ccc2cc3ccccc3cc2c1 1
Drug 5420                                                                                                               O=[N+]([O-])c1ccc2ccc3c(O)ccc4ccc1c2c43 1
Drug 1727                                                                                                                                CNc1nc2c3cccnc3ccc2n1C 1
Drug 1980                                                                                                                    Nc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1 1
Drug 5977                                                                                                                    O=c1c2c(O)cc(O)cc2oc2c(O)ccc(O)c12 1
Drug 3940                                                                                                                                    Nc1nc2c(Cl)cccc2s1 0
Drug 7040                                                                                                               COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341 0
Drug 3191                                                                                            O=C(/C=C/c1ccc([N+](=O)[O-])o1)N/N=C/c1ccc([N+](=O)[O-])o1 1
Drug 5467                                                                                                     O=[N+]([O-])c1cc2[nH]c3ccc4ccc(O)cc4c3c2c2ccccc12 1
Drug 4129                                                                                 CN(Cc1cnc2nc(N)nc(N)c2n1)c1c(Cl)cc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1Cl 0
Drug 5532                                                                                                                            Nc1ccc([N+](=O)[O-])c(O)c1 1
Drug 4816                                                                                                  COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)[C@@H]1C=CO[C@@H]1O2 1
Drug 1337                                                                                                                                CCNc1nc(O)nc(NC(C)C)n1 0
 Drug 772                                                                                                                                          Cc1ccccc1N=O 1
Drug 5469                                                                                                                   O=C1c2ccccc2-c2c3c(cc4ccnc1c24)OCO3 1
Drug 4389                                                                                                            O=C(O)CC(NC(=O)COc1cc(Cl)c(Cl)cc1Cl)C(=O)O 0
Drug 2324                                                                                                            Clc1cnc(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)c(Cl)c1 0
Drug 4670                                                                                                                      O=C(NCCCl)Nc1ncc([N+](=O)[O-])s1 1
Drug 2827                                                                                                                             COc1cccc2c1C1(C)OOC1(C)O2 1
Drug 3661                                                                                                           O=[N+]([O-])C1=Cc2cccc3c2c1cc1cc2ccccc2cc13 1
Drug 4321                                                                                                                               C=CCc1cc(OC)c2c(c1)OCO2 0
 Drug 728                                                                                                                                O=C(O)c1ccc(C(=O)O)cc1 0
Drug 4421                                                                                                                                             CN1CCN=N1 1
Drug 3783                                                                                                                                Cc1cc(S(=O)(=O)O)ccc1N 0
Drug 4548                                                                                                                   CN1CC(CBr)CC2c3cccc4[nH]cc(c34)CC21 1
 Drug 629                                                                                                     COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O 0
Drug 3236                                                                                                                       CC(C)(O)C1Cc2cc3ccc(=O)oc3cc2O1 1
Drug 7059                                                                                                      CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23 0
Drug 5912                                                                                                                    CC1=NC(N)=C[C@@H]2c3ccccc3N[C@H]12 1
Drug 4921                                                                                                                                         CC(=O)C(Cl)Cl 1
 Drug 341                                                                                                                                     C=C1CCC2CC1C2(C)C 0
Drug 6443                                                                                                                      CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC 0
Drug 3390                                                                                                  O=[N+]([O-])c1c(Cl)c(Cl)c2c(c1Cl)Oc1ccc(Cl)c(Cl)c1O2 1
Drug 5058                                                                                                                   Oc1cccc2c1ccc1[nH]c3ccc4ccccc4c3c12 1
 Drug 583                                                                                                                                               NC(N)=S 0
Drug 1524                                                                                                                      O=C(O)c1ccc(Cl)c([N+](=O)[O-])c1 1
Drug 3708                                                                                                                               O=NN1CN2CN(C1)CN(N=O)C2 1
Drug 5997                                                                                                                 COc1cccc2c1ccc1c(C(=O)O)cc3c(c12)OCO3 1
Drug 5279                                                                                                                                              C1COCCN1 0
Drug 3336                                                                                                                                      CN(C)N=Nc1ccccc1 1
 Drug 436                                                                                                                    Nc1ccc(-c2ccc(-c3ccc(N)cc3)cc2)cc1 1
Drug 5127                                                                                                                                    COC1=CC(=O)C=CC1=O 0
Drug 2224                                                                                                                       CC1=CCCc2c1cc(C)c1c2ccc2ccccc21 1
  Drug 74                                                                                                                                 Oc1ccc(Cc2ccccc2O)cc1 0
Drug 2608                                                                                                       O=[N+]([O-])c1cc(-c2cccc([N+](=O)[O-])c2O)ccc1O 0
Drug 1819                                                                                                                                   Nc1ccc(Cl)c(Cl)c1Cl 0
Drug 7048                                                                                                                               COP(=S)(OC)SCC(=O)NCC=O 0
Drug 5791                                                                                     Cc1nc([N+](=O)[O-])cc2c1[nH]c1c([N+](=O)[O-])cc([N+](=O)[O-])cc12 1
Drug 3141                                                                                                                                     N#C/C(N)=C(\N)C#N 0
 Drug 720                                                                                                                           Cc1c(NO)cnc2c1nc1c(C)cccn12 1
Drug 5025                                                                                                                                 Nc1ccccc1[N+](=O)[O-] 0
Drug 4777                                                           COC(=O)C12Oc3ccc(-c4ccc5c(c4O)C(O)=C4C(=O)CC(C)C(O)C4(C(=O)OC)O5)c(O)c3C(O)=C1C(=O)CC(C)C2O 0
Drug 3167                                                                                                                             C1=Cc2c3ccccc3cc3cccc1c23 1
Drug 5618                                                                                                                   Nc1ccc2[nH]c3ccccc3c2c1[N+](=O)[O-] 1
Drug 6186                                                                            COc1ccc([N+](=O)[O-])cc1N=Nc1c(O)c(C(=O)Nc2cccc([N+](=O)[O-])c2)cc2ccccc12 1
Drug 5485                                                                                                         CC1=CC(=C(C#N)C#N)C=C(/C=C/c2ccc(N(C)C)cc2)O1 1
Drug 3740                                                                                                                  CCN(CC)C(=O)/C(Cl)=C(/C)OP(=O)(OC)OC 1
Drug 2079                                                                                                                             CC1=CC(=O)c2c(O)cccc2C1=O 1
Drug 3237                                                                                                                             O=[N+]([O-])c1ccc2nscc2c1 1
Drug 6455                                                                                                                      O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl 1
Drug 6059                                                                                                                                   CCOC(=O)C(Cl)C(C)=O 0
Drug 1368                                                                                                       COc1ccc2nc3cc(Cl)ccc3c(NC(C)CCCN(CCCl)CCCl)c2c1 1
Drug 3662                                                                                                                   CCCC[C@@H](CC)COC(=O)c1ccccc1C(=O)O 0
 Drug 745                                                                                                                            c1cc2ccc3cccc4ncc(c1)c2c34 1
