Drug 4811                                                                                                                                                       CCC(=O)N(O)c1ccc2ccccc2c1 1
Drug 2016                                                                                                                                     O=[N+]([O-])c1ccc2c(c1)CCc1cc3c(cc1-2)CCCC3 1
Drug 6122                                                                                                                                                   Cc1cccc2nc3c(ccc4ccccc43)cc12 1
Drug 1779                                                                                                                                                             CC(C)(Cl)OC(C)(C)Cl 1
 Drug 129                                                                                                                                                      CSC(C)(C)C(=O)NC(CS)C(=O)O 0
Drug 4370                                                                                                                                                               CC(C)COS(C)(=O)=O 1
Drug 3402                                                                                                                                                     Cc1ccc2c(C)c3ccccc3c(C)c2c1 1
 Drug 289                                                                                                                                          CCCCON(OC(C)=O)C(=O)c1ccc(C(C)(C)C)cc1 1
Drug 1173                                                                                                                                              c1ccc2c(c1)Cc1c-2ccc2ccc3ccccc3c12 1
Drug 3086                                                                                                                      O=C1c2ccc3nc(-c4ccccc4)sc3c2C(=O)c2ccc3nc(-c4ccccc4)sc3c21 0
Drug 4743                                                                                                                                       N=C(N)c1ccc(-c2cc3ccc(C(=N)N)cc3[nH]2)cc1 0
Drug 3873                                                                                                                                                                   O=C=NC1CCCCC1 0
Drug 5137                                                                                                                                                         C(=C/c1ccccc1)\c1ccccc1 0
 Drug 183                                                                                                                                                                 Cc1ccc(N)c(C)c1 1
Drug 1382                                                                                                                                                            CN(Cc1ccc(Br)cc1)N=O 1
Drug 5144                                                                                                                                                        O=C1NC(=O)C(O)(O)C(=O)N1 0
Drug 1051                                                                                                                                                        Cc1cc(NOS(=O)(=O)O)ccc1N 1
Drug 6018                                                                                                                                                           Oc1cc(Cl)c(Cl)c(Cl)c1 0
 Drug 895                                                                                                                                               Nc1ccc(NC(=O)c2ccc(C(=O)O)cc2)cc1 0
Drug 3365                                                                                                                                                 ClCc1ccc2c(c1)-c1cccc3cccc-2c13 1
Drug 1458                                                                                                                                                   CCC(CCC(C)O)COC(=O)CCCCC(=O)O 0
Drug 2372                                                                                                                                       CC(C)(C)c1ccc(-c2ccc([N+](=O)[O-])cc2)cc1 0
Drug 1217                                                                                                                                             COCc1c(O)cc2c(c1O)C(=O)c1ccccc1C2=O 1
Drug 6785                                                                                                                                        CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O 1
 Drug 944                                                                                                                                        CC12OOC1(COC(=O)Nc1ccc(Cl)cc1)Oc1ccccc12 1
Drug 6376                                                                                                                                                            CCCCCCCCCCCCCCCCCCCC 0
 Drug 404                                                                                                                                               O=S(=O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1 0
  Drug 81                                                                                                                                                  CCNC(=O)Nc1ncc([N+](=O)[O-])s1 1
Drug 5679                                                                                                                                        CC1(O)C=Cc2cc3c(ccc4ccccc43)c3c2C1(O)CC3 1
 Drug 780                                                                                                                                                 CCN(C(=O)N(CC)c1ccccc1)c1ccccc1 0
Drug 2176                                                                                                                                                                       Fc1cccnc1 0
 Drug 386                                                                                                                                                                   O=S1(=O)CCCO1 1
Drug 7435                                                                                                                                                   Cc1cc2c(c3ccc4ccccc4c13)CCC2C 1
Drug 3027                                                                                                                                                  O=[N+]([O-])c1cc(Cl)c(Cl)cc1Cl 1
Drug 4174                                                                                                                                                        Cc1cc(N)ccc1-c1ccc(O)cc1 1
Drug 5426                                                                                                                                     CC(=O)Nc1ccc2c(c1OC(=O)c1ccccc1)Cc1ccccc1-2 0
Drug 4445                                                                                                                                                             ONc1ccccc1-c1ccccc1 1
Drug 4148                                                                                                                                                                 Nc1ccc(O)c(N)c1 1
Drug 5700                                                                                                                                       CC(=O)Nc1ccc(C)c(N=Nc2cc(NC(C)=O)ccc2C)c1 0
Drug 1990                                                                                                                                                   CC(=O)N(O)c1ccc(-c2ccccc2)cc1 1
Drug 4186                                                                                                                                                       CC(C)COP(=S)(OCC(C)C)SCCl 0
Drug 5139                                                                                                                  Nc1nc(-c2ccc([N+](=O)[O-])cc2)nc2c1ncn2-c1ccc([N+](=O)[O-])cc1 1
Drug 6420                                                                                                                                                                   NNOS(=O)(=O)O 1
Drug 2672                                                                                                                                                                     O=CC(Br)CBr 1
Drug 1674                                                                                                                                                                 Nc1ccc2ncccc2c1 0
Drug 4438                                                                                                                                                 BrCc1ccc2c(c1)-c1cccc3cccc-2c13 1
Drug 7568                                                                                                                               CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C 0
Drug 6840                                                                                                                                         O=C1NC(c2ccc([N+](=O)[O-])s2)Nc2ccccc21 1
Drug 7088                                                                                                                                      CC(C)NCC(O)COc1cccc2c1OCC(O[N+](=O)[O-])C2 0
Drug 6709                                                                                                                                 Cc1nn(C)c(NC(=O)CNCCCN2CCCCC2C)c1C(=O)c1ccccc1F 1
Drug 4027                                                                                                                                                            COC(=O)c1ccc(C=O)cc1 0
Drug 6602                                                                                                                                                           CC(=O)OC1CC(C)OC(C)O1 1
Drug 4418                                                                                                                                                         OC1C=Cc2ccc3ncccc3c2C1O 0
Drug 4474                                                                                                                                                                NC1(C(=O)O)CCCC1 0
Drug 2684                                                                                                                                                      O=C1C=CC(=O)C(c2ccccc2)=C1 0
Drug 2258                                                                                                                                     C=CC1(C)CC(O)C2(C)C(CCC3C4(C)CCCC32OC4=O)C1 0
Drug 6331                                                                                  C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@@H](OC(=O)Cc5ccc(N(CCCl)CCCl)cc5)CC[C@@]43C)[C@@H]1CCC(=O)N2 1
Drug 5000                                                                                                                                                                     Cc1cc(N)sn1 1
Drug 1904                                                                                                                                                        Nc1cccc2nc3cccc(N)c3nc12 0
Drug 5683                                                                                                                                              O=C(O)C1Cc2c([nH]c3ccccc23)C(CO)N1 0
Drug 1411                                                                                                         O=[N+]([O-])c1ccc(-c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1 1
Drug 2819                                                                                                                                                                     Cc1ccccc1Cl 0
Drug 5352                                                                                                                                                              Nc1c(O)cccc1C(=O)O 0
  Drug 49                                                                                                                                                               CCSCCSP(=O)(OC)OC 0
 Drug 530                                                                                                                                                          Oc1ccc(Cl)cc1Cc1ccccc1 0
Drug 3828                                                                                                                                                            FC(Cl)(Cl)C(F)(Cl)Cl 1
Drug 3371                                                                                                                                                         N[C@@H](CCC(=O)O)C(=O)O 0
Drug 5191                                                                                                                                              Cc1ccc(Nc2ccc([N+](=O)[O-])cc2)cc1 1
Drug 1054                                                                                                                                           CN(C)CCNC(=O)c1cccc2c(=O)c3ccccc3sc12 1
Drug 4254                                                                                                                                                    ClC1C(Br)C(Br)C(Br)C(Br)C1Br 0
Drug 5958                                                                                                                                              [N-]=[N+]=NCC(O)C(O)C(O)C(O)C(=O)O 1
Drug 4492                                                                                                                                                                       CN(C)CCCl 1
Drug 3397                                                                                                                                  COC(COC(N)=O)C1=C(N2CC2)C(=O)C(C)=C(N2CC2)C1=O 1
Drug 5747                                                                                                                                            Cc1cc2ccccc2c2ccc3c(c12)C1OC1C(O)C3O 1
Drug 3188                                                                                                                                             Oc1cccc2ccc3[nH]c4ccc5ccccc5c4c3c12 0
Drug 2686                                                                                                                                          CC(=O)Nc1nc(-c2cc([N+](=O)[O-])cs2)cs1 1
 Drug 581                                                                                                                                          Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1 0
Drug 5497                                                                                                                                        CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1 0
Drug 3142                                                                                                                                       CS(=O)(=O)OC[C@@H](O)[C@H](O)COS(C)(=O)=O 1
Drug 6063                                                                                                                                          O=[N+]([O-])c1cccc2c1ncc1cnc3ccccc3c12 1
Drug 2006                                                                                                                          Nc1nc(-c2ccc([N+](=O)[O-])cc2)nc2c1ncn2C1OC(CO)C(O)C1O 1
Drug 1500                                                                                                                                   O=[N+]([O-])c1c2c(c3ccc4cccc5ccc1c3c45)CCCC2O 0
Drug 3707                                                                                                                                       c1ccc2c(c1)-c1ccc3ccccc3c1[C@H]1N[C@@H]21 1
Drug 1879                                                                                                                                                                   COP(=O)(OC)SC 0
Drug 7029                                                                                                                                                                   C=[N+]([O-])O 0
 Drug 913                                                                                                                                                            CC(C)OC(=O)Cc1ccccc1 0
Drug 6327                                                                                                                                           CC(C)OC(=O)/C=C/c1ccc([N+](=O)[O-])o1 1
 Drug 907                                                          CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC[C@H]4[C@H](C)CCCC(C)C)[C@@H]3C[C@@H]3N(N4C(=O)c5ccccc5C4=O)[C@@]32C1 1
Drug 6496                                                                                                                                    CC1C(=O)OC2CCN3CC=C(COC(=O)C(C)(O)C1(C)O)C23 0
Drug 3860                                                                                                          COc1cc2c(c3oc(=O)c4c(c13)[C@@H](Cl)[C@@H](Cl)C4=O)[C@@H]1C=CO[C@@H]1O2 1
Drug 4065                                                                                                                                               O=[N+]([O-])c1ccc(S(=O)(=O)Cl)cc1 1
Drug 2231                                                                                                                                             COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1 0
Drug 5625                                                                                                                                                                       O=CCCCC=O 1
 Drug 326                                                                                                                                                                  Nc1cccc2cnsc12 1
Drug 6476                                                                                                                                                          C=C(C)C1CC=C(C)C(=O)C1 0
Drug 5825                                                                                                                                      CCCC1(O)CCC2C3CCC4CC(=O)CC(C)C4(C)C3CCC21C 0
Drug 1648                                                                                                                                                            CNc1c(C)cc2ncccc2c1N 0
Drug 5288                                                                                                                                               C=C(C)C(=O)OCC(C)(C)COC(=O)C(=C)C 0
Drug 1130                                                                                                                                             CC(=O)Oc1ccccc1C(=O)Oc1ccccc1C(=O)O 0
Drug 6459                                                                                                                                                                     O=S(=O)(O)O 0
Drug 2143                                                                                                                                                CC(C)=CCOc1c2occc2cc2ccc(=O)oc12 1
Drug 1829                                                                          CCN(Cc1cccc(S(=O)(=O)O)c1)c1ccc(C(=C2C=CC(=[N+](CC)Cc3cccc(S(=O)(=O)O)c3)C=C2)c2ccc(S(=O)(=O)O)cc2)cc1 1
Drug 6808                                                                                                                                                           O=C1N(CO)C(O)C(O)N1CO 1
 Drug 238                                                                                                                                 CC[N+]([O-])(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12 1
Drug 2763                                                                                                                                                                      C=COC(C)=O 0
Drug 2381                                                                                                                                                     [N-]=[N+]=Nc1nc2ccccc2[nH]1 1
Drug 5443                                                                                                                CC/C(=C(/c1ccc(OCCN(C)C)cc1)c1ccc(OP(=O)(O)O)cc1)c1ccc(C(C)C)cc1 0
Drug 4565                                                                                                                                        O=S(=O)(O)c1ccc(N=Nc2ccc(O)c3ccccc23)cc1 0
Drug 5536                                                                                                                                                  O=C(c1ccccc1)[C@@H](O)c1ccccc1 0
Drug 1555                                                                                                                                                           Nc1cccc2c1-c1ccccc1C2 1
Drug 5565                                                                                                                                                      CC(=O)c1ccccc1[N+](=O)[O-] 0
Drug 2848                                                                                                                                                          CC(C)(C)c1ccc(O)c(O)c1 0
 Drug 115                                                                                                                                                        Nc1c(O)cccc1[N+](=O)[O-] 0
Drug 6139                                                                                                                                                         COC(=O)c1oc(N)c(Cl)c1Cl 0
Drug 5236                                                                                                                                                    CCN(CC)c1ccc(N=Nc2ccccc2)cc1 0
Drug 1442                                                                                                                                                                     ClCc1ccncc1 0
 Drug 430                                                                                                                                                                 CN(N=O)c1ccccc1 1
Drug 1278                                                                                                                                                         O=[N+]([O-])c1ccc(S)cc1 1
Drug 2055                                                                                                                                               CC1CCC(C(C)C)C(OC(=O)c2ccccc2N)C1 0
Drug 1598                                                                                                                               O=C(CBr)c1oc([N+](=O)[O-])c(-c2ccccc2)c1-c1ccccc1 1
Drug 5032                                                                                                                                                      Cc1nc(O)c(C#N)cc1-c1ccncc1 0
 Drug 963                                                                                                                                                                    COP(C)(=O)OC 0
Drug 6043                                                                                                                                                c1ccc2c(c1)-c1cc3ccccc3cc1C1OC21 1
Drug 4286                                                                                                                           CC/C(=C(/CC)c1ccc(OP(=O)(O)O)cc1)c1ccc(OP(=O)(O)O)cc1 0
Drug 2309                                                                                                                                                        C/C=C/c1cc(OC)c(OC)cc1OC 1
Drug 6429                                                                                                                                                                     C=CCOCC1CO1 1
 Drug 553                                                                                                                                          c1ccc2c(c1)-c1cc3ccc4ccccc4c3cc1C1NC21 1
 Drug 841                                                                                                                            Cc1c([N+](=O)[O-])cc2c(c1[N+](=O)[O-])C(C)(C)CC2(C)C 0
Drug 7330                                                                                                                                            C1=CC2OC2c2cc3ccc4cccc5ccc(c21)c3c45 1
Drug 6156                                                                                                                                                 Cc1ccc2ccc3cc4ccccc4c4ccc1c2c34 1
Drug 1255                                                                                                                                                             O=CN(O)c1cccc(Cl)c1 0
Drug 1930                                                                                                                                              CS(=O)(=O)N1C2c3ccccc3-c3ccccc3C21 1
Drug 5424                                                                                                                                                                      Clc1ccncc1 0
Drug 7058                                                                                                                                                             CC(O)CCC(=O)c1ccoc1 0
Drug 5957                                                                                                                                                         O=C(O)c1cc(O)c2ccccc2n1 0
Drug 1345                                                                                                                                                     CC1(C)Cc2ncccc2-c2nc(N)sc21 1
Drug 4797                                                                                                                                             CC(=O)Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1 0
Drug 3579                                                                                                                                                                Clc1nncc2ncccc12 0
Drug 5746                                                                                                                                                   O=C(Cl)OCC1c2ccccc2-c2ccccc21 1
 Drug 899                                                                                                                               O=C(c1ccc([N+](=O)[O-])cc1)[C@H]1O[C@@H]1c1ccccc1 1
Drug 3083                                                                                                                                          CC(=O)OCc1c2ccccc2c2ccc3cccc4ccc1c2c43 1
Drug 4633                                                                                                                                                                          N#CCCO 0
Drug 2993                                                                                                                                                               CCN(CCCC(=O)O)N=O 1
Drug 1186                                                                                                                                                 CN(C)C(c1ccccc1)(c1ccccc1)N(C)C 0
Drug 2256                                                                                                                                                                  CCOC(=O)CC(C)O 0
Drug 1040                                                                                                                                                                    C/C=C(/C)C#N 0
Drug 3788                                                                                                                         CC(C)=C[C@H]1[C@H](C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C 1
Drug 4495                                                                                                                                         O=C(c1ccccc1)N(O)c1ccc2c(c1)Cc1ccccc1-2 1
Drug 4778                                                                                                                                       C[C@H]1C[C@@H](OC(=O)c2ccccc2O)CC(C)(C)C1 0
Drug 6447                                                                                                                                                               OCP(Cl)(CO)(CO)CO 0
Drug 4545                                                                                                                             Cc1nn(C)c(NC(=O)CNCCCN2CCCC[C@H]2C)c1C(=O)c1ccccc1F 1
Drug 6521                                                                                                                                                         O=P1(N(CCCl)CCCl)NCCCO1 1
 Drug 380                                                                                                                                               ClCc1cc2cccc3ccc4c5ccccc5cc1c4c32 1
Drug 4055                                                                                                                                          O=C(Nc1ccc(F)cc1)c1csc([N+](=O)[O-])c1 1
Drug 4143                                                                                                                                             O=C(OCc1ccc(Cl)cc1Cl)c1cccc2cccnc12 0
Drug 6863                                                                                                                                                              CC1OCC(=O)C(=O)C1O 1
Drug 3280                                                                                                                               Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-] 1
Drug 5768                                                                    COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@@H]2C[C@@H](OC(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC 0
Drug 2043                                                                                                                                               CCN(CCCl)CCCNc1c2ccccc2nc2ccccc12 1
Drug 2815                                                                                                                                          COc1ccc2c3c(cccc13)OC([N+](=O)[O-])=C2 1
 Drug 577                                                                                                                                       CC(C)(C)CNC(=O)/C=C/c1ccc([N+](=O)[O-])o1 1
Drug 3978                                                                                                                                                         C[C@H](CCl)O[C@H](C)CCl 1
Drug 4581                                                                                                                                           COC(=O)/C(=C/c1ccc(Br)o1)[N+](=O)[O-] 0
Drug 3670                                                                                                                                                     COCCc1ccc(OCC(O)CNC(C)C)cc1 0
Drug 1748                                                                                                          CC(C)(C)C1=CC(=CC=C2C=C(C(C)(C)C)C(=O)C(C(C)(C)C)=C2)C=C(C(C)(C)C)C1=O 0
Drug 4439                                                                                                                                                                           CCCBr 0
Drug 3533                                                                                                                                                   c1ccc(P(c2ccccc2)c2ccccc2)cc1 0
Drug 2460                                                                                                                  COc1cc(N=Nc2ccc(N)cc2)c(C)cc1N=Nc1c(S(=O)(=O)O)cc2ccc(N)cc2c1O 1
Drug 1771                                                                                                                                                                           C=COC 0
Drug 4046                                                                                                                                                    CNS(=O)(=O)c1ccc(NC(C)=O)cc1 0
Drug 1312                                                                                                                                         Cc1ccc2cc3c(ccc4ccccc43)c3c2c1C[C@@H]3O 1
Drug 3985                                                                                                                                                                     CCc1ccccc1N 0
Drug 2673                                                                                                                                                        Nc1ccc([N+](=O)[O-])cc1O 1
Drug 1001                                                                                                                                                            CNc1ccc2nc(C)cnc2c1C 1
Drug 6041                                                                                                                                                            CC(C)=CCC/C(C)=C\C=O 0
Drug 6225                                                                                                                                                                   CCN(CCCCO)N=O 1
 Drug 336                                                                                                                                                     ClCc1ccc2ccc3cccc4ccc1c2c34 1
Drug 7177                                                                                                                               CC(CCC(=O)O)C1CCC2C3CCC4CC(=O)CCC4(C)C3CC(=O)C12C 0
Drug 1862                                                                                                                                            O=Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O 0
 Drug 793                                                                                                                                                          Cc1cc(=O)oc2cc(N)ccc12 0
Drug 4642                                                                                                                                     CC(=O)Nc1ccc([C@H]2O[C@H]2C(=O)c2ccccc2)cc1 1
Drug 2486                                                                                                                                                    CC(C)[C@@H]1CC[C@@H](C)CC1=O 1
Drug 2896                                                                                                                                                           CC1(C)C2CCC3(CO3)C1C2 0
Drug 4476                                                                                                                                                       O=c1c2cccc3ccc4cccc1c4c32 1
Drug 4162                                                                                                                                                   CC(C)N1C(=O)c2ccccc2NS1(=O)=O 0
Drug 5631                                                                                                                                                           O=C(O)Cc1cccc2ccccc12 0
 Drug 978                                                                                                                                                         OCC12OOC1(CO)c1ccccc1O2 0
Drug 6799                                                                                                                                              Nc1ccc(Oc2ccc(Oc3ccc(N)cc3)cc2)cc1 1
Drug 4026                                                                                                                                              CCCCCCCCCCCCCOC(=O)C[N+](CC)(CC)CC 0
Drug 6493                                                                                                                         CC=C(C)C(=O)OC1CCN2CC=C(COC(=O)C(O)(C(C)OC)C(C)(C)O)C12 1
Drug 2464                                                                                                                                                                    CCOc1ccccc1N 0
Drug 4363                                                                                                                                       Cc1c(C)c2c3c(ccc2c2ccccc12)C(O)C(O)C1OC31 1
Drug 6086                                                                                                                                            CN(C)CCNC(=O)c1cccc2c(O)c3ccccc3nc12 1
Drug 4432                                                                                                                                                                c1ccc2c(c1)CCCC2 0
 Drug 342                                                                                                                                                     N=C(N)NS(=O)(=O)c1ccc(N)cc1 0
Drug 1668                                                                                                                                                                  O=CC(Cl)(Cl)Cl 1
Drug 4986                                                                                                                                                      N/C(=N\O)c1cc(O)c(O)c(O)c1 1
Drug 4755                                                                                                                                                    OCc1cccc2c1-c1cccc3cccc-2c13 0
Drug 6964                                                                                                                                                 NC1=NCNc2c1ncn2C1OC(CO)C(O)C1=O 0
Drug 5380                                                                                                                                                        Nc1cccc([N+](=O)[O-])c1O 0
 Drug 947                                                                                                                                                   O=c1ccc2cc3c4c(c2o1)CCCN4CCC3 1
Drug 4789                                                                                                                                         O=[N+]([O-])c1ccc2cc(O)c3cccc4ccc1c2c43 1
 Drug 617                                                                                                                                  COc1cc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)ccc1O 1
 Drug 656                                                                                                                                                                O=C1OCC(Br)=C1Br 1
 Drug 718                                                                                                                                                                     Cc1ccc(C)o1 0
Drug 3600                                                                                                                                                          O=Nc1cccc(-c2ccccc2)c1 1
Drug 1384                                                                                                                                             CC(=O)Nc1ccc(-c2ccc(NC(C)=O)cc2)cc1 1
 Drug 516                                                                                                                                       O=Nc1ccc2ccc3c([N+](=O)[O-])ccc4ccc1c2c43 1
Drug 5465                                                                                                                                                    COc1ccc(/C=C/c2ccc(N)cc2)cc1 1
Drug 6753                                                                                                                                                                         OCCCCCl 1
 Drug 898                                                                                                                                                 N#Cc1cccc2c([N+](=O)[O-])cccc12 1
 Drug 929                                                                                                                                                      CC(=O)Nc1ccc(-c2ccccc2)cc1 1
Drug 3921                                                                                                                                                                  CC(Br)(CCl)CBr 0
Drug 1208                                                                                                                                                     COc1ccc([N+](=O)[O-])ccc1=O 1
Drug 7073                                                                                                                                                CCOC(=O)CC(SP(=O)(OC)SC)C(=O)OCC 0
Drug 1675                                                                                                                                                                  OC(=S)c1ccccc1 0
Drug 1877                                                                                                                                                                c1ccc2[nH]cnc2c1 0
Drug 7200                                                                                                                                                 O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1 0
Drug 5875                                                                                                                                                          Cn1cnc(N=O)c1-c1ccccc1 1
Drug 2207                                                                                                                       C=C1/C(=C/C=C2\CCCC3(C)C2CCC3C(C)/C=C/C(O)C2CC2)CC(O)CC1O 0
Drug 2640                                                                                                                                                     O=C1C(=O)c2ccccc2-c2ccccc21 0
Drug 6299                                                                                                                                                            Cc1ccc(NC(=O)CBr)cc1 0
 Drug 973                                                                                                                                                   CCC(=O)OCc1ccccc1[N+](=O)[O-] 0
  Drug 99                                                                                                                                                              CCCCN(COC(C)=O)N=O 1
Drug 5644                                                                                                                                                                Clc1nncc2ccccc12 0
Drug 4041                                                                                                                                                                 CC(C)C(N)C(=O)O 0
Drug 5261                                                                                                                                                                     CNCCCC(=O)O 0
Drug 2868                                                                                                                                                                    COS(C)(=O)=O 1
Drug 4035                                                                                                                                             O=CNc1nc(-c2cc([N+](=O)[O-])cs2)cs1 1
Drug 1413                                                                                                                                                                   C/C(Cl)=C\C=O 1
Drug 6765                                                                                                                                                            c1ccc2cc3ccccc3cc2c1 1
Drug 7149                                                                                                                                    CC1CC2OC3C(O)C(O)C(C)(C34CO4)C2(CO)C(=O)C1=O 0
Drug 4212                                                                                                                           Nc1nc(-c2ccc([N+](=O)[O-])cc2)nc2c1ncn2C1CC(O)C(CO)O1 1
Drug 1129                                                                                                                                                    C1=C[C@@H]2O[C@@H]2c2ncccc21 1
Drug 3382                                                                                                                                                          C=C[C@](C)(O)CCC=C(C)C 0
Drug 1766                                                                                                                                                      C=CC(=O)N1CCN(c2ccccc2)CC1 0
Drug 1207                                                                                                                                                     CC(C)(C)c1cccc(C(C)(C)C)c1O 0
 Drug 993                                                                                                                                    CC1=CC2OC3C(O)C(O)C(C)(C34CO4)C2(CO)C(O)C1=O 0
Drug 5194                                                                                                                                   O[C@H]1C=C2c3ccc4ccccc4c3-c3cccc(c32)[C@@H]1O 1
Drug 6165                                                                                                                                                       Cc1ccc([N+](=O)[O-])cc1NO 0
Drug 2639                                                                                                                                                        CC(C)[C@H]1CC[C@H](C)CC1 0
