                                                           nafimidone                                                                                                                                                                                                                                                                                                                        O=C(Cn1ccnc1)c1ccc2ccccc2c1 1
                                                           Zonisamide                                                                                                                                                                                                                                                                                                                           NS(=O)(=O)Cc1noc2ccccc12 1
                                                             quazepam                                                                                                                                                                                                                                                                                                       Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21 1
                                                                 5-69                                                                                                                                                                                                                                                                                                                 S=C(NC1CCCCC1)N1CCC(c2c[nH]cn2)CC1 1
                                                          promoxolane                                                                                                                                                                                                                                                                                                                            CC(C)C1(C(C)C)OCC(CO)O1 1
                                                         alletorphine                                                                                                                                                                                                                                                                                        C=CCN1CCC23c4c5ccc(O)c4OC2C2(OC)C=CC3(CC2[C@](C)(O)CCC)C1C5 1
                                                         fosphenytoin                                                                                                                                                                                                                                                                                                       O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1COP(=O)(O)O 1
                                                          zalospirone                                                                                                                                                                                                                                                                    O=C1[C@H]2[C@H]3C=C[C@H]([C@@H]4C=C[C@@H]43)[C@H]2C(=O)N1CCCCN1CCN(c2ncccn2)CC1 1
                                                          medorubicin                                                                                                                                                                                                                                                                               CC1OC(OC2CC(O)(C(=O)CO)Cc3c(O)c4c(c(O)c32)C(=O)c2ccccc2C4=O)CC(N)C1O 0
                                                           ethinamate                                                                                                                                                                                                                                                                                                                               C#CC1(OC(N)=O)CCCCC1 1
                                                  dihydrostreptomycin                                                                                                                                                                                                          CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@@H]3[C@@H](O)[C@H](O)[C@@H](N=C(N)N)[C@H](O)[C@H]3N=C(N)N)O[C@@H](C)[C@]2(O)CO)O[C@@H](CO)[C@H](O)[C@H]1O 0
                                                          hymecromone                                                                                                                                                                                                                                                                                                                             Cc1cc(=O)oc2cc(O)ccc12 0
                                                            donepezil                                                                                                                                                                                                                                                                                           COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.[Cl-].[H+] 1
                                                           sertindole                                                                                                                                                                                                                                                                                               O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1 1
                                                 Carbamazepineepoxide                                                                                                                                                                                                                                                                                                                     NC(=O)N1c2ccccc2C2OC2c2ccccc21 1
                                                           aloracetam                                                                                                                                                                                                                                                                                                                          CC(=O)NCCn1c(C)cc(C=O)c1C 1
                                                            uldazepam                                                                                                                                                                                                                                                                                                            C=CCONC1=Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1 1
                                                          cyprodenate                                                                                                                                                                                                                                                                                                                            CN(C)CCOC(=O)CCC1CCCCC1 1
                                                           piquindone                                                                                                                                                                                                                                                                                                        CCc1c(C)[nH]c2c1C(=O)[C@@H]1CN(C)CC[C@H]1C2 1
                                                           aliflurane                                                                                                                                                                                                                                                                                                                              COC1(F)C(F)(F)C1(F)Cl 1
                                                           xanomeline                                                                                                                                                                                                                                                                                                                         CCCCCCOc1nsnc1C1=CCCN(C)C1 1
                                                             tybamate                                                                                                                                                                                                                                                                                                                      CCCCNC(=O)OCC(C)(CCC)COC(N)=O 1
                                                           celucloral                                                                                                                                                                                                                                    OC1OC(COCCOC(O)C(Cl)(Cl)Cl)C(OC2OC(COCCOCCOC(O)C(Cl)(Cl)Cl)CC(OC(O)C(Cl)(Cl)Cl)C2O)C(OCCOCCOC(O)C(Cl)(Cl)Cl)C1O 1
                                                              Pentane                                                                                                                                                                                                                                                                                                                                              CCCCC 1
                                                           nandrolone                                                                                                                                                                                                                                                                                         C[C@]12CC[C@@H]3[C@H]4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O 0
                                                           chloralose                                                                                                                                                                                                                                                                                             OC[C@@H](O)[C@H]1OC2O[C@H](C(Cl)(Cl)Cl)O[C@@H]2[C@H]1O 1
                                                             zolpidem                                                                                                                                                                                                                                                                                                            Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1 1
                                                          aclarubicin                                                                                                                                                                                                                           CC[C@@]1(O)C[C@H](OC2CC(N(C)C)C(OC3CC(O)C(OC4CCC(=O)C(C)O4)C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)[C@H]1C(=O)OC 0
                                                            alpertine                                                                                                                                                                                                                                                                                               CCOC(=O)c1[nH]c2cc(OC)c(OC)cc2c1CCN1CCN(c2ccccc2)CC1 1
                                                            RO19-4603                                                                                                                                                                                                                                                                                                            CN1Cc2c(C(=O)OC(C)(C)C)ncn2-c2ccsc2C1=O 1
                                                          Terconazole                                                                                                                                                                                                                                                                                CC(C)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1 0
                                                         progesterone                                                                                                                                                                                                                                                                                    CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C 0
                                                         orphenadrine                                                                                                                                                                                                                                                                                                                       Cc1ccccc1C(OCCN(C)C)c1ccccc1 1
                                                          toprilidine                                                                                                                                                                                                                                                                                                                    Cc1ccccc1N1CCN(CCCOc2ccccn2)CC1 1
                                   descinolone(descinolone-acetonide)                                                                                                                                                                                                                                                             CC(=O)[C@@]1(O)[C@H](O)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C 1
                                                          fibracillin                                                                                                                                                                                                                                                        CC(C)(Oc1ccc(Cl)cc1)C(=O)N[C@@H](C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12)c1ccccc1 0
                                                        meclofenoxate                                                                                                                                                                                                                                                                                                                        CN(C)CCOC(=O)COc1ccc(Cl)cc1 1
                                                        phacetoperane                                                                                                                                                                                                                                                                                                                         CC(=O)OC(c1ccccc1)C1CCCCN1 1
                                                             gepirone                                                                                                                                                                                                                                                                                            CC1(C)CC(=O)N(CCCCN2CCN(c3ncccn3)CC2)C(=O)C1.[Cl-].[H+] 1
                                                           rofelodine                                                                                                                                                                                                                                                                                                                         O=C1CCN=C2CC(c3ccccc3)CN12 1
                                                           pregabalin                                                                                                                                                                                                                                                                                                                             CC(C)C[C@H](CN)CC(=O)O 1
                                                           tolazamide                                                                                                                                                                                                                                                                                                               Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1 0
                                                              uridine                                                                                                                                                                                                                                                                                                                 O=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1 1
                                                            encyprate                                                                                                                                                                                                                                                                                                                          CCOC(=O)N(Cc1ccccc1)C1CC1 1
                                                          Moclobemide                                                                                                                                                                                                                                                                                                                       O=C(NCCN1CCOCC1)c1ccc(Cl)cc1 1
                                                          valinomycin                                                                                                                                        CC(C)C1NC(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)NC(=O)[C@H](C)OC(=O)[C@@H](C(C)C)NC(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)NC(=O)[C@H](C)OC(=O)[C@@H](C(C)C)NC(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)NC(=O)[C@H](C)OC1=O 0
                                                           tifemoxone                                                                                                                                                                                                                                                                                                                             S=C1NCCC(COc2ccccc2)O1 1
                                                       chloralhydrate                                                                                                                                                                                                                                                                                                                                   OC(O)C(Cl)(Cl)Cl 1
                                                           ethomoxane                                                                                                                                                                                                                                                                                                               CCCCNCC1COc2cccc(OCC)c2O1.[Cl-].[H+] 1
                                                           eprobemide                                                                                                                                                                                                                                                                                                                      O=C(NCCCN1CCOCC1)c1ccc(Cl)cc1 1
                                                               Y-G 20                                                                                                                                                                                                                                                                                                                                   NCCc1cn2ccccc2n1 0
                                                           mebutamate                                                                                                                                                                                                                                                                                                                       CCC(C)C(C)(COC(N)=O)COC(N)=O 1
                                                        fluocortolone                                                                                                                                                                                                                                                           C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO 1
                                    acetorphan/racecadotril/ecadotril                                                                                                                                                                                                                                                                                                         CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1 1
                                             hydrocortisone-aceponate                                                                                                                                                                                                                                                           CCC(=O)O[C@]1(C(=O)COC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C 1
                                                          zafuleptine                                                                                                                                                                                                                                                                                                                   CC(C)C(CCCCCC(=O)O)NCc1ccc(F)cc1 1
                                                         rescinnamine                                                                                                                                                                                                                                        COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC 1
                                                         tiflucarbine                                                                                                                                                                                                                                                                                                                CCN1CCc2[nH]c3cc(F)c4scc(C)c4c3c2C1 1
                                                            GR94839_H                                                                                                                                                                                                                                                                                              CC(=O)N1CCN(C(=O)Cc2ccccc2)[C@@H](CN2CC[C@@H](O)C2)C1 0
                                                     diproleandomycin                                                                                                                                                                         CCC(=O)O[C@H]1[C@H](C)O[C@@H](O[C@@H]2C(C)C(=O)O[C@H](C)[C@H](C)[C@H](OC(=O)CC)[C@@H](C)C(=O)[C@]3(CO3)CC(C)[C@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3O)[C@H]2C)C[C@@H]1OC 0
                                                         halometasone                                                                                                                                                                                                                                                     C[C@@H]1CC2[C@@H]3C[C@H](F)C4=CC(=O)C(Cl)=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO 1
                                                         Levallorphan                                                                                                                                                                                                                                                                                                        C=CCN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13 1
                                                                 cp20                                                                                                                                                                                                                                                                                                                                  Cc1c(O)c(=O)ccn1C 1
                                                            maroxepin                                                                                                                                                                                                                                                                                                                   CN1CCC2=C(CC1)c1ccccc1Oc1ccccc12 1
                                                           sabeluzole                                                                                                                                                                                                                                                                                                      CN(c1nc2ccccc2s1)C1CCN(CC(O)COc2ccc(F)cc2)CC1 1
                                                           quetiapine                                                                                                                                                                                                                                                                                                             OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1 1
                                                          dimetacrine                                                                                                                                                                                                                                                                                                                 CN(C)CCCN1c2ccccc2C(C)(C)c2ccccc21 1
                                                           Didanosine                                                                                                                                                                                                                                                                                                             O=c1nc[nH]c2c1ncn2[C@H]1CC[C@@H](CO)O1 0
                                                          omiloxetine                                                                                                                                                                                                                                                                                 O=C(CN1CC[C@H](c2ccc(F)cc2)[C@@H](COc2ccc3c(c2)OCO3)C1)c1ccc(F)cc1 1
                                                alfaxalone/renanolone                                                                                                                                                                                                                                                                          CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C 1
                                               fluphenazine-enanthate                                                                                                                                                                                                                                                                                          CCCCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1 1
                                                         medifoxamine                                                                                                                                                                                                                                                                                                                        CN(C)CC(Oc1ccccc1)Oc1ccccc1 1
               betamethasone-dipropionate(dexamethasone-dipropionate)                                                                                                                                                                                                                                                     CC(=O)OCC(=O)[C@@]1(O)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C 1
                                                            xorphanol                                                                                                                                                                                                                                                                                         C=C1C[C@H](C)[C@H]2[C@H]3Cc4ccc(O)cc4[C@@]2(CCN3CC2CCC2)C1 1
                                                         TetraCycline                                                                                                                                                                                                                                                        CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12 0
                                                          hydroxyzine                                                                                                                                                                                                                                                                                                            OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1 1
                                                            algestone                                                                                                                                                                                                                                                                         CC(=O)[C@@]1(O)[C@H](O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C 1
                                                          etymemazine                                                                                                                                                                                                                                                                                                              CCc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2 1
                                                         chlorambucil                                                                                                                                                                                                                                                                                                                     O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1 0
                                                            epicillin                                                                                                                                                                                                                                                                                   CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)C3=CCC=CC3)C(=O)N2[C@H]1C(=O)O 0
                                                            trazodone                                                                                                                                                                                                                                                                                                         O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12 1
                                                           Cimetidine                                                                                                                                                                                                                                                                                                                         CN=C(NC#N)NCCSCc1nc[nH]c1C 0
                                                       hydromorphinol                                                                                                                                                                                                                                                                                         CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)CC[C@@]3(O)[C@H]1C5 1
                                                           sultopride                                                                                                                                                                                                                                                                                                            CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)ccc1OC 1
                                                          Pirenzepine                                                                                                                                                                                                                                                                                                         CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1 1
                                                     Hydroxycarbamide                                                                                                                                                                                                                                                                                                                                           NC(=O)NO 1
                                                isoflupredone-acetate                                                                                                                                                                                                                                                             CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C 1
                                                       benzindopyrine                                                                                                                                                                                                                                                                                                          [Cl].c1ccc(Cn2cc(CCc3ccncc3)c3ccccc32)cc1 1
                                                            Mianserin                                                                                                                                                                                                                                                                                                                       CN1CCN2c3ccccc3Cc3ccccc3C2C1 1
                                                         betamethadol                                                                                                                                                                                                                                                                                                              CCC(O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1 1
                                                          tioperidone                                                                                                                                                                                                                                                                                                  CCCSc1ccccc1N1CCN(CCCCn2c(=O)[nH]c3ccccc3c2=O)CC1 1
                                                          homatropine                                                                                                                                                                                                                                                                                                                  CN1C2CCC1CC(OC(=O)C(O)c1ccccc1)C2 0
                                                       metamfepramone                                                                                                                                                                                                                                                                                                                             CC(C(=O)c1ccccc1)N(C)C 1
                                                           antipyrine                                                                                                                                                                                                                                                                                                                           Cc1cc(=O)n(-c2ccccc2)n1C 1
                                                      Dichloromethane                                                                                                                                                                                                                                                                                                                                              ClCCl 1
                                                        grepafloxacin                                                                                                                                                                                                                                                                                                   Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1 0
                                                          vinyl-ether                                                                                                                                                                                                                                                                                                                                            C=COC=C 1
                                                           phenelzine                                                                                                                                                                                                                                                                                                                                  NNCCc1ccccc1.[Cl] 1
                                                        Pyrimethamine                                                                                                                                                                                                                                                                                                                      CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1 1
                                                          cycotiamine                                                                                                                                                                                                                                                                                                             C/C(=C1/CCOC(=O)S1)N(C=O)Cc1cnc(C)nc1N 1
                                                       amfonelic-acid                                                                                                                                                                                                                                                                                                            CCn1cc(C(=O)O)c(=O)c2ccc(Cc3ccccc3)nc21 1
                                                             dazadrol                                                                                                                                                                                                                                                                                                                 OC(C1=NCCN1)(c1ccc(Cl)cc1)c1ccccn1 1
                                                            iprindole                                                                                                                                                                                                                                                                                                                    CN(C)CCCn1c2c(c3ccccc31)CCCCCC2 1
                                                         pramiracetam                                                                                                                                                                                                                                                                                                                    CC(C)N(CCNC(=O)CN1CCCC1=O)C(C)C 1
                                                             doxapram                                                                                                                                                                                                                                                                                                        CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O 1
                                                        isoflupredone                                                                                                                                                                                                                                                                                                CC12C=CC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F 1
                                                         methaqualone                                                                                                                                                                                                                                                                                                                      Cc1ccccc1-n1c(C)nc2ccccc2c1=O 1
                                                              fenobam                                                                                                                                                                                                                                                                                                                   CN1CC(=O)N=C1NC(=O)Nc1cccc(Cl)c1 1
                                                          Ethionamide                                                                                                                                                                                                                                                                                                                                 CCc1cc(C(N)=S)ccn1 1
                                             cyproximide(ciproximide)                                                                                                                                                                                                                                                                                                                     O=C1NC(=O)C2(c3ccc(Cl)cc3)CC12 1
                                                            zorubicin                                                                                                                                                                                                                        COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(/C(C)=N/NC(=O)c1ccccc1)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1.[Cl-].[H+] 0
