  CHEMBL47406                                                                                                                                                                                                                                                           COC(=O)COc1ccc(O)cc1 0.0
 CHEMBL182150                                                                                                                                                                                                                  CN(C)c1nc(N[C@H]2CC[C@@H](NC(=O)c3ccc(F)c(F)c3)CC2)nc2ccccc12 1.0
CHEMBL1916267                                                                                                                                                                                                                           CCC(CC)NC(=O)c1cnn(Cc2ccccc2)c1NS(=O)(=O)c1ccc(C)cc1 1.0
CHEMBL1917426                                                                                                                                                                                                                                        Cc1c(Sc2ccc(Cl)cc2)c2cc(F)ccc2n1CC(=O)O 1.0
 CHEMBL198114                                                                                                                                                                                                    CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccccc2)c2ccc(NS(C)(=O)=O)cc2)CC1 1.0
CHEMBL2335907                                                                                                                                                                                                                       COc1cc(-c2ccncc2)cc2cnc(Nc3ccc([C@@H](C)NC(C)=O)cc3)nc12 1.0
 CHEMBL231835                                                                                                                                                                                                                    O=C(N[C@H]1Cc2ccccc2N(C[C@@H](O)CO)C1=O)c1cc2cc(Cl)sc2[nH]1 1.0
CHEMBL2164670                                                                                                                                                                                                             COc1ccccc1C(C#N)NC(=O)[C@@H]1CCCC[C@H]1C(=O)N1CCN(Cc2ccc(F)cc2)CC1 1.0
 CHEMBL444884                                                                                                                                                                                                                                                  NC(=O)c1sc(-c2ccc(Cl)cc2)cc1N 1.0
  CHEMBL51478                                                                                                                                                                                                                                                 COc1ccnc(CSc2nc3ccccc3[nH]2)c1 1.0
CHEMBL1388277                                                                                                                                                                                                                                                 CSc1ncccc1C(=O)NCCc1ccc(Cl)cc1 1.0
 CHEMBL475817                                                                                                                                                                                                                        Nc1ncc(NC(=O)c2cc(NC(=O)c3cccc(C(F)(F)F)c3)ccc2Cl)cc1Cl 1.0
 CHEMBL480601                                                                                                                                                                                                          CC1(C)[C@@H]2CC[C@@]1(CS(=O)(=O)NC1CCN(c3ccc(C(F)(F)F)cn3)CC1)C(=O)C2 1.0
CHEMBL1630742                                                                                                                                                                                                                                                      NCCCCCc1c[nH]c2ccc(F)cc12 0.0
 CHEMBL217665                                                                                                                                                                                                                                           CN1CCN(c2ccc(Nc3ccnc4ccccc34)cc2)CC1 1.0
CHEMBL1783264                                                                                                                                                                                                                            COc1ccc(OC)c(-c2cccc3c(N)c(C(=O)NC4(C)CCC4)nnc23)c1 1.0
CHEMBL2011926                                                                                                                                                                                                                                  COc1ccc(-c2nc3c(NCC4CCNCC4)c(Br)cnc3[nH]2)cc1 1.0
    CHEMBL797                                                                                                                                                                                                                                                       CN1C(=O)CC(c2ccccc2)C1=O 0.0
CHEMBL1233655                                                                                                                                                                                                                         CC(=O)Nc1nc(C)c(-c2cnc(F)c(NS(=O)(=O)c3sc(C)nc3C)c2)s1 0.0
 CHEMBL602745                                                                                                                                                                                                                         CS(=O)(=O)N1CC[C@H](N(Cc2ccccc2Cl)c2ccc(C#N)c(Cl)c2)C1 1.0
CHEMBL1080151                                                                                                                                                                                                                          Cc1cnc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)nc(N3CCOCC3)c2F)s1 1.0
CHEMBL1255781                                                                                                                                                                                                                                               O=C(OCCN1CCCCC1)c1c[nH]c2ccccc12 1.0
CHEMBL2158833                                                                                                                                                                                                                        O=C(O)c1ccc(CN2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1 1.0
CHEMBL2152074                                                                                                                                                                                                               Nc1nc(Nc2ccc3nc(-c4ccc(F)cc4)cc(N)c3c2)cc(-c2ccc(C(F)(F)F)cc2)n1 1.0
CHEMBL2179285                                                                                                                                                                                              Cc1cn([C@H]2CCCN([C@H](CC3CCOCC3)c3ccc(C(=O)O)c(Oc4cccc(Cl)c4)c3)C2)c(=O)[nH]c1=O 0.0
CHEMBL2335882                                                                                                                                                                                                                                  COCCN(C)Cc1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1 1.0
  CHEMBL38182                                                                                                                                                                                                                                         N#Cc1ccc(NC(=O)Nc2ccccc2Br)c2nn[nH]c12 1.0
CHEMBL1944689                                                                                                                                                                                                               O=c1[nH]c2c(O)ccc([C@@H](O)CNCCc3ccc(CNCCc4c(Cl)cccc4Cl)cc3)c2s1 1.0
  CHEMBL51697                                                                                                                                                                                                                                               CN1Cc2c(N)cccc2[C@H](c2ccccc2)C1 1.0
CHEMBL2179275                                                                                                                                                                                                 Cc1cn([C@H]2CCCN([C@H](CC(C)C)c3ccc(C(=O)O)c(Oc4cccc(Cl)c4)c3)C2)c(=O)[nH]c1=O 0.0
CHEMBL1270670                                                                                                                                                                                                                              CS(=O)(=O)c1cccc(Nc2nccc(Nc3c(Cl)ccc4ccoc34)n2)c1 1.0
 CHEMBL366947                                                                                                                                                                                                                          CC(C)(C)OC(=O)c1ncn2c1[C@@H]1CCCN1C(=O)c1c(Br)cccc1-2 1.0
 CHEMBL480370                                                                                                                                                                                                                                          CCNC1=Nc2ccccc2C(c2ccccc2)=NC1c1cccs1 1.0
  CHEMBL69863                                                                                                                                                                                                                                              Oc1cc(O)cc(/C=C/c2ccc(O)c(O)c2)c1 1.0
  CHEMBL38688                                                                                                                                                                                                                                                            c1ccc(Nc2ccccc2)cc1 1.0
CHEMBL1689135                                                                                                                                                                                                                          C[C@H]1CN(Cc2cc(Cl)ccc2CC(=O)O)CCN1C(=O)Cc1ccc(Cl)cc1 1.0
CHEMBL1809196                                                                                                                                                                                                                COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(C(F)(F)F)c(-c2cnc3ccccn23)n1 1.0
 CHEMBL300982                                                                                                                                                                                                                            CC1(C)Cc2c(-c3ccccc3)c(-c3ccc(Cl)cc3)c(CC(=O)O)n2C1 1.0
CHEMBL1612837                                                                                                                                                                                                                                        CC(C)(C)c1ccc(C2=NC(=O)C(CC(=O)O)S2)cc1 0.0
    CHEMBL424                                                                                                                                                                                                                                                                O=C(O)c1ccccc1O 0.0
CHEMBL1731705                                                                                                                                                                                                                                            O=S(=O)(Nc1ccccc1-c1ccccc1)c1ccccc1 1.0
CHEMBL1824042                                                                                                                                                                                                                         O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccc(Cl)cc54)CC3)nc2N1 1.0
 CHEMBL469008                                                                                                                                                                                                       Cc1oc(S(C)(=O)=O)cc1-c1c2c(=O)n(C)c(=O)n(CC3CC3)c2nn1Cc1ccnc2ccc(Cl)cc12 1.0
CHEMBL1809062                                                                                                                                                                                                                         COc1cc(N2CCN(CCO)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn23)n1 1.0
 CHEMBL249697                                                                                                                                                                                                                                                  Cc1ccc2nc(NCCN)c3ncc(C)n3c2c1 0.0
   CHEMBL1294                                                                                                                                                                                                                        C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12 1.0
CHEMBL1951909                                                                                                                                                                                          CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CC[C@@H](c2cc(F)cc(F)c2)N2CCN(S(C)(=O)=O)CC2)CC1 1.0
CHEMBL1778639                                                                                                                                                                                                                            CCS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)c(C)c1 0.0
CHEMBL1302214                                                                                                                                                                                                                                                    Nc1ccc(S(=O)(=O)N2CCCC2)cc1 0.0
CHEMBL1824040                                                                                                                                                                                                                 CC(=O)c1ccc2c(c1)N(CCN1CCC(NCc3ccc4c(n3)NC(=O)CO4)CC1)C(=O)CO2 0.0
CHEMBL1923434                                                                                                                                                                                                                             Cc1[nH]c(C(=O)NC2CCN(c3nc(C(=O)O)cs3)CC2)c(Cl)c1Cl 0.0
CHEMBL1574146                                                                                                                                                                                                                                            Nc1cccc2c1C(=O)N(Cc1cccc(Cl)c1)C2=O 1.0
CHEMBL2158821                                                                                                                                                                                                                   O=C(O)[C@@H](c1ccccc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1 1.0
CHEMBL1682832                                                                                                                                                                                                                                              COC(=O)N1CCOc2cc(COc3ccccc3)cnc21 1.0
CHEMBL2178935                                                                                                                                                                                                                       Cc1nc(C)c(-c2ccc([C@H]3CC[C@H](CC(N)=O)CC3)cc2)nc1C(N)=O 1.0
CHEMBL2086690                                                                                                                                                                                                                         CC(C)c1nc(N2CCN(c3ncc(OCc4ccncc4C#N)cn3)[C@H](C)C2)no1 1.0
 CHEMBL405790                                                                                                                                                                                                                                          O=C(NCC12CC3CC(CC(C3)C1)C2)c1ccccc1Br 1.0
CHEMBL1824039                                                                                                                                                                                                                  O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccc(OC(F)(F)F)cc54)CC3)nc2N1 1.0
    CHEMBL841                                                                                                                                                                                                                     CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1 1.0
CHEMBL1288102                                                                                                                                                                                                                              NC(=O)c1cnc(N[C@H]2CCCNC2)c2cc(-c3ccc(F)cc3F)sc12 1.0
CHEMBL1987793                                                                                                                                                                                                                            Cc1ccccc1-c1c(C(=O)O)n(CCCOc2cccc3ccccc23)c2ccccc12 1.0
CHEMBL2336327                                                                                                                                                                                                             COc1ccc(-c2ccc3c(N4CCOCC4)nc(N4C[C@H](C)O[C@H](C)C4)nc3n2)cc1CNCCO 1.0
 CHEMBL219916                                                                                                                                                                                                                        O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1 1.0
CHEMBL1779012                                                                                                                                                                                                                                        COc1cc(F)ccc1-c1cncc(CNC(=O)c2cnccn2)c1 1.0
CHEMBL1789187                                                                                                                                                                                                                                        N#Cc1ccc(C(F)(F)F)nc1O[C@H](CCN)c1ccno1 0.0
CHEMBL1916533                                                                                                                                                                                                                        COc1ccc2ncc(F)c(CCN3CCC(NCc4ccc5c(n4)NC(=O)CO5)CC3)c2n1 1.0
 CHEMBL578235                                                                                                                                                                                                                        Cc1cc(Oc2ccnc(Nc3ccc(S(N)(=O)=O)cc3)c2)c(-c2ccccn2)nc1C 1.0
 CHEMBL509406                                                                                                                                                                                                                     Cc1ncc(-c2nc(Nc3ccc(C(=O)NC4CCN(C)CC4)c(F)c3)ncc2F)n1C(C)C 1.0
CHEMBL2171027                                                                                                                                                                                                         O=C(O)CCCS(=O)(=O)c1cccc(C(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)c1 0.0
CHEMBL2216839                                                                                                                                                                                                          C[C@H]1CN(Cc2nnc(-c3cc(-c4cccc5[nH]ccc45)cc4[nH]ncc34)o2)C[C@@H](C)O1 1.0
CHEMBL1964629                                                                                                                                                                                                                                                      Nc1nc(Cl)nc(NCc2ccccc2)n1 1.0
CHEMBL2151324                                                                                                                                                                                                                       CC(C)Oc1cc(Nc2nc3c(cc2F)ncn3[C@@H](CO)c2ccc(F)cn2)n[nH]1 1.0
  CHEMBL87785                                                                                                                                                                                                   Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2[C@H](C)CNCCc2ccncc2)c1 1.0
 CHEMBL479445                                                                                                                                                                                                                                COc1cc2ncc(C(N)=O)c(Nc3ccc(F)cc3F)c2cc1NCCN(C)C 1.0
 CHEMBL486894                                                                                                                                                                                                                                                O=c1oc2ccc(O)cc2cc1-c1ccc(O)cc1 1.0
 CHEMBL476993                                                                                                                                                                                                                        Cc1ncc(-c2nc(Nc3ccc(N4CCN(C(=O)CO)CC4)cc3)ncc2F)n1C(C)C 1.0
CHEMBL1829246                                                                                                                                                                                                                         CCC(c1nc2ccsc2c(=O)n1Cc1ccccc1)N(CCCN)C(=O)c1ccc(C)cc1 1.0
 CHEMBL517544                                                                                                                                                                                                                                      COc1cc2ncc(C(N)=O)c(Nc3cccc(Cl)c3)c2cc1OC 1.0
 CHEMBL469007                                                                                                                                                                                                      Cn1c(=O)c2c(-c3oc(S(C)(=O)=O)cc3Cl)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O 1.0
CHEMBL1522360                                                                                                                                                                                                                                             O=S(=O)(Nc1cccnc1)c1ccc2c(c1)OCCO2 1.0
CHEMBL2087851                                                                                                                                                                                                               Cn1cncc1-c1c2c(=O)n(C3CC3)c(=O)n(CC3CC3)c2nn1Cc1ccnc2ccc(Cl)cc12 1.0
CHEMBL1632052                                                                                                                                                                                                                                                Nc1sc2c(c1C(=O)NCc1ccccc1)CCCC2 1.0
CHEMBL2158819                                                                                                                                                                                                                        O=C(O)C(c1ccccc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1 1.0
CHEMBL2335905                                                                                                                                                                                                                    C[C@@H](NC1=CC(=O)NCC1)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1 1.0
CHEMBL1689124                                                                                                                                                                                                                        CCC[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1S(=O)(=O)c1ccccc1 1.0
 CHEMBL434063                                                                                                                                                                                                                  CN(CCOc1ccc(C[C@H](Nc2ccccc2C(=O)c2ccccc2)C(=O)O)cc1)c1ccccn1 1.0
CHEMBL1209583                                                                                                                                                                                                                               O=S(=O)(NCC(c1ccccc1)N1CCCCCC1)c1ccccc1OC(F)(F)F 1.0
CHEMBL2165066                                                                                                                                                                                                         N#Cc1ccc2ccc(=O)n(CCN3CC[C@@H](NCc4ccc5c(n4)NC(=O)CO5)[C@@H](F)C3)c2c1 0.0
 CHEMBL481596                                                                                                                                                                                                                              CN1CCN(c2cc3c(Nc4ccc(F)cc4F)c(C(N)=O)cnc3cc2F)CC1 1.0
CHEMBL1689114                                                                                                                                                                                                                              O=C(O)COc1ccc(Cl)cc1CN1CCCN(S(=O)(=O)c2ccccc2)CC1 1.0
CHEMBL1940279                                                                                                                                                                                                                O=C(NCc1ccnc2ccccc12)c1ccc(Oc2ccc(C#C[C@]3(O)CN4CCC3CC4)cc2)cc1 1.0
 CHEMBL354788                                                                                                                                                                                                                                                NC1=NC(c2ccco2)Nc2c(F)ccc(F)c21 1.0
CHEMBL2144138                                                                                                                                                                                                                                         NC(=O)C1CCN(CC(=O)Nc2ccc3c(c2)OCO3)CC1 0.0
CHEMBL2151322                                                                                                                                                                                                                       CC(C)Oc1cc(-n2cnc3ccc(N[C@@H](CO)c4ccc(F)cn4)nc32)n[nH]1 1.0
CHEMBL2022881                                                                                                                                                                                                                                                    COc1ccc(-c2cc(O)nc(N)n2)cc1 1.0
 CHEMBL168552                                                                                                                                                                                                                                                        NS(=O)(=O)c1nc2ccccc2s1 1.0
CHEMBL2094354                                                                                                                                                                                                                                            Nc1ccc2c(c1)C(=O)C(=O)c1cc(N)ccc1-2 1.0
 CHEMBL138649                                                                                                                                                                                                                                                 O=c1cc(-c2ccccc2)oc2ccc(O)cc12 1.0
CHEMBL1682949                                                                                                                                                                                                                   CC[C@H](NC(=O)c1c([S+](C)[O-])c(-c2cccs2)nc2ccccc12)c1ccccc1 1.0
 CHEMBL194102                                                                                                                                                                                                                         O=C(O)c1ccc(NC(=O)c2cc(OCc3ccccc3)cc(OCc3ccccc3)c2)nc1 1.0
 CHEMBL153064                                                                                                                                                                                                                                                      CC(=O)c1cc2ccc(O)cc2oc1=O 0.0
CHEMBL1545465                                                                                                                                                                                                                                        COc1ccc(C(=O)C2CCN(C(=O)c3ccco3)CC2)cc1 1.0
  CHEMBL13923                                                                                                                                                                                                                           CC(C)C(NC(=O)Cn1c(-c2ccccc2)ccc(N)c1=O)C(=O)C(F)(F)F 1.0
 CHEMBL427486                                                                                                                                                                                                                                 CC(=O)NC[C@H]1CN(c2ccc(-n3ccnc3)c(F)c2)C(=O)O1 0.0
CHEMBL2086689                                                                                                                                                                                                                             C[C@@H]1CN(c2ncc(F)cn2)CCN1c1ncc(OCc2ccncc2C#N)cn1 1.0
CHEMBL2042558                                                                                                                                                                                                                                        O=[N+]([O-])c1cccc2ccc(C(Cl)(Cl)Cl)nc12 1.0
CHEMBL2325984                                                                                                                                                                                                                     NC1(C(=O)NC(c2ccccc2)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1 1.0
  CHEMBL93484                                                                                                                                                                                                                                                  CC1N=C(N)N=C(N)N1c1ccc(Cl)cc1 0.0
CHEMBL1946026                                                                                                                                                                                                                     O=C(c1ccc(C(=C2CCN(Cc3cscn3)CC2)c2cccc3cccnc23)cc1)N1CCCC1 1.0
 CHEMBL575099                                                                                                                                                                                                                          COc1cc(Nc2cc(Oc3cc(C)c(C)nc3-c3ccccn3)ccn2)cc(OC)c1OC 1.0
CHEMBL1289466                                                                                                                                                                                                                                       O=C(COCc1ccncc1)N1CCC(c2ccc(Cl)cc2Cl)CC1 1.0
CHEMBL1223526                                                                                                                                                                                                                                       Cc1cc2n[nH]c(=O)n2c2cc(-c3ccc[nH]3)ccc12 1.0
CHEMBL1778868                                                                                                                                                                                                                                                 COCCNCc1cncc(-c2ccc(F)cc2OC)n1 1.0
 CHEMBL171951                                                                                                                                                                                                                                               CCCS(=O)(=O)N1N=Cc2cc(Cl)ccc2B1O 0.0
CHEMBL2178940                                                                                                                                                                                                                   Cc1nc(C)c(-c2ccc([C@H]3CC[C@H](Cc4nnn[nH]4)CC3)cc2)nc1C(N)=O 1.0
 CHEMBL514690                                                                                                                                                                                                                                  Cc1ncc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)n1C(C)C 1.0
   CHEMBL1096                                                                                                                                                                                                                                       CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1 1.0
 CHEMBL512607                                                                                                                                                                                                                                                  CC(C)(C)C(=O)N[C@H]1CCCCNC1=O 0.0
 CHEMBL577241                                                                                                                                                                                                                                                       Oc1ccc(CCc2ccc(O)cc2)cc1 1.0
CHEMBL2070936                                                                                                                                                                                                                    N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCN(c3ccc(F)cc3)CC2)CC1 1.0
CHEMBL2153175                                                                                                                                                                                                                                                  CCCSc1ncccc1C(=O)N(C)C1CCCCC1 1.0
 CHEMBL605846                                                                                                                                                                                                                            COc1ccc(CC(C)(C)NC[C@H](O)c2cc(O)cc3c2OCC(=O)N3)cc1 0.0
 CHEMBL103667                                                                                                                                                                                                                Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1 1.0
CHEMBL1783112                                                                                                                                                                                                                                        COc1ccc2nc(C)cc(-n3cc(CNC(C)=O)nn3)c2c1 1.0
     CHEMBL22                                                                                                                                                                                                                                                COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC 0.0
CHEMBL1950861                                                                                                                                                                                                                 CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccccn2)C1)C(C)(C)C 0.0
 CHEMBL402561                                                                                                                                                                                                                      CCNC(=O)OC[C@@H](C)N(c1cc(Cl)ccc1CO)S(=O)(=O)c1ccc(Cl)cc1 1.0
 CHEMBL175627                                                                                                                                                                                                                            CC(=O)NC[C@H]1CN(c2ccc(-n3cc(C#N)nn3)c(F)c2)C(=O)O1 0.0
CHEMBL1718768                                                                                                                                                                                                                               CCn1c(SCC(=O)Nc2c(C#N)cnn2-c2ccccc2)nnc1-c1cccs1 1.0
  CHEMBL73243                                                                                                                                                                                                                             COCCCNS(=O)(=O)c1ccc(Nc2nccc(-c3cnc4ccccn34)n2)cc1 1.0
      CHEMBL2                                                                                                                                                                                                                                  COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC 1.0
CHEMBL3545252                                                                                                        CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C.O.O.O 1.0
CHEMBL2325994                                                                                                                                                                                                                   NC1(C(=O)NC(CCCN2CCCC2)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1 1.0
CHEMBL1824031                                                                                                                                                                                                                         O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccc(Br)cc54)CC3)nc2N1 1.0
CHEMBL1198335                                                                                                                                                                                                                                         COc1cccc(Nc2nc(NCC3CCCO3)c3ccccc3n2)c1 1.0
 CHEMBL478240                                                                                                                                                                                                                                        CCCCSc1nc(N)c2ncn(Cc3c(F)ccc(C)c3F)c2n1 1.0
CHEMBL2035031                                                                                                                                                                                                                                    NC1(c2ccc(-c3ncc4cccnc4c3-c3ccccc3)cc2)CCC1 1.0
   CHEMBL1027                                                                                                                                                                                                                                   Cc1ccsc1C(=CCCN1CCC[C@@H](C(=O)O)C1)c1sccc1C 1.0
 CHEMBL473967                                                                                                                                                                                                                      CC1(C)Oc2ncnc(N)c2N=C1c1ccc([C@H]2CC[C@H](CC(=O)O)CC2)cc1 1.0
 CHEMBL528724                                                                                                                                                                                                                                                   Cc1cc2nc(NC(=N)N)nc(C)c2cc1C 0.0
 CHEMBL274737                                                                                                                                                                                                                                       CC[C@H](CO)Nc1nc(SCc2ccccc2)nc2nc(N)sc12 1.0
CHEMBL2011924                                                                                                                                                                                                                                 CNc1c(Cl)cnc2[nH]c(-c3ccc(OCCN4CCOCC4)cc3)nc12 1.0
 CHEMBL214350                                                                                                                                                                                                                          Cc1ccc2c(c1)c(-c1ccnc3c(C(F)(F)F)cccc13)c(C)n2CC(=O)O 1.0
 CHEMBL184052                                                                                                                                                                                                                       COc1cc2ncnc(Nc3cc(NC(=O)c4cccc(N5CCOCC5)c4)ccc3C)c2cc1OC 1.0
CHEMBL1209511                                                                                                                                                                                                                                     O=S(=O)(NCC(c1ccccc1)N1CCCCCC1)c1ccc(Br)s1 1.0
    CHEMBL515                                                                                                                                                                                                                                                 O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1 1.0
 CHEMBL174310                                                                                                                                                                                                                            N#Cc1ccc(C(=O)N2CCC3(CC2)N=C(N)c2c(F)ccc(F)c2N3)cc1 0.0
 CHEMBL468297                                                                                                                                                                                                                                               c1ccc(-c2nnc3ccc(NC4CC4)nn23)cc1 1.0
 CHEMBL301018                                                                                                                                                                                                                                           COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC 1.0
 CHEMBL586702                                                                                                                                                                                                                                FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCOCC2)n1 1.0
CHEMBL1770298                                                                                                                                                                                                                                 Cc1ccc(C(NC(=O)c2ccccc2O)C(=O)Nc2c(C)cccc2C)s1 1.0
    CHEMBL809                                                                                                                                                                                                                                    CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21 1.0
CHEMBL1392670                                                                                                                                                                                                                                                  O=C(Oc1ccccc1O)c1cccc2ccccc12 1.0
 CHEMBL126224                                                                                                                                                                                                                                                CN(C)CCCn1c2c(c3ccccc31)CCCCCC2 1.0
    CHEMBL139                                                                                                                                                                                                                                                 O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl 1.0
     CHEMBL86                                                                                                                                                                                                                                               CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC 0.0
CHEMBL1934418                                                                                                                                                                                                               Cc1ccc(S(=O)(=O)Nc2c(C(=O)N[C@@H](C)C(C)(C)C)c(C)nn2C2CCSCC2)cc1 1.0
