                                              cintriamide(cintramide)                                                                                                                                                                                                                                                                                                                      COc1cc(/C=C/C(N)=O)cc(OC)c1OC 1
                                                           mebanazine                                                                                                                                                                                                                                                                                                                                     CC(NN)c1ccccc1 1
                                                         glutethimide                                                                                                                                                                                                                                                                                                                         CCC1(c2ccccc2)CCC(=O)NC1=O 1
                                                          thalidomide                                                                                                                                                                                                                                                                                                                O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1 1
                                                             urethane                                                                                                                                                                                                                                                                                                                                          CCOC(N)=O 1
                                                          propranolol                                                                                                                                                                                                                                                                                                                        CC(C)NCC(O)COc1cccc2ccccc12 0
                                                            ICI199441                                                                                                                                                                                                                                                                                                 CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@@H](CN1CCCC1)c1ccccc1 1
                                                        thiphencillin                                                                                                                                                                                                                                                                                                        CC1(C)SC2C(NC(=O)CSc3ccccc3)C(=O)N2C1C(=O)O 0
                                                       cyclophenazine                                                                                                                                                                                                                                                                                                 FC(F)(F)c1ccc2c(c1)N(CCCN1CCN(C3CC3)CC1)c1ccccc1S2 1
                                                           Phenserine                                                                                                                                                                                                                                                                                                CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C)[C@@H]12 1
                                                             o-Xylene                                                                                                                                                                                                                                                                                                                                         Cc1ccccc1C 1
                                                         imiclopazine                                                                                                                                                                                                                                                                                                CN1CCN(CCN2CCN(CCCN3c4ccccc4Sc4ccc(Cl)cc43)CC2)C1=O 1
                                                          hydralazine                                                                                                                                                                                                                                                                                                                                   NNc1nncc2ccccc12 0
                                                          veralipride                                                                                                                                                                                                                                                                                                       C=CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)cc(OC)c1OC 1
                                                          Cycloserine                                                                                                                                                                                                                                                                                                                                         NC1CONC1=O 1
                                                                Y-G20                                                                                                                                                                                                                                                                                                                                   NCCc1cn2ccccc2n1 0
                                                                   28                                                                                                                                                                                                                                                                                                                  c1cc(CN2CCCCC2)cc(OCCCNc2nccs2)c1 1
                                                              naranol                                                                                                                                                                                                                                                                                                                  CC1CN(C)CC2Cc3c(ccc4ccccc34)OC12O 1
                                                            adicillin                                                                                                                                                                                                                                                                                   CC1(C)S[C@@H]2[C@H](NC(=O)CCC[C@@H](N)C(=O)O)C(=O)N2[C@H]1C(=O)O 0
                                                           ceftioxide                                                                                                                                                                                                                                                                          CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS(=O)[C@H]12)c1csc(N)n1 0
                                                pipotiazine-palmitate                                                                                                                                                                                                                                                                           CCCCCCCCCCCCCCCC(=O)OCCC1CCN(CCCN2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1 1
                                             metitepine(methiothepin)                                                                                                                                                                                                                                                                                                             CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2 1
                                                paramethasone-acetate                                                                                                                                                                                                                                                  CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C 1
                                                           dimethazan                                                                                                                                                                                                                                                                                                                   CN(C)CCn1cnc2c1c(=O)n(C)c(=O)n2C 1
                                                          alnespirone                                                                                                                                                                                                                                                                                      CCCN(CCCCN1C(=O)CC2(CCCC2)CC1=O)C1COc2cccc(OC)c2C1.[Cl-].[H+] 1
                                                             modaline                                                                                                                                                                                                                                                                                                                                  Cc1nccnc1N1CCCCC1 1
                                                           cefedrolor                                                                                                                                                                                                                                                                                 CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)c(Cl)c3)[C@H]2SC1 0
                                                           ocfentanil                                                                                                                                                                                                                                                                                                           COCC(=O)N(c1ccccc1F)C1CCN(CCc2ccccc2)CC1 1
                                          benzphetamine(benzfetamine)                                                                                                                                                                                                                                                                                                                         CC(Cc1ccccc1)N(C)Cc1ccccc1 1
                                                           novobiocin                                                                                                                                                                                                                                                CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c(=O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(O)oc3c2C)OC1(C)C 0
                                                            aztreonam                                                                                                                                                                                                                                                                       C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc([NH3+])n2)C(=O)N1S(=O)(=O)[O-] 0
                                                  Sodiumamidotrizoate                                                                                                                                                                                                                                                                                                   CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)[O-])c1I.[Na+] 0
                                                           umespirone                                                                                                                                                                                                                                                                                    CCCCN1C(=O)C2C(=O)N(CCCCN3CCN(c4ccccc4OC)CC3)C(=O)C(C1=O)C2(C)C 1
                                                           carbuterol                                                                                                                                                                                                                                                                                                                 CC(C)(C)NCC(O)c1ccc(O)c(NC(N)=O)c1 0
                                                        Isoproterenol                                                                                                                                                                                                                                                                                                                          CC(C)NCC(O)c1ccc(O)c(O)c1 0
                                                         lomefloxacin                                                                                                                                                                                                                                                                                                    CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21 0
                                                            bromoform                                                                                                                                                                                                                                                                                                                                          BrC(Br)Br 1
                                                         indeloxazine                                                                                                                                                                                                                                                                                                                         C1=Cc2cccc(OCC3CNCCO3)c2C1 1
                                                          furbucillin                                                                                                                                                                                                                                                                            CC(C)CC(OC(=O)c1ccco1)C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12 0
                                                      oxytetracycline                                                                                                                                                                                                                                             CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12.O.O 0
                                                          thioguanine                                                                                                                                                                                                                                                                                                                           Nc1nc(=S)c2[nH]cnc2[nH]1 0
                                                          Fluconazole                                                                                                                                                                                                                                                                                                                 OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F 1
                                                          brosotamide                                                                                                                                                                                                                                                                                                                             Cc1cc(Br)cc(C(N)=O)c1O 1
                                                          detorubicin                                                                                                                                                                                                                                                           CCOC(OCC)C(=O)OCC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(OC2CC(N)C(O)C(C)O2)C1)C(=O)c1c(OC)cccc1C3=O 0
                                                        quilostigmine                                                                                                                                                                                                                                                                                           CN1CC[C@@]2(C)c3cc(OC(=O)N4CCc5ccccc5C4)ccc3N(C)[C@@H]12 1
                                                      Ethacrynic acid                                                                                                                                                                                                                                                                                                               C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl 0
                                                             procaine                                                                                                                                                                                                                                                                                                                         CCN(CC)CCOC(=O)c1ccc(N)cc1 1
                                                       clarithromycin                                                                                                                                                                     CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O 0
                                                           pefloxacin                                                                                                                                                                                                                                                                                                       CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21 0
                                                            epicillin                                                                                                                                                                                                                                                                                   CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)C3=CCC=CC3)C(=O)N2[C@H]1C(=O)O 0
                                             hydrocortisone-aceponate                                                                                                                                                                                                                                                           CCC(=O)O[C@]1(C(=O)COC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C 1
                                                      cephalosporin-c                                                                                                                                                                                                                                                                               CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CCC[C@@H](N)C(=O)O)[C@H]2SC1 0
                                                    cortisone-acetate                                                                                                                                                                                                                                                                     CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C 1
                                                        Dexamfetamine                                                                                                                                                                                                                                                                                                                                 C[C@H](N)Cc1ccccc1 1
                                                                 cp24                                                                                                                                                                                                                                                                                                                               CCCCn1ccc(=O)c(O)c1C 1
                                                            etorphine                                                                                                                                                                                                                                                                                              CCCC(C)(O)C1CC23C=CC1(OC)C1Oc4c(O)ccc5c4C12CCN(C)C3C5 1
                                                            carfimate                                                                                                                                                                                                                                                                                                                              C#CC(OC(N)=O)c1ccccc1 1
                                                          revospirone                                                                                                                                                                                                                                                                                                       O=C1c2ccccc2S(=O)(=O)N1CCCN1CCN(c2ncccn2)CC1 1
                                                          mepiprazole                                                                                                                                                                                                                                                                                                              Cc1cc(CCN2CCN(c3cccc(Cl)c3)CC2)n[nH]1 1
                                                          carebastine                                                                                                                                                                                                                                                                                      CC(C)(C(=O)O)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1 0
                                                          lopirazepam                                                                                                                                                                                                                                                                                                                O=C1Nc2ccc(Cl)nc2C(c2ccccc2Cl)=NC1O 1
                                                          doxorubicin                                                                                                                                                                                                                                                  COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1 0
                                                          cyclazodone                                                                                                                                                                                                                                                                                                                         O=C1N=C(NC2CC2)OC1c1ccccc1 1
                                                     Trichloromethane                                                                                                                                                                                                                                                                                                                                          ClC(Cl)Cl 1
                                           ketipramine(ketimipramine)                                                                                                                                                                                                                                                                                                                  CN(C)CCCN1c2ccccc2CC(=O)c2ccccc21 1
                                                           mebutamate                                                                                                                                                                                                                                                                                                                       CCC(C)C(C)(COC(N)=O)COC(N)=O 1
                                                            spiramide                                                                                                                                                                                                                                                                                                        O=C1NCN(c2ccccc2)C12CCN(CCCOc1ccc(F)cc1)CC2 1
                                                           piquindone                                                                                                                                                                                                                                                                                                        CCc1c(C)[nH]c2c1C(=O)[C@@H]1CN(C)CC[C@H]1C2 1
                                                           fenharmane                                                                                                                                                                                                                                                                                                                  c1ccc(CC2NCCc3c2[nH]c2ccccc32)cc1 1
                                                         itrocinonide                                                                                                                                                                                                                               CCC[C@@H]1O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)C4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)O[C@H](C)OC(=O)OCC)O1 1
                                                         domoprednate                                                                                                                                                                                                                                                               CCCC(=O)O[C@]1(C(C)=O)CCC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C 1
                                                          noxiptiline                                                                                                                                                                                                                                                                                                                    CN(C)CCON=C1c2ccccc2CCc2ccccc21 1
                                                             budipine                                                                                                                                                                                                                                                                                                               CC(C)(C)N1CCC(c2ccccc2)(c2ccccc2)CC1 1
                                                           duloxetine                                                                                                                                                                                                                                                                                                                      CNCCC(Oc1cccc2ccccc12)c1cccs1 1
                                                        benzobarbital                                                                                                                                                                                                                                                                                                      CCC1(c2ccccc2)C(=O)NC(=O)N(C(=O)c2ccccc2)C1=O 1
                                                                 cp20                                                                                                                                                                                                                                                                                                                                  Cc1c(O)c(=O)ccn1C 1
                                                          teicoplanin CCCCCCCCCC(=O)N[C@H]1[C@H](Oc2c3cc4cc2Oc2ccc(cc2Cl)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@@H]2NC(=O)[C@H](NC(=O)[C@@H]4NC(=O)[C@H]4NC(=O)[C@@H](Cc5ccc(c(Cl)c5)O3)NC(=O)[C@H](N)c3ccc(O)c(c3)Oc3cc(O)cc4c3)c3ccc(O)c(c3)-c3c(O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O)cc(O)cc3[C@H](C(=O)O)NC2=O)O[C@H](CO)[C@@H](O)[C@@H]1O 0
                                                        difebarbamate                                                                                                                                                                                                                                                                               CCCCOCC(CN1C(=O)N(CC(COCCCC)OC(N)=O)C(=O)C(CC)(c2ccccc2)C1=O)OC(N)=O 1
                                                        isocarboxazid                                                                                                                                                                                                                                                                                                                         Cc1cc(C(=O)NNCc2ccccc2)no1 1
                                                           cogazocine                                                                                                                                                                                                                                                                                                            CCC12CCN(CC3CCC3)C(Cc3ccc(O)cc31)C2(C)C 1
                                                            alpertine                                                                                                                                                                                                                                                                                               CCOC(=O)c1[nH]c2cc(OC)c(OC)cc2c1CCN1CCN(c2ccccc2)CC1 1
                                                          zafuleptine                                                                                                                                                                                                                                                                                                                   CC(C)C(CCCCCC(=O)O)NCc1ccc(F)cc1 1
                                                   methylprednisolone                                                                                                                                                                                                                                                             C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12 1
                                                           iproniazid                                                                                                                                                                                                                                                                                                                               CC(C)NNC(=O)c1ccncc1 1
                                                           lirequinil                                                                                                                                                                                                                                                                                      CCO[C@H]1CCN(C(=O)c2cc(-c3ccccc3)c(=O)n3c2-c2cc(Cl)ccc2CC3)C1 1
                                                           amcinafide                                                                                                                                                                                                                                                         CC12C[C@H](O)[C@@]3(F)C(CCC4=CC(=O)C=CC43C)[C@@H]1C[C@H]1O[C@@](C)(c3ccccc3)O[C@]12C(=O)CO 1
                                                           rasagiline                                                                                                                                                                                                                                                                                                                            C#CCN[C@@H]1CCc2ccccc21 1
                                                         norfenefrine                                                                                                                                                                                                                                                                                                                                  NCC(O)c1cccc(O)c1 0
                                                             SB205605                                                                                                                                                                                                                                                                                         O=C(Cc1ccc(Cl)c(Cl)c1)N1CCc2[nH]cnc2[C@H]1CN1CC[C@@H](O)C1 0
                                                           elanzepine                                                                                                                                                                                                                                                                                                               CCN(CC)C/C=C1/c2ccccc2Nc2cc(Cl)ccc21 1
                                                         acrocinonide                                                                                                                                                                                                                                                                               C=CC1O[C@@H]2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)[C@]2(C(=O)CO)O1 1
                                                          cetotiamine                                                                                                                                                                                                                                                                                                  CCOC(=O)OCC/C(SC(=O)OCC)=C(\C)N(C=O)Cc1cnc(C)nc1N 1
                                                      toloxychlorinol                                                                                                                                                                                                                                                                                                    Cc1ccccc1OCC(COC(O)C(Cl)(Cl)Cl)OC(O)C(Cl)(Cl)Cl 1
                                                         carburazepam                                                                                                                                                                                                                                                                                                         CN1C(=O)CN(C(N)=O)C(c2ccccc2)c2cc(Cl)ccc21 1
                                                                 9-C1                                                                                                                                                                                                                                                                                                                         Cn1c(=O)c2nc[nH]c2n(C)c1=O 1
                                                Tertbutylchlorambucil                                                                                                                                                                                                                                                                                                             CC(C)(C)OC(=O)CCCc1ccc(N(CCCl)CCCl)cc1 1
                                                           bifemelane                                                                                                                                                                                                                                                                                                                CNCCCCOc1ccccc1Cc1ccccc1.[Cl-].[H+] 1
                                                            Halothane                                                                                                                                                                                                                                                                                                                                    FC(F)(F)C(Cl)Br 1
                                                     rolitetracycline                                                                                                                                                                                                                                                CN(C)[C@@H]1C(=O)/C(=C(/O)NCN2CCCC2)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12 1
                                              hydrocortisone-valerate                                                                                                                                                                                                                                                                                      CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COC(=O)CCC1CCCC1 1
                                           Mono-hydroxylated-L-663581                                                                                                                                                                                                                                                                                                   CN1Cc2c(-c3noc(C(C)(C)O)n3)ncn2-c2cccc(Cl)c2C1=O 0
                                                             quazepam                                                                                                                                                                                                                                                                                                       Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21 1
                                                            Tiotidine                                                                                                                                                                                                                                                                                                                    CN=C(NC#N)NCCSCc1csc(N=C(N)N)n1 1
                                                              estrone                                                                                                                                                                                                                                                                                                   C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O 0
                                                         petrichloral                                                                                                                                                                                                                                                                          OC(OCC(COC(O)C(Cl)(Cl)Cl)(COC(O)C(Cl)(Cl)Cl)COC(O)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl 1
                                                   diacetylnalorphine                                                                                                                                                                                                                                                                                                C=CCN1CCC23c4c5ccc(OC(C)=O)c4OC2C(OC(C)=O)C=CC3C1C5 1
                                                         fenoxazoline                                                                                                                                                                                                                                                                                                                            CC(C)c1ccccc1OCC1=NCCN1 0
                                                        triclacetamol                                                                                                                                                                                                                                                                                                                       O=C(Nc1ccc(O)cc1)C(Cl)(Cl)Cl 1
                                                         tienocarbine                                                                                                                                                                                                                                                                                                                  Cc1csc2ccc3[nH]c4c(c3c12)CN(C)CC4 1
                                                       imipraminoxide                                                                                                                                                                                                                                                                                                             C[N+](C)([O-])CCCN1c2ccccc2CCc2ccccc21 1
                                                         metralindole                                                                                                                                                                                                                                                                                                                   COc1ccc2c(c1)c1c3n2CCN(C)C3=NCC1 1
