CHEMBL1831214                                                                                                                                                                                                                                                NC(=O)Nc1cc(-c2ccccc2)sc1C(N)=O 1.0
 CHEMBL235851                                                                                                                                                                                                                                           COc1cc2ncnc(Nc3ccc(Cl)c(O)c3)c2cc1OC 1.0
 CHEMBL255130                                                                                                                                                                                                                                                COc1ccc(/C=C2\SC(=S)NC2=O)cc1OC 1.0
   CHEMBL1483                                                                                                                                                                                                                                                 CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1 1.0
 CHEMBL403813                                                                                                                                                                                                                                 N#Cc1cc(CN2CCC2)cnc1-c1ccc(C(=O)Nc2ccccc2N)cc1 1.0
   CHEMBL1294                                                                                                                                                                                                                        C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12 1.0
CHEMBL1957850                                                                                                                                                                                                                                          Cc1ccccc1Cn1ccn2c(=O)cc(N3CCOCC3)nc12 1.0
    CHEMBL914                                                                                                                                                                                                                 CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1 0.0
CHEMBL1682965                                                                                                                                                                                                              CC[C@H](NC(=O)c1c([S+](C)[O-])c(-c2ccccc2)nc2cc(Br)ccc12)c1ccccc1 1.0
CHEMBL1180237                                                                                                                                                                                                                              CCC(c1cccnc1)n1[nH]c(=O)c2nc3cc(Cl)ccc3c(O)c2c1=O 0.0
CHEMBL1359777                                                                                                                                                                                                                               Cc1cc(C(=O)Cn2cc(C(F)(F)F)ccc2=O)c(C)n1Cc1ccccc1 1.0
    CHEMBL607                                                                                                                                                                                                                                                  CCOC(=O)C1(c2ccccc2)CCN(C)CC1 1.0
CHEMBL1807826                                                                                                                                                                                                                  O=c1[nH]c2c(O)ccc([C@@H](O)CNCCSCCCNCCc3cccc(C(F)(F)F)c3)c2s1 1.0
  CHEMBL98760                                                                                                                                                                                                                             CC(C)NC(=O)c1ccc2c(Nc3ccc(Cl)cc3)nc(N3CCOCC3)nc2c1 1.0
 CHEMBL470915                                                                                                                                                                                                                                         N#Cc1nc(NC2CC3CCC2C3)c(N)c(N2CCOCC2)n1 1.0
 CHEMBL480825                                                                                                                                                                                                                                      COc1cc2ncc(C(N)=O)c(Nc3cc(F)ccc3F)c2cc1OC 1.0
CHEMBL1580660                                                                                                                                                                                                                                    O=S(=O)(Nc1nc(-c2sccc2Cl)cs1)c1cc(Cl)ccc1Cl 1.0
 CHEMBL514690                                                                                                                                                                                                                                  Cc1ncc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)n1C(C)C 1.0
  CHEMBL12980                                                                                                                                                                                                                                       O=C(OC1CN2CCC1CC2)C(O)(c1ccccc1)c1ccccc1 1.0
 CHEMBL473622                                                                                                                                                                                                                        COc1cncc(NC(=O)c2cc(NC(=O)c3cccc(C(C)(C)C#N)c3)ccc2C)c1 1.0
 CHEMBL598194                                                                                                                                                                                                                               NC1(C(=O)NCc2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1 1.0
 CHEMBL388335                                                                                                                                                                                                                             O=c1[nH]n(Cc2ccoc2)c(=O)c2c(=O)c3ccc(Cl)cc3[nH]c12 0.0
CHEMBL1081772                                                                                                                                                                                                                          CC(=O)N(c1ccccc1)C1CC(C)N(S(=O)(=O)c2ccccc2)c2ccccc21 1.0
CHEMBL1478592                                                                                                                                                                                                                                              Cc1c(C(=O)Nc2ccccc2)sc2ncnc(O)c12 1.0
 CHEMBL467148                                                                                                                                                                                                       Cn1cc(S(C)(=O)=O)nc1-c1c2c(=O)n(C)c(=O)n(CC3CC3)c2nn1Cc1ccnc2ccc(Cl)cc12 1.0
 CHEMBL114868                                                                                                                                                                                                 CC(=O)Nc1cccc(S(=O)(=O)Nc2ccc(-c3ccccc3)n(CC(=O)NC(C(=O)C(F)(F)F)C(C)C)c2=O)c1 1.0
 CHEMBL515001                                                                                                                                                                                                                                 Cc1ncc(-c2nc(Nc3ccc(N4CCOCC4)cc3)ncc2F)n1C(C)C 1.0
CHEMBL2326624                                                                                                                                                                                                          COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CNC(=O)[C@@H]2COCCN2)c1 1.0
CHEMBL1934418                                                                                                                                                                                                               Cc1ccc(S(=O)(=O)Nc2c(C(=O)N[C@@H](C)C(C)(C)C)c(C)nn2C2CCSCC2)cc1 1.0
  CHEMBL99408                                                                                                                                                                                                                                                                Nc1ccc2ncccc2c1 1.0
 CHEMBL426658                                                                                                                                                                                                                                          Clc1cccc(-c2cnc3ccc(NC4CCOCC4)nn23)c1 1.0
CHEMBL1258188                                                                                                                                                                                                                                           COc1ccc(-c2c(C)c3ccc(OC)cc3oc2=O)cc1 1.0
CHEMBL1934423                                                                                                                                                                                                                Cc1ccc(S(=O)(=O)Nc2c(C(=O)N[C@@H](C)C(C)(C)C)c(C)nn2C2CCOC2)cc1 0.0
CHEMBL1917439                                                                                                                                                                                                                                Cc1c(Sc2ccc(Cl)cc2)c2cc(-c3ccccc3)ccc2n1CC(=O)O 1.0
 CHEMBL335550                                                                                                                                                                                                                  O=C1CCC(=O)N1C(CCc1ccncc1)COc1ccc(-c2cccc([N+](=O)[O-])c2)cc1 1.0
 CHEMBL455429                                                                                                                                                                                                                                Cc1ncc(-c2nc(Nc3ccc(C(N)=O)c(F)c3)ncc2F)n1C(C)C 1.0
CHEMBL1824039                                                                                                                                                                                                                  O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccc(OC(F)(F)F)cc54)CC3)nc2N1 1.0
CHEMBL1682830                                                                                                                                                                                                                                                   CCN1CCOc2cc(COc3ccccc3)cnc21 1.0
CHEMBL1736763                                                                                                                                                                                                                                           N#Cc1cnn(-c2ccccc2)c1NC(=O)CN1CCOCC1 0.0
CHEMBL2158827                                                                                                                                                                                                                        O=C(O)Cc1ccc(N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1 1.0
 CHEMBL404422                                                                                                                                                                                                                                                     CCCCC1(CC)C(=O)NC(=O)NC1=O 1.0
    CHEMBL429                                                                                                                                                                                                                                        CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1 1.0
 CHEMBL459353                                                                                                                                                                                                                 COc1ccc(N(C(=O)c2occc2CO)C(C(=O)NC[C@@H](C)O)c2ccccc2F)c(OC)c1 1.0
     CHEMBL95                                                                                                                                                                                                                                                        Nc1c2c(nc3ccccc13)CCCC2 0.0
 CHEMBL451286                                                                                                                                                                                                                                                   C[C@@](N)(Cc1ccccc1)c1ccccc1 1.0
 CHEMBL462385                                                                                                                                                                                                                         Cc1ncc(-c2nc(Nc3ccc(C(=O)NCCN(C)C)c(F)c3)ncc2F)n1C(C)C 1.0
 CHEMBL350563                                                                                                                                                                                                               CCO/N=C(\c1ccc(Br)cc1)C1CCN(C2(C)CCN(C(=O)c3c(Cl)cncc3Cl)CC2)CC1 1.0
  CHEMBL61593                                                                                                                                                                                                                               NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O 1.0
  CHEMBL17157                                                                                                                                                                                                                      CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1 1.0
CHEMBL1807850                                                                                                                                                                                                         C[C@H]1O[C@@H](n2cnc3c(N)nc(O[C@H]4CC[C@H](C)CC4)nc32)[C@H](O)[C@@H]1O 1.0
CHEMBL1923430                                                                                                                                                                                                                              Cc1ccc(C(=O)NC2CCN(c3cc(C(N)=O)cc(Cl)n3)CC2)[nH]1 1.0
 CHEMBL134194                                                                                                                                                                                                                                       Nc1cccc(C(=O)NCC23CC4CC(CC(C4)C2)C3)c1Cl 1.0
CHEMBL1425658                                                                                                                                                                                                                                      c1csc(Cn2nnnc2CN2CCN(c3nc4ccccc4s3)CC2)c1 1.0
CHEMBL1689124                                                                                                                                                                                                                        CCC[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1S(=O)(=O)c1ccccc1 1.0
  CHEMBL53366                                                                                                                                                                                                                                          Cc1nccn1CCC(C(N)=O)(c1ccccc1)c1ccccc1 1.0
CHEMBL1631468                                                                                                                                                                                                                                            CCCNC(=O)c1nnc2c(-c3ncccn3)cccc2c1N 1.0
CHEMBL2153175                                                                                                                                                                                                                                                  CCCSc1ncccc1C(=O)N(C)C1CCCCC1 1.0
  CHEMBL84597                                                                                                                                                                                                                                 CC(C)n1c(=O)n(C)c(=O)c2cn(Cc3cccc4ccccc34)cc21 1.0
CHEMBL1709618                                                                                                                                                                                                                                     COc1ccc(C(CNC(=O)Nc2ccccc2)N2CCN(C)CC2)cc1 1.0
CHEMBL2207805                                                                                                                                                                                                               O=C(NCc1ccco1)c1ccc2[nH]c(COc3ccc(C45CC6CC(CC(C6)C4)C5)cc3)nc2c1 1.0
 CHEMBL471584                                                                                                                                                                                                                                            N#Cc1nc(NC2CCCCC2)c(N)c(N2CCOCC2)n1 1.0
 CHEMBL138649                                                                                                                                                                                                                                                 O=c1cc(-c2ccccc2)oc2ccc(O)cc12 1.0
  CHEMBL56802                                                                                                                                                                                                                                               COc1cc2ncnc(Nc3cccc(C)c3)c2cc1OC 1.0
 CHEMBL272282                                                                                                                                                                                                                                         Cn1c(=N)n(CC(=O)c2ccc(Cl)cc2)c2ccccc21 1.0
 CHEMBL605846                                                                                                                                                                                                                            COc1ccc(CC(C)(C)NC[C@H](O)c2cc(O)cc3c2OCC(=O)N3)cc1 0.0
 CHEMBL452530                                                                                                                                                                                                                                   NC(=O)Nc1sc(-c2ccc(OCCN3CCCCC3)cc2)cc1C(N)=O 1.0
   CHEMBL1175                                                                                                                                                                                                                                              CNCC[C@H](Oc1cccc2ccccc12)c1cccs1 1.0
CHEMBL2062578                                                                                                                                                                                                                                   N#Cc1cnn2c(NC3CC3)cc(-n3ccc4ccc(CO)cc43)nc12 1.0
  CHEMBL51478                                                                                                                                                                                                                                                 COc1ccnc(CSc2nc3ccccc3[nH]2)c1 1.0
CHEMBL1950722                                                                                                                                                                                                                  CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCN(CCc2ccccc2)C1)C1CCCCC1 1.0
CHEMBL2165067                                                                                                                                                                                                          COc1ccc2ncc(=O)n(CCN3CC[C@@H](NCc4ccc5c(n4)NC(=O)CO5)[C@@H](F)C3)c2c1 0.0
CHEMBL2158816                                                                                                                                                                                                                        O=C(O)C(c1ccccc1)N1CCCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)C1 1.0
CHEMBL1241590                                                                                                                                                                                                                           CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl)cc1 0.0
    CHEMBL564                                                                                                                                                                                                                                                   CN(C)CCCN1c2ccccc2Sc2ccccc21 1.0
 CHEMBL324983                                                                                                                                                                                                            CC(C)C(NC(=O)Cn1c(-c2ccccc2)ccc(NC(=O)NCc2cccnc2)c1=O)C(=O)C(F)(F)F 1.0
 CHEMBL256117                                                                                                                                                                                                                                   Nc1ccccc1NC(=O)c1ccc(-c2ncc(CN3CCCCC3)s2)cc1 1.0
CHEMBL2179270                                                                                                                                                                                                     Cc1cn([C@H]2CCCN([C@@H](C)c3ccc(C(=O)O)c(Oc4cccc(Cl)c4)c3)C2)c(=O)[nH]c1=O 0.0
 CHEMBL587723                                                                                                                                                                                                                    CCN1CCN(Cc2ccc(-c3cc4c(N[C@H](C)c5ccccc5)ncnc4[nH]3)cc2)CC1 1.0
 CHEMBL273235                                                                                                                                                                                                                                        Fc1ccc(-n2cc(C3CCNCC3)c3cc(Cl)ccc32)cc1 1.0
  CHEMBL59956                                                                                                                                                                                                                                                       NC(=O)c1ccccc1OCc1ccccc1 1.0
CHEMBL2325642                                                                                                                                                                                                                     O=S(=O)(Nc1ncns1)c1cc(F)c(Oc2ccc(Cl)cc2-c2ccnn2C2CNC2)cc1F 0.0
 CHEMBL214350                                                                                                                                                                                                                          Cc1ccc2c(c1)c(-c1ccnc3c(C(F)(F)F)cccc13)c(C)n2CC(=O)O 1.0
CHEMBL2140153                                                                                                                                                                                                                                                    O=c1oc(-c2ccccc2)cc2ccccc12 1.0
 CHEMBL592956                                                                                                                                                                                                                                         Cn1c(-c2ccccc2)cc2onc(-c3ccncc3)c2c1=O 1.0
    CHEMBL515                                                                                                                                                                                                                                                 O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1 1.0
  CHEMBL13902                                                                                                                                                                                                   COC(Cn1c(=O)[nH]c2c(=O)n(CC(=O)NC(C(=O)C(F)(F)F)C(C)C)c(-c3ccccc3)cc2c1=O)OC 1.0
 CHEMBL562690                                                                                                                                                                                                                               O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(OC2CCNCC2)ncc1Cl 1.0
CHEMBL1762533                                                                                                                                                                                                                        COc1ccnc(N(C)c2ccnc(Nc3cc(N4CCOCC4)cc(N4CCOCC4)c3)n2)c1 1.0
CHEMBL1824036                                                                                                                                                                                                             CS(=O)(=O)c1ccc2c(c1)N(CCN1CCC(NCc3ccc4c(n3)NC(=O)CO4)CC1)C(=O)CO2 0.0
CHEMBL2069929                                                                                                                                                                                                                                     c1cncc(-c2ccc(-c3nnc(C4CN5CCC4CC5)o3)o2)c1 1.0
CHEMBL1715438                                                                                                                                                                                                                                             CN(C)C(=O)N1CCC(C(=O)NCc2cccs2)CC1 1.0
CHEMBL2158834                                                                                                                                                                                                                           O=C(O)c1cccnc1N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1 1.0
 CHEMBL376813                                                                                                                                                                                                         COc1cc(N2CC[C@@H](N(C)C)C2)c2[nH]c(C(=O)Nc3ccc(N4CCOCC4)cc3)cc(=O)c2c1 1.0
CHEMBL1223246                                                                                                                                                                                                                          Cc1cc2n[nH]c(=O)n2c2cc(-c3ccc(C(=O)N4CCOCC4)cc3)ccc12 1.0
CHEMBL1682822                                                                                                                                                                                                                                                   O=C1CCOc2nc(C#CC3CCCC3)ccc21 1.0
    CHEMBL571                                                                                                                                                                                                                                              CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1 0.0
CHEMBL1896037                                                                                                                                                                                                                                           O=C(c1ccccc1)C(O)(CN1CCCCC1)c1ccccc1 1.0
CHEMBL1916274                                                                                                                                                                                                                       Cc1ccc(S(=O)(=O)Nc2c(C(=O)NC3CCCCC3)c(C)nn2-c2ccccc2)cc1 1.0
CHEMBL2336318                                                                                                                                                                                                                        COc1ccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(-n4ccnc4)nc3n2)cc1CO 1.0
CHEMBL2170992                                                                                                                                                                                                     CC(C)c1ccc(NC(=O)NCCCSC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)cc1 1.0
CHEMBL1201256                                                                                                                                                                                                                                    COc1cc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc(OC)c1OC 0.0
CHEMBL1762551                                                                                                                                                                                                                       Cc1ccc(CO)cc1N(C)c1ccnc(Nc2cc(N3CCOCC3)nc(N3CCOCC3)n2)n1 1.0
CHEMBL2158819                                                                                                                                                                                                                        O=C(O)C(c1ccccc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1 1.0
CHEMBL1778630                                                                                                                                                                                                                                   O=C(O)COc1ccc(C(F)(F)F)cc1-c1ccccc1-c1ccccc1 1.0
  CHEMBL25539                                                                                                                                                                                                                                                             CCC(CO)NCCNC(CC)CO 0.0
  CHEMBL99737                                                                                                                                                                                                                                   Nc1cccc(NC(=O)c2ccc(CNC(=O)OCc3cccnc3)cc2)c1 1.0
CHEMBL1824035                                                                                                                                                                                                         CN(C)S(=O)(=O)c1ccc2c(c1)N(CCN1CCC(NCc3ccc4c(n3)NC(=O)CO4)CC1)C(=O)CO2 0.0
 CHEMBL454648                                                                                                                                                                                                                            Cc1ncc(-c2nc(Nc3ccc(C(=O)N(C)C)c(F)c3)ncc2F)n1C(C)C 1.0
CHEMBL1824029                                                                                                                                                                                                                  CC(O)c1ccc2c(c1)N(CCN1CCC(NCc3ccc4c(n3)NC(=O)CO4)CC1)C(=O)CO2 0.0
 CHEMBL482192                                                                                                                                                                                                                                      COc1cc2ncc(C(N)=O)c(Nc3cccc(F)c3F)c2cc1OC 1.0
 CHEMBL325226                                                                                                                                                                                                                                      Cc1c(NC(=O)N2CCOCC2)ccc2c1c1ccccc1n2C(C)C 1.0
 CHEMBL260488                                                                                                                                                                                                                                                 CCOC(=O)c1cc(O)c(-c2ccccc2)nn1 0.0
 CHEMBL430854                                                                                                                                                                                                                                 CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccc(Cl)cc3)n2)cc1 1.0
  CHEMBL57759                                                                                                                                                                                                                                     COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN(C)C 1.0
CHEMBL1223528                                                                                                                                                                                                                                       Cc1cc2n[nH]c(=O)n2c2cc(-c3cn[nH]c3)ccc12 1.0
  CHEMBL87785                                                                                                                                                                                                   Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2[C@H](C)CNCCc2ccncc2)c1 1.0
    CHEMBL807                                                                                                                                                                                                                                                    CC12CC3CC(C)(C1)CC(N)(C3)C2 0.0
CHEMBL1477550                                                                                                                                                                                                                                                    O=C(Nc1ccccc1)c1cc2ccccc2o1 1.0
 CHEMBL303714                                                                                                                                                                                                                                                             NCc1nc2ccccc2[nH]1 0.0
CHEMBL2163586                                                                                                                                                                                                         N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCc3[nH]c4c(C(F)(F)F)cccc4c3C2)CC1 1.0
CHEMBL2165058                                                                                                                                                                                                               CO[C@H]1CN(CCn2c(=O)ccc3ccc(C#N)cc32)CC[C@@H]1NCc1cc2c(cn1)OCCO2 1.0
CHEMBL2207662                                                                                                                                                                                                            O=C(NC[C@@H](O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1)c1c[nH]c(=O)cc1C(F)(F)F 1.0
CHEMBL2062565                                                                                                                                                                                                                              CC(=O)Nc1cnc2ccn(-c3cc(NC4CC4)n4ncc(C#N)c4n3)c2c1 1.0
CHEMBL1487890                                                                                                                                                                                                                               COc1cc(-c2nnc(S)n2-c2cccc(C(F)(F)F)c2)cc(OC)c1OC 1.0
CHEMBL1682947                                                                                                                                                                                                               CC[C@H](NC(=O)c1c([S+](C)[O-])c(-c2cccc(F)c2)nc2ccccc12)c1ccccc1 1.0
CHEMBL1169388                                                                                                                                                                                                                                         CNCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1 1.0
 CHEMBL236859                                                                                                                                                                                                                                 Cc1sc(CN2CCNCC2)cc1C(=O)NCC12CC3CC(CC(C3)C1)C2 1.0
 CHEMBL108200                                                                                                                                                                                                                         COc1cccc(C(COCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)N2CCNCC2)c1 1.0
CHEMBL1916083                                                                                                                                                                                                                                 CNC(=O)c1cnn(-c2ccccc2)c1NS(=O)(=O)c1ccc(C)cc1 0.0
CHEMBL2326690                                                                                                                                                                                                                                                      C1=CCC(c2cc3ccccc3o2)CNC1 1.0
CHEMBL2024676                                                                                                                                                                                                                      CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3ccc(Cl)c(Cl)c3)CC2)CC1 1.0
CHEMBL1946019                                                                                                                                                                                                                 CCN(C)C(=O)c1ccc(C(=C2CCN(Cc3ccc(F)cc3)CC2)c2ccccc2NC(C)=O)cc1 1.0
  CHEMBL17860                                                                                                                                                                                                                                                    CC(Oc1c(Cl)cccc1Cl)C1=NCCN1 0.0
    CHEMBL897                                                                                                                                                                                                                                             CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1 0.0
CHEMBL2036587                                                                                                                                                                                                                                     O=C(Nc1ccc(N2CCOCC2)nc1)c1nnc(Nc2ccccc2)o1 1.0
 CHEMBL481717                                                                                                                                                                                                                            CCOc1cc2ncc(C(N)=O)c(Nc3ccc(F)cc3F)c2cc1N1CCC(O)CC1 1.0
CHEMBL1951181                                                                                                                                                                                                                         COc1cc(OC)c(S(=O)(=O)NCc2ccccc2N2CCC(CO)CC2)cc1NC(C)=O 1.0
CHEMBL2036778                                                                                                                                                                                                                         CCN1CCC[C@@H](C(=O)N2CCN(C(=O)Nc3ccc(Cl)c(Cl)c3)CC2)C1 1.0
CHEMBL2336320                                                                                                                                                                                                              COc1ccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)cc1C(N)=O 1.0
CHEMBL2094588                                                                                                                                                                                                                                          O=C(CN1C2=NCCN2c2ccccc21)c1ccc(Cl)cc1 1.0
 CHEMBL477567                                                                                                                                                                                                                      Cc1ncc(-c2ccnc(Nc3ccc(N4CCN(S(C)(=O)=O)CC4)cc3)n2)n1C(C)C 1.0
CHEMBL2158774                                                                                                                                                                                                               Cc1ccc(C[C@@H](C(=O)O)N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1 1.0
CHEMBL2179280                                                                                                                                                                                               CCC(CC)C[C@H](c1ccc(C(=O)O)c(Oc2cccc(Cl)c2)c1)N1CCC[C@H](n2cc(C)c(=O)[nH]c2=O)C1 1.0
 CHEMBL260091                                                                                                                                                                                                                 C[C@@H](O)[C@H](NC(=O)c1ccc(C#Cc2ccc(CN3CCOCC3)cc2)cc1)C(=O)NO 1.0
CHEMBL2069623                                                                                                                                                                                                                                         Nc1ncnc2c1c(COc1cccc(Cl)c1)nn2C1CCOCC1 1.0
CHEMBL1789941                                                                                                                                                                                                                                   N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1 1.0
CHEMBL2107486                                                                                                                                                                                            C[C@@H](O)[C@H]1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(SC3CN(C4=NCCS4)C3)[C@H](C)[C@H]12 1.0
    CHEMBL643                                                                                                                                                                                                                                                 CC(CN1c2ccccc2Sc2ccccc21)N(C)C 1.0
CHEMBL1199987                                                                                                                                                                                                                                    Nc1ncc(-c2cnn(C3CCOCC3)c2)cc1-c1nc2ccccc2o1 1.0
CHEMBL2170975                                                                                                                                                                                                            CC(C)(C)OC(=O)NCCCSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O 1.0
 CHEMBL191802                                                                                                                                                                                                                                  CSc1ccc(OCc2ccccc2)c(/C=C/c2ccc(C(=O)O)cn2)c1 1.0
 CHEMBL495841                                                                                                                                                                                                                                  N#Cc1ccc(-c2ccc(S(=O)(=O)Nc3cccc(N)n3)cc2)cc1 1.0
CHEMBL1429296                                                                                                                                                                                                                                  COc1ccccc1CN1C(=O)c2ccccc2C1C(=O)NC1CCC(C)CC1 1.0
CHEMBL1903477                                                                                                                                                                                                                                            NC(=O)c1ccc(=O)n(Cc2ccc(F)c(F)c2)c1 1.0
 CHEMBL339851                                                                                                                                                                                                                                 O=C(O)c1cc2cc(C(F)(F)F)ccc2n1Cc1ccc(Cl)c(Cl)c1 1.0
CHEMBL2071098                                                                                                                                                                                                            CC1(C)COCc2sc(N3CCN(C(=O)[C@@H]4CCCC[C@H]4C(=O)NC4(C#N)CC4)CC3)nc21 1.0
  CHEMBL93484                                                                                                                                                                                                                                                  CC1N=C(N)N=C(N)N1c1ccc(Cl)cc1 0.0
