Drug 1863                                                                                                c1ccc(C2OC2c2ccccc2)cc1 0
Drug 4412                                                                                                   C=C(C)C1CCC2(C)OC2C1 0
   Drug 4                                                                                              [N-]=[N+]=C1C=NC(=O)NC1=O 1
Drug 2603                                                                                                         O=C1CCC(=O)N1O 0
Drug 5729                                                                                                         C=Cc1ccc(N)cc1 1
Drug 1846                                                                                                  CC(=O)Oc1cccc2cccnc12 0
Drug 2676                                                                                                           OCC(O)C(O)CO 0
Drug 1579                                                                      Nc1ccc(-c2ccc([N+](=O)[O-])cc2N)c([N+](=O)[O-])c1 1
Drug 5650                                                                                     c1ccc2c3c(ccc2c1)-c1cccc2cccc-3c12 1
Drug 2619                                                                                                    C=CC(=O)OC[C@H]1CO1 1
Drug 2251                                                                                                         CNC(=O)N(C)N=O 1
Drug 7002                                                                                     CC12C=CC3=C4CCC(=O)CC4=CCC3C1CCC2O 0
Drug 6408                                                                                                  Clc1cccc2c1oc1ccccc12 0
Drug 6349                                                                                                  Nc1nc(NO)c2[nH]cnc2n1 1
Drug 3249                                                                                                        Cc1ccc(N)c(O)c1 1
Drug 6526                                                                                                  CC(=O)Oc1ccccc1C(=O)O 0
 Drug 589                                                                                                         O=C(Cl)C(Cl)Cl 1
 Drug 933                                                                                 O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=N[C@@H]1O 0
Drug 2628                                                                       CCn1cc(C(=O)O)c(=O)c2cc(F)c(-c3ccc(O)cc3)c(F)c21 1
Drug 4282                                                                       O=[N+]([O-])c1ccc2c(c1)cc([N+](=O)[O-])c1ccccc12 1
  Drug 36                                                                               O=[N+]([O-])c1ccc2c(c1)-c1cccc3cccc-2c13 1
Drug 5725                                                                                              c1ccc2c(c1)CCC1CCCC3OC213 0
Drug 2361                                                                              COc1cc2c3c(c1O)-c1cc4c(cc1CC3N(C)CC2)OCO4 0
Drug 2726                                           CSCC(NC(=O)COc1cccc2cnccc12)C(=O)NC(Cc1ccccc1)C(O)C(=O)N1CSCC1C(=O)NC(C)(C)C 0
Drug 6900                                                                                                 CC(O)CN(C)c1ccc(NN)nn1 1
Drug 4864                                                                                         O=C/C=C/c1ccc([N+](=O)[O-])cc1 1
Drug 4740                                                                                                       CCN(N=O)c1ccccc1 0
Drug 1965                                                                                           c1ccc2c(c1)ccc1c3ccccc3ccc21 1
Drug 2973                                                                                       O=[N+]([O-])c1ccc2cc3ccccc3cc2c1 1
Drug 2616                                                                                              NC(=O)N(c1ccccc1)c1ccccc1 0
Drug 5762                                                                                                   O=C1C=CC(=O)C(Cl)=C1 0
Drug 3843                                                                                                  O=C(O)/C=C/C=C/C(=O)O 0
 Drug 769                                                                                            O=NN1C[C@@H](Cl)[C@H](Cl)C1 1
Drug 3927                                                                                O=C(Nc1ccc(Br)cc1)c1csc([N+](=O)[O-])c1 1
 Drug 817                                          COc1cc(/C=C/C(=O)OC2CCC34CC35CCC3(C)C(C(C)CCC=C(C)C)CCC3(C)C5CCC4C2(C)C)ccc1O 0
Drug 4389                                                                             O=C(O)CC(NC(=O)COc1cc(Cl)c(Cl)cc1Cl)C(=O)O 0
 Drug 886                                                                                     Nc1ccc(Nc2ccc([N+](=O)[O-])cc2)cc1 1
Drug 7064                                                                                                        CC=C1CC2C=CC1C2 0
 Drug 312                                                         Nc1ncnc2c1nc(-c1ccc([N+](=O)[O-])cc1)n2-c1ccc([N+](=O)[O-])cc1 1
Drug 3109                                                                                        N#CCCC(=O)/C=C/c1ccc(C(=O)O)cc1 0
 Drug 635                                                                                    CCC(CCCC(=O)O)COC(=O)c1ccccc1C(=O)O 0
 Drug 253                                                                                  CCCCCCCCc1ccc(Nc2ccc(CCCCCCCC)cc2)cc1 0
Drug 7587                                                                                                       CCCCCCCCCCCCOCCO 0
Drug 6959                                                                                                   OCC(O)c1oc(O)c(O)c1O 0
 Drug 153                                                                      CCCC(=O)/N=c1\sn(C(=O)CCC)c2ccc([N+](=O)[O-])cc12 1
Drug 5950                                                                                                      O=Cc1cccc2cccnc12 1
Drug 5235                                                                     OC[C@H]1O[C@@H](n2cnc3c(NO)ncnc32)[C@H](O)[C@@H]1O 1
Drug 5643                                                                                              CCC(=O)n1ncc(Cl)c(Cl)c1=O 0
Drug 6317                                                                                    C1CCC2OCCOCCOC3CCCCC3OCCOCCOCCOC2C1 0
Drug 4065                                                                                      O=[N+]([O-])c1ccc(S(=O)(=O)Cl)cc1 1
Drug 1810                         O=C(O)c1cc(N=Nc2ccc(-c3ccc(N=Nc4ccc(N=Nc5ccc(O)c(C(=O)O)c5)c5cc(S(=O)(=O)O)ccc45)cc3)cc2)ccc1O 1
Drug 1441                                                                                                    CC(C)CCOC(=O)CC(C)C 0
Drug 4052                                                                                                   CC(=O)Nc1snc2ccccc12 1
 Drug 149                                                                                                    ClC(Cl)(Cl)c1ccccc1 1
 Drug 467                                                                            C=CC[C@]1([C@H](C)C#CCC)C(=O)NC(=O)N(C)C1=O 0
 Drug 964                                                                                                                CC(C)=O 0
Drug 4310                                                                                        Cc1ccc(NCC2(O)OCC(O)C(O)C2O)cc1 0
Drug 6920                                                                                                             OCC(Br)CBr 1
Drug 5184                                                                                                      O=P(O)(O)OCC(O)CO 0
 Drug 289                                                                                 CCCCON(OC(C)=O)C(=O)c1ccc(C(C)(C)C)cc1 1
Drug 6714                                                                                 c1ccc2c(c1)-c1cc3ccc4ccccc4c3cc1C1OC21 1
Drug 1435                                                          CC(C)(C)c1cc(Cc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O 0
Drug 2801                                                                                                   CC(C)(C)[N+](=O)[O-] 0
Drug 4047                                                             Cc1cn([C@@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O 1
Drug 2780                                                                                                 S=P(N1CC1)(N1CC1)N1CC1 1
Drug 2072                                                                                            CC(C)OC(=O)COc1ccc(Cl)cc1Cl 0
Drug 4996                                                                                                         O=NN(CCO)CCCCO 1
Drug 7149                                                                           CC1CC2OC3C(O)C(O)C(C)(C34CO4)C2(CO)C(=O)C1=O 0
Drug 2207                                                              C=C1/C(=C/C=C2\CCCC3(C)C2CCC3C(C)/C=C/C(O)C2CC2)CC(O)CC1O 0
Drug 4756                                                                                                  NC(=O)N(CCCC(=O)O)N=O 1
Drug 1252                                                                               O[C@@H]1C=Cc2c(ccc3cc4ccccc4cc23)[C@H]1O 1
Drug 4353                                                                                 O=C1C=C2c3cc4ccccc4cc3-c3cccc(c32)C1=O 1
Drug 4942                                                                                                     Clc1cc(Cl)nc(Cl)n1 0
Drug 4499                                                                                                 CC1(O)CC2CCC1(C)C2(C)C 0
Drug 3630                                                                                                             Nc1ccccc1N 1
Drug 4264                                                                                                       O=NN(CCO)CC(=O)O 1
Drug 2209                                                                                     CC(C)[C@]12CC(=O)[C@@H](C)[C@H]1C2 0
Drug 5058                                                                                    Oc1cccc2c1ccc1[nH]c3ccc4ccccc4c3c12 1
 Drug 590                                                                                     COc1cc(OC)c2c(=O)c3cc(OC)ccc3oc2c1 1
 Drug 891                                                                                                O=Cc1ccccc1[N+](=O)[O-] 1
Drug 5092                                                        CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N(CC(=O)O)C1Cc2ccccc2C1 0
Drug 5798                                                                                         COc1ccc(/C=C/C(=O)c2ccccc2)cc1 0
Drug 1230                                             COc1ccc(C2CC(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3O2)cc1O 0
Drug 6302                                                                                     Oc1cccc2c1ccc1c3c4c(cccc4cc12)C=C3 1
Drug 5832                                                                                                       Oc1ccc2c(c1)OCO2 0
Drug 5997                                                                                  COc1cccc2c1ccc1c(C(=O)O)cc3c(c12)OCO3 1
Drug 7175                                                                                Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1 0
Drug 4298                                                                                CC(C)(C)c1cc(-c2ccccc2)ccc1[N+](=O)[O-] 0
Drug 4071                                                                                                         C[C@@H](Cl)CCl 1
Drug 5173                                                                                      CCCCCC[C@H](O)C/C=C\CCCCCCCC(=O)O 0
 Drug 141                                                           C#C[C@]1(O)CC[C@@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C 0
Drug 1475                                                                                         COP(=O)(OC)[C@H](O)C(Cl)(Cl)Cl 1
Drug 2849                                                                                                       Clc1ccc2ccccc2c1 0
Drug 5854                                                                                                      O=C(Cl)c1ccccc1Cl 1
Drug 1842                                                                                                   COc1cccc(CN(C)N=O)c1 1
Drug 7107                                                                                      CCc1cc(N)cc(C)c1Cc1c(C)cc(N)cc1CC 0
 Drug 411                                                                           C1CCC2OCCOCCOCCOCCOC3CCCCC3OCCOCCOCCOCCOC2C1 0
Drug 5341                                                                                        CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21 0
Drug 6087                                                                                                       O=NN1CC(=O)NC1=O 1
Drug 4845                                                                                CC(=O)C1=C(C(C)(C)C)C(=O)C(C(C)(C)C)=C1 0
Drug 5273                                                                                      Cc1c(C)c2c(N)c3ccccc3nc2c2ccccc12 1
Drug 7390                                                                  CC[N+]([O-])(CC)CCn1nc2c3c(c(CO)ccc31)Sc1cc(Cl)ccc1-2 1
Drug 6352                                                                                                    NC(CS)C(=O)NCC(=O)O 1
Drug 2214                                                                                           [N-]=[N+]=NC(c1ccccc1)C(O)CO 1
 Drug 377                                                                            CC(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(C)=O)cc2)cc1 0
Drug 2473                                                                                   C=C1CC/C=C(/C)CC[C@@H]2[C@H]1CC2(C)C 0
Drug 4289                                                                                     CCOC(=O)/C=C/c1ccc([N+](=O)[O-])o1 1
 Drug 222                                                                                                      O=C1OCC(CCl)=C1Br 1
Drug 5559                                                                                   CN(C)CCNC(=O)c1cccc2c(N)c3ccccc3nc12 1
Drug 5249                                                                                       CC1(C)CCCC2(C)C(C=O)C(C=O)=CCC12 0
Drug 2348                                                                                               Cc1ccc2c(c1)-c1ccccc1C2C 1
Drug 6939                                                                                              NC(Cc1ccc(O)c(O)c1)C(=O)O 1
Drug 1318                                                                                OC1C=Cc2c(ccc3cc4c(ccc5ccccc54)cc23)C1O 1
Drug 3445                                                                                           NC(=O)c1ccc([N+](=O)[O-])cc1 1
   Drug 9                                                                 CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)OCC4(C)C3CCC21C 0
  Drug 26                                                                                         OCc1cc2c3c(cccc3c1)-c1ccccc1-2 0
Drug 1808                                                                       O=[N+]([O-])c1ccc(Nc2ccc(O)cc2)c([N+](=O)[O-])c1 1
Drug 3239                                                                                                     Fc1cc(F)c2ncccc2c1 1
Drug 2406                                                                                       O=[N+]([O-])c1cc(C(F)(F)F)ccc1Cl 0
Drug 2960                                                                                              O=[N+]([O-])c1ccc(CBr)cc1 1
Drug 2028                                                                                   O=c1ccc2c(cc3ccc4cccc5ccc2c3c45)c1=O 1
  Drug 29                                                                                                        Cc1nc(N)nc(N)n1 0
Drug 3879                                                                                          OC(Nc1snc2ccccc12)C(Cl)(Cl)Cl 0
Drug 7015                                                                                                          CCCCCCCCC1CO1 0
Drug 1332                                                                                 COC(=O)c1cc2c(c3c1ccc1c(OC)cccc13)OCO2 1
Drug 5750                                                                                                  C[C@H]1CN(N=O)CCN1N=O 1
Drug 6007                                                                                         COc1ccc(C(=O)C2OC2c2ccccc2)cc1 0
Drug 1233                                                                                  Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C)c2cc1C 1
 Drug 873                                                                           C[C@H]1CCCC(=O)CCC/C=C\c2cc(O)cc(O)c2C(=O)O1 0
Drug 1705                                                                                 [O-][n+]1cccc2c3c(ccc21)C(O)C(O)C1OC31 0
Drug 5586                                                                                                       CCCCCN(CCCCO)N=O 1
 Drug 546                                                                     CC(=O)Nc1ccc(C)c(N=[N+]([O-])c2cc(NC(C)=O)ccc2C)c1 0
Drug 3486                                                                                             NC(CCCCNCC(N)C(=O)O)C(=O)O 0
 Drug 313                                                                                                            ON=C1CCCCC1 1
Drug 1351                                                          O=S1(=O)OC(c2cc(Br)c(O)c(Br)c2)(c2cc(Br)c(O)c(Br)c2)c2ccccc21 0
Drug 6726                                                                       COC(=O)c1cccc2oc3c4c(cc(OC)c3c(=O)c12)OC1OC=CC41 1
Drug 5568                                                                                    CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21 0
 Drug 948                                                                                                         O=C1C=CC(=O)N1 1
 Drug 158                                                                                                                CCCON=O 1
 Drug 424                                                                                        Nc1nc(=O)n(C2OC(CO)C(O)C2O)cc1O 0
 Drug 600                                                                                                    FC(F)OC(Cl)C(F)(F)F 0
Drug 1526                                                                                                               N#CCCC#N 0
Drug 2514                                                                                                       N#Cc1cccc(C#N)c1 0
Drug 4364                                                               O=[N+]([O-])c1ccc2c3ccccc3c3c([N+](=O)[O-])ccc4ccc1c2c43 1
Drug 4841                                                                                 C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1 0
Drug 4762                                                                                                               NCC(=O)O 0
Drug 1604                                                                      C=C(C)C1CCC(=C)C2C3=C(CC(C)(O)C3=O)C(=O)C(C)=CC12 0
Drug 6968                                                                                                NC1CCC(CC2CCC(N)CC2)CC1 0
Drug 3275                                                                                    ClC(Cl)=Cc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl 0
Drug 6993                                                                                         CCCC(C)(COC(N)=O)COC(=O)NC(C)C 0
Drug 3742                                                            COc1cc(OC)c(Cl)c(-n2c(-c3ccccc3)cc(=O)c(C)c2-c2ccc(F)cc2)c1 0
Drug 2871                                                                                                         FC(Cl)C(F)(F)F 0
Drug 6340                                                                                         CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2 0
Drug 3642                                                                                          CC(=O)Nc1ccc(Cc2ccc(N)cc2)cc1 0
Drug 7021                                                                                                 CCC(C(C)O)=[N+]([O-])O 0
Drug 2334                                                                                Cc1c(NO)cc([N+](=O)[O-])cc1[N+](=O)[O-] 1
Drug 5145                                                                                 CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12 0
Drug 4217                       Nc1cc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)O)cc4)c4ccc(S(=O)(=O)O)cc34)c(S(=O)(=O)O)cc2cc1S(=O)(=O)O 0
  Drug 99                                                                                                     CCCCN(COC(C)=O)N=O 1
Drug 4434                                                                                            CCCCCCCCCCCCCN1CC(C)OC(C)C1 0
Drug 3727                                                                                                       ClCc1ccc(CCl)cc1 0
Drug 1960                                                                                        C[N@+]1([O-])CCC[C@@H]1c1cccnc1 0
 Drug 815                                                                                                Nc1cccc([N+](=O)[O-])c1 1
Drug 2435                                                                                         CC(=O)OCc1ccc([N+](=O)[O-])cc1 1
Drug 3940                                                                                                     Nc1nc2c(Cl)cccc2s1 0
Drug 1159                                                                                              CC(N)(CN=[N+]=[N-])C(=O)O 1
Drug 5459                                                                                               Cc1c2ccccc2c(C)c2ccccc12 1
Drug 3033                                                                             O=C(OC[C@H]1CO1)c1cccc(C(=O)OC[C@H]2CO2)c1 1
Drug 4967                                                                                                   CCCC[C@@H](CC)COCCCN 0
Drug 5039                                                                                                  CC[C@@H](C)[C@H](C)CO 0
Drug 1357                                                                                        Cn1ccc2c3c(ccc4ccc(O)cc43)ccc21 1
Drug 6996                                                                                               CC(=O)C1C(=O)C=C(C)OC1=O 0
Drug 3880                                                                                          CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O 1
 Drug 694                                                                                                NNC(=O)CNc1ccc2ccccc2c1 0
Drug 6094                                                                                Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2 0
Drug 2837                                                                                                                    CCO 0
Drug 2526                                                                                    Nc1nc(NO)c2ncn(C3OC(CO)C(O)C3O)c2n1 1
Drug 6496                                                                           CC1C(=O)OC2CCN3CC=C(COC(=O)C(C)(O)C1(C)O)C23 0
Drug 6903                                                                                                          C1=CC2OC2C=C1 1
Drug 1506                                                                                          Cc1cc([N+](=O)[O-])c2ccccc2c1 1
Drug 1010                                             Nc1c(S(=O)(=O)O)cc(Nc2cccc(S(=O)(=O)CCOS(=O)(=O)O)c2)c2c1C(=O)c1ccccc1C2=O 1
Drug 2894                                                                                              O=C(O)C=C(C(Cl)Cl)C(Cl)Cl 1
Drug 6228                                                                                                       C=C(C#N)C(=O)OCC 0
Drug 1589                                                                          CCCC[C@@H]1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O 1
Drug 2386                                                     CC(=O)OCCN(CCOC(C)=O)c1ccc([N+](=O)[O-])c2c(NCCCN(C)C)c3ccccc3nc12 1
Drug 5913                                                                  C/C=C1\CC(C)C(C)(O)C(=O)OCC2=CC[N+]3(C)CCC(OC1=O)C23O 1
Drug 6212                                                                                      Cc1cccc2cc3ccc4cccc5ccc(c12)c3c45 1
 Drug 830                                                                                           Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl 0
Drug 1000                                                                                                                   CCCC 0
 Drug 893                                                                                  C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C 0
Drug 6770                                                                                NC(CCC(=O)NC(CSN=O)C(=O)NCC(=O)O)C(=O)O 1
Drug 6963                                                                            CC1(C)SC2C(NC(=O)COc3ccccc3)C(=O)N2C1C(=O)O 0
Drug 6386                                                                                                    c1ccc(CN2CCN=N2)cc1 1
Drug 6267                                                                                                O=CN(O)c1ccc(Cl)c(Cl)c1 0
Drug 4168                                                                                                           Cc1ccccc1C=O 0
 Drug 558              CN1C[C@H](C(=O)N[C@@]2(C)O[C@]3(O)[C@H]4CCCN4C(=O)[C@@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@@H]21 0
Drug 5414                                                                                                               C1CCCCC1 0
Drug 6511                                                                                                        CCCCN(CCCCO)N=O 1
Drug 1482                                                                        O=[N+]([O-])c1c2ccccc2cc2c3c(ccc12)C(O)C(O)C=C3 1
 Drug 197                                                                       CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)CN)C(=O)O 0
Drug 4991                                                                                                                   CC=O 0
Drug 3354                                                                                                         NC(=S)NNC(N)=S 0
Drug 4420                                                                                       C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1 0
 Drug 223                                                                                  CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1 0
Drug 2065                                                                                           COC(=O)c1ccc([N+](=O)[O-])o1 1
Drug 7158                                                                                                 CC1C(=O)CC2(C(C)C)CC12 0
Drug 5775                                                                                                             C=C(Br)CCl 1
Drug 4069                                                                               CC1(CO)C(O)CCC2(C)C1CCC1CC3CC12CCC3(O)CO 0
Drug 3415                                                                                               Cc1cc2c(cc1C)-c1ccccc1C2 0
Drug 3735                                                                                       CCCCON(OC(C)=O)C(=O)c1ccc(OC)cc1 1
Drug 1811                                                                       O=[N+]([O-])c1cc(NS(=O)(=O)c2cccc3cccnc23)ccc1Cl 0
 Drug 788                                                                                                            Cn1ccnc1N=O 1
Drug 5389                                                                                          COc1cc(OC)c2c(c1)OC1OC3OC3C21 1
Drug 1293                                                                                            Nc1ccc(S(=O)(=O)O)c2ccccc12 0
Drug 4770                                                                                          O=C1CCc2ccc3c(ccc4ccccc43)c21 1
 Drug 849                                                                                       c1cc2ccc3nc4ccccc4c4ccc(c1)c2c34 1
Drug 7014                                                                   O=S(=O)(O)c1ccc(N=Nc2c(O)ccc3cc(S(=O)(=O)O)ccc23)cc1 0
Drug 2743                                                                                              O=Cc1ccc([N+](=O)[O-])cc1 1
Drug 6155                                                                                                     CCCCN(CCC(C)=O)N=O 1
Drug 1029                                                                                                             CCC1(C)CO1 0
Drug 6400                                                                                            CCc1cccc(CC)c1N(COC)C(=O)CO 0
Drug 3861                                                                       O=[N+]([O-])c1ccc2c3c4c(cccc4c4ccccc4c13)C(O)C2O 1
Drug 5063                                                                                      O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1 0
Drug 3223                                                                             CN(C)c1ccc(/C=C/c2ccc([N+](=O)[O-])cc2)cc1 1
Drug 3672                                                                                            CC1(c2ccc(-c3ccccc3)cc2)CO1 1
Drug 6122                                                                                          Cc1cccc2nc3c(ccc4ccccc43)cc12 1
Drug 4974                                                                        C=C1C(=O)C23CCC4C(C)(C(=O)O)CCCC4(C)C2CCC1(O)C3 1
Drug 5121                                                                        CC(=O)C1=CCC2C3=CCC4=CC(O)C(O)CC4(C)C3CC(O)C12C 0
Drug 3979                                                                                    Cc1ccc(NS(=O)(=O)c2cccc3cccnc23)cc1 0
Drug 2078                                                                                Oc1ccc2c(c1)-c1ccc3ccc4cccc5cc-2c1c3c45 1
Drug 6910                                                                                   OC1C=C2c3ccc4ccccc4c3-c3cccc(c32)C1O 1
Drug 4745                                                                                   CC(=O)OCc1ccc(N=Nc2ccc(N(C)C)cc2)cc1 1
Drug 3431                                                                                                 c1ccc2c(c1)Nc1ccccc1S2 0
Drug 2829                                                                                             Cc1ccc2c3c1ccc1cccc(c13)C2 1
Drug 1818                                                                                             CCCCOC(=O)COc1ccc(Cl)cc1Cl 0
 Drug 418                                                                                                   CC(=O)c1ccc2ccccc2c1 0
Drug 5588                                                                                                 Clc1ccc2cc3ccccc3cc2c1 1
Drug 5470                                                                                                                 C#CCBr 1
Drug 4409                                                                                                         Cc1c(N)cccc1Cl 0
Drug 1725                                                                                                        BrCc1ccc(Br)cc1 0
Drug 1023                                                                                            Oc1cccc2ccc3c4ccccc4ccc3c12 1
Drug 4344                                                                        O=[N+]([O-])c1ccc(-c2nc(N(CCO)CCO)c3ccccc3n2)s1 1
Drug 5675                                                                                                      O=C(O)/C=C\C(=O)O 0
 Drug 477                                                                                            CC1c2cc(F)ccc2-c2ccc(F)cc21 1
Drug 1343                                                                         CN(C)CCCNc1c2ccccc2nc2c(F)ccc([N+](=O)[O-])c12 1
Drug 5150                                                                                                  Fc1cc2cccnc2c2ncccc12 1
Drug 1220                                                                                                          C/C=C\C=C/C=O 1
Drug 1921                                                                                                      CCOc1cccc2cccnc12 0
Drug 3292                                                                               O=[N+]([O-])c1cc2c3c(cccc3c1)-c1ccccc1-2 1
Drug 7103                                                                      COc1cc2c(cc1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43 0
Drug 3417                                                                                 Cc1ccc2c(c1Nc1ccccc1)C(=O)c1ccccc1C2=O 1
Drug 3811                                                                              CCOC[C@@H](O)COc1ccc(NC(=O)CC[S+](C)C)cc1 0
Drug 3414                                                                                        Cn1cnc([N+](=O)[O-])c1-c1ccccc1 0
Drug 3738                                                                            CN(C)CCCNc1c2ccccc2nc2cccc([N+](=O)[O-])c12 1
Drug 6846                                                                              O=c1c2c(O)cccc2oc2c3c(cc(O)c12)OC1OC=CC31 1
Drug 2606                                                                                   C=C[C@@H](OC(C)=O)c1ccc(OC)c2ccccc12 1
 Drug 834                                                                     O=C1c2cc(S(=O)(=O)O)ccc2C(=O)c2c1cccc2[N+](=O)[O-] 1
 Drug 136                                                                                                COc1ccc(O)c(C(C)(C)C)c1 0
 Drug 629                                                                      COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O 0
Drug 2704                                                           O=[N+]([O-])c1cccc2c1c([N+](=O)[O-])cc1cccc([N+](=O)[O-])c12 1
 Drug 856                            Cc1c(C(=O)O)c(O)cc2c1C(=O)c1c(O)c([C@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)c(O)c(O)c1C2=O 1
Drug 1639                                                                                 COC(=O)/C(C#N)=C/c1ccc([N+](=O)[O-])o1 1
Drug 1534                                                                                     COc1cc(N)c2c(c1N)C(=O)c1ccccc1C2=O 1
Drug 1504                                                                                                  O=C(Cl)c1c(Cl)cccc1Cl 1
Drug 3674                                                                                                            CCCCCC(=O)O 0
Drug 1914                                                                                 O=[N+]([O-])c1ccc(CO)c([N+](=O)[O-])c1 1
Drug 1673                                                                             CCN(CC)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2)cc1 1
Drug 1667                                                                                            Cc1cc(Cc2ccc(N)c(C)c2)ccc1N 1
Drug 4917                                                                                                         OC1C=CC2OC2C1O 1
Drug 3990                                                                                             Cc1cc(C)cc([N+](=O)[O-])c1 1
Drug 3822                                                                O=[N+]([O-])c1cc2c(ccc3ccccc32)c2c1C=C[C@@H](O)[C@@H]2O 1
Drug 1909                                                                                            O=C(O)/C(Cl)=C(/CCl)C(Cl)Cl 1
Drug 5881                                                                                                     COc1ccc(CC2CO2)cc1 1
Drug 6972                                                                                         NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O 0
Drug 3359                                                                                             CCCC(=O)Nc1snc2cc(Cl)ccc12 0
Drug 1162                                               C[C@]12CC(C=O)=C(O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@@H]1CC[C@]2(C)O 0
Drug 1011                                                                                                               CC(O)C#N 0
Drug 3051                                                                                              NC(CSC(Cl)=C(Cl)Cl)C(=O)O 1
Drug 1680                                                                                    O=C(O)CNC(=O)c1ccc([N+](=O)[O-])cc1 1
Drug 2394                                                                                                         NC(=O)NNC(N)=O 0
Drug 7330                                                                                   C1=CC2OC2c2cc3ccc4cccc5ccc(c21)c3c45 1
Drug 4589                                                                                               Cc1ccc(N)cc1[N+](=O)[O-] 1
 Drug 757                                                        O=c1ccc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc2o1 0
Drug 3441                                                                                                            OCCN1CCNCC1 0
Drug 3840                                                                                                        CCN=[N+](C)[O-] 0
Drug 2163                                                                              O=Nc1ccc2ccc3ccc([N+](=O)[O-])c4ccc1c2c34 1
Drug 1384                                                                                    CC(=O)Nc1ccc(-c2ccc(NC(C)=O)cc2)cc1 1
Drug 1013                                                                                           OC1c2cccc3ccc4cccc(c4c23)C1O 0
Drug 2685                                                                            CC(=O)ON(OCc1ccc(C(C)(C)C)cc1)C(=O)c1ccccc1 1
Drug 6843                                                                                 C=CCn1cc2c3c(cccc31)C1C=C(CO)CN(C)C1C2 1
Drug 6782                                                                             O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O 1
Drug 2068                                                                                                    CN(Cc1ccc(F)cc1)N=O 1
Drug 4374                                                                                                      CN(C)[N+](=O)[O-] 1
Drug 4124                                                                CCC/C=C/C(=O)OC1C(C)(C)CC2C1(O)C=C(C=O)C13CC21C(=O)OC3O 1
Drug 4651                                                                         COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1 0
Drug 5932                                                                       CCCCCCCCCCCCCCCCCC(=O)NCCNC(=O)CCCCCCCCCCCCCCCCC 0
 Drug 581                                                                                 Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1 0
 Drug 570                                                                             CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCCC 0
Drug 5287                                                                                         CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1 0
Drug 2307                                                                         N#C/C(=C\C=C\c1ccccc1[N+](=O)[O-])c1ccc(Br)cc1 1
Drug 4286                                                                  CC/C(=C(/CC)c1ccc(OP(=O)(O)O)cc1)c1ccc(OP(=O)(O)O)cc1 0
Drug 1633                                                       C/C=C1/C[C@H](C)[C@@](O)(CO)C(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@H]23 1
Drug 6789                                                                                           CN(C)c1ccc(N=NS(=O)(=O)O)cc1 1
Drug 1273                                                                                                O=C(C(Cl)Cl)C(Cl)(Cl)Cl 1
 Drug 553                                                                                 c1ccc2c(c1)-c1cc3ccc4ccccc4c3cc1C1NC21 1
